,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Bbar,African,4.5,££,43 Buckingham Palace Road,51.497974,-0.143766,https://www.yelp.com/biz/bbar-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,R5t27MqnxMsO9Hu6KPXFlw
1,Chinwag,American (New),4.5,££,21 Lewisham Way,51.4751791028272,-0.0351671713981808,https://www.yelp.com/biz/chinwag-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,07iun95qUOuTR7aWShFwUw
2,STK London,American (New),3.5,££££,ME London Hotel,51.5120930974281,-0.118713319228276,https://www.yelp.com/biz/stk-london-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Z5FUAwqnhCx3ARS5Xwl_Dg
3,The Abingdon,American (New),4.5,£££,54 Abingdon Road,51.497629045444,-0.19607751802576,https://www.yelp.com/biz/the-abingdon-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Gdqq0f4R8pBXIcHvAI3SuQ
4,Area 52,American (New),3.5,££,176 Commercial Road,51.514607,-0.061085,https://www.yelp.com/biz/area-52-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,9Cxfq0vHIiBogyge6krUWw
5,Boondocks,American (New),,,205 City Road,51.5282587,-0.0910612,,
6,The Blues Kitchen,American (New),4.5,££,40 Acre Lane,51.4605150821635,-0.119194015860558,https://www.yelp.com/biz/the-blues-kitchen-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ZTom_9Coox493K9iDcFECQ
7,The Colony Grill,American (New),3.5,£££,8 Balderton Street,51.5129528280084,-0.152459005109737,https://www.yelp.com/biz/the-colony-grill-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,tRaPqgbM-3ghnP_Y5YgREQ
8,Blue Plate,American (New),,,85 Chiswick High Road,51.4927,-0.252125,,
9,Hard Rock Cafe,American (New),,,Great Cumberland Pl,51.51421,-0.15934,,
10,CUT at 45 Park Lane,American (New),4.0,££££,45 Park Lane,51.5063934326172,-0.151611998677254,https://www.yelp.com/biz/cut-at-45-park-lane-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,7Xay1LP8sHOpRZzjfj6dEA
11,Two Lights,American (New),,,28 Kingsland Road,51.52792,-0.07787,,
12,Slim Chickens,American (New),,,35 James St,51.5155434798699,-0.150962769985199,,
13,Red Rooster Shoreditch,American (New),4.0,£££,45 Curtain Road,51.524165,-0.08029,https://www.yelp.com/biz/red-rooster-shoreditch-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,p9TrMj3CyIQd-nywbZklZw
14,StickyWings,American (New),4.0,£,40 Brick Lane,51.518271,-0.071176,https://www.yelp.com/biz/stickywings-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,AHGIVwDvv9lgTeEDPrjeHw
15,Pomona's,American (New),4.0,£££,47 Hereford Road,51.5156259,-0.1942676,https://www.yelp.com/biz/pomonas-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,LswIu1c4UoDVljzOshvoJw
16,Sweet Chick,American (New),4.5,££,8 Market Place,51.51649,-0.1401,https://www.yelp.com/biz/sweet-chick-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RNWNCMVQy8XClDpqrXSegw
17,Le Bun,American (New),,,91 Brick Lane,51.5215601,-0.0731195,,
18,Christopher's,American (New),4.0,££,18 Wellington Street,51.5119199617267,-0.119777974134674,https://www.yelp.com/biz/christophers-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,JaMU3Dhgez6stL7NFOdEIQ
19,Stax Diner,American (New),3.5,££,1st Floor,51.512349,-0.138746,https://www.yelp.com/biz/stax-diner-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ZOBkei2WLuJOwTN8iBTrfg
20,Buffalo,American (Traditional),,,33-35 Greenwich Church Street,51.4812448,-0.0100849,,
21,Davies and Brook,American (Traditional),,,Brook Street,51.5125521165128,-0.14800253498765,,
