,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Cafe Vienna,Austrian,5.0,££,235 Brompton road,51.4968262,-0.1684469,https://www.yelp.com/biz/cafe-vienna-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,-_6mjiQuPMMR7VvLb3v92A
1,Fischer's,Austrian,4.0,£££,50 Marylebone High Street,51.5216155579831,-0.151699820819173,https://www.yelp.com/biz/fischers-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,apqNvjbaB20wozywrLNPiQ
2,The Delaunay Counter,Cafes,,,55 Aldwych,51.5131115,-0.1182553,,
3,Kipferl,Coffee & Tea,4.0,££,20 Camden Passage,51.535247538411,-0.10339315152949,https://www.yelp.com/biz/kipferl-london-6?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,xqpUr61KFa1Xx721-E6l_A
4,Kalendar Cafe,Coffee & Tea,3.5,££,15a Swains Lane,51.5620028,-0.1498279,https://www.yelp.com/biz/kalendar-cafe-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,HmZmhDt7fFG39K7hGo3mqA
5,Marcus,French,4.0,££££,The Berkeley,51.5016612,-0.1556969,https://www.yelp.com/biz/marcus-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ov2m0xEjirn1Gll0MOhUqw
6,Zeitgeist,German,4.0,££,49 - 51 Black Prince Road,51.491333,-0.1182021,https://www.yelp.com/biz/zeitgeist-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,sen5D3KKE0penBC7d5GlUQ
7,German Gymnasium,German,4.0,£££,1 Kings Boulevard,51.5323975443626,-0.125419827905187,https://www.yelp.com/biz/german-gymnasium-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,4IpNjfnu3VnM8p7_i4or4Q
8,Katzenjammers,German,3.5,££,24 Southwark Street,51.504827352652,-0.0910319201774978,https://www.yelp.com/biz/katzenjammers-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,jcBeMcH_nAaDDJotomqs-g
9,Munich Cricket Club,German,3.5,££,1 Abbey Orchard Street,51.4980721,-0.1325256,https://www.yelp.com/biz/munich-cricket-club-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,GXGXX8Eapy5yBpLTx-N1kw
10,Oblix At The Shard,Lounges,4.0,££££,Level 32 The Shard,51.5052532,-0.0869875,https://www.yelp.com/biz/oblix-at-the-shard-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,DJH9kKABJZHkJ4Xz8b168w
11,The Delaunay,Modern European,4.0,£££,55 Aldwych,51.5131115,-0.1182553,https://www.yelp.com/biz/the-delaunay-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,QTRkMjYHXAVROidXkkt7Ow
12,10 Greek Street,Modern European,4.5,£££,10 Greek Street,51.5144981659116,-0.131063461303711,https://www.yelp.com/biz/10-greek-street-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,PEgAoJeVtVAbmuNKUWa-wg
13,Stein's,Pubs,3.5,££,Richmond Towpath,51.455546,-0.304016,https://www.yelp.com/biz/steins-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,eXNSn0FwCeSmDHDlDWzv5w
14,The Paperworks,Street Vendors,,,48 - 50 Newington Causeway,51.498024,-0.0984994,,
