,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Red Rooster Shoreditch,American (New),4.0,£££,45 Curtain Road,51.524165,-0.08029,https://www.yelp.com/biz/red-rooster-shoreditch-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,p9TrMj3CyIQd-nywbZklZw
1,Blue Plate,American (New),,,85 Chiswick High Road,51.4927,-0.252125,,
2,The Abingdon,American (New),4.5,£££,54 Abingdon Road,51.497629045444,-0.19607751802576,https://www.yelp.com/biz/the-abingdon-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Gdqq0f4R8pBXIcHvAI3SuQ
3,The Breakfast Club,American (Traditional),3.5,££,31 Camden Passage,51.5351048605,-0.103710715876,https://www.yelp.com/biz/the-breakfast-club-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,IhpwcD7I4NzdloijSkM5KQ
4,The Fat Bear,American (Traditional),4.5,££,61 Carter Lane,51.5131833881734,-0.10138103121642,https://www.yelp.com/biz/the-fat-bear-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Z0r83lDOA1mI8RpNccXtHw
5,Black & Blue,American (Traditional),4.0,££,215-217 Kensington Church Street,51.508423,-0.19538,https://www.yelp.com/biz/black-and-blue-london-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,_Nq4qS4X_GP-0hEaPLflWw
6,Rapsa,Asian Fusion,4.5,££,100-104 Hoxton Street,51.5310648658011,-0.0800106030410461,https://www.yelp.com/biz/rapsa-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,gJAFSUO7U70GQJFo3ynRUw
7,Timmy Green,Australian,,,Sir Simon Milton Square,51.4980343768138,-0.143855731693976,,
8,Darcie and May Green,Australian,,,Sheldon Square,51.518888,-0.17827,,
9,Granger & Co,Australian,3.5,££,Stanley Building,51.5325845472022,-0.125704638943534,https://www.yelp.com/biz/granger-and-co-london-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,1fH92NtBqTqo8TW-00NQvw
10,Fischer's,Austrian,4.0,£££,50 Marylebone High Street,51.5216155579831,-0.151699820819173,https://www.yelp.com/biz/fischers-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,apqNvjbaB20wozywrLNPiQ
