,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Foley's,Asian Fusion,4.0,£££,23 Foley Street,51.519373,-0.140492,https://www.yelp.com/biz/foleys-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,_rwBZ2MBkcki5fNVq2bjjQ
1,Firecracker,Asian Fusion,4.0,££,44 Horseferry Road,51.4949849,-0.1271241,https://www.yelp.com/biz/firecracker-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,y9MWERu8ULGHhMKaDn8F2Q
2,Red Farm,Asian Fusion,,,9 Russell Street,51.5125004024429,-0.121643789123097,,
3,Banana Tree,Asian Fusion,4.0,££,75-79 Battersea Rise,51.460635,-0.166301,https://www.yelp.com/biz/banana-tree-london-7?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RaIZ-cnvuSM3wLDuQkl-aw
4,Street Hawker Restaurant,Asian Fusion,4.5,££,166 Randolph Avenue,51.5301528,-0.1863199,https://www.yelp.com/biz/street-hawker-restaurant-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,1vk1jic2_jaciKPSG6Hy4w
5,Noodle Noodle,Asian Fusion,3.0,££,18 Buckingham Palace Road,51.497665291733,-0.1444847711885,https://www.yelp.com/biz/noodle-noodle-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,-OhOac1RtHM_Wl7lpRd5Kg
6,Orient London,Asian Fusion,3.5,££,15 Wardour Street,51.5108757019043,-0.131764858961105,https://www.yelp.com/biz/orient-london-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,cxpKr3MfJKvpR77DR1JdIA
7,China Tang,Cantonese,3.5,££££,The Dorchester,51.507086,-0.152185,https://www.yelp.com/biz/china-tang-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wpW8v7drIiRaY1RDzPLOew
8,Kam Fung,Cantonese,3.5,£,27 Red Lion Street,51.5195295,-0.1169642,https://www.yelp.com/biz/kam-fung-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,3FAopZzy1DwTL9prPUlY6w
9,East Ocean,Cantonese,,,194 North End Road,51.4870479,-0.2034268,,
10,Hakkasan,Cantonese,4.0,££££,8 Hanway Place,51.5171482803943,-0.13180578932657,https://www.yelp.com/biz/hakkasan-london-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,h2cCoDNQOPd51HFwvuAGNg
11,Reindeer Cafe,Cantonese,4.5,£,Unit 3 Wing Yip Business Centre,51.5668907165527,-0.228908002376556,https://www.yelp.com/biz/reindeer-cafe-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ye6Y-k4mSsVtUrVG6NTTlA
12,Golden Phoenix,Cantonese,,,209 Whittington Road,51.609717260037,-0.116552159342189,,
13,Bright Courtyard Club,Cantonese,4.0,££,43-45 Baker St,51.5184054423093,-0.156027427498815,https://www.yelp.com/biz/bright-courtyard-club-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,cxeoGijgn6YDnA76RcD6oQ
14,Park Chinois,Chinese,3.5,££££,17 Berkeley Street,51.50868,-0.143678,https://www.yelp.com/biz/park-chinois-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Dt8HyhrDauoZhCOHEf8HGg
15,Mei Ume,Chinese,,,10 Trinity Square,51.5101082134418,-0.0779114243917703,,
16,Jun Peking Chinese Restaurant,Chinese,,,12 Sutton Parade,51.590083,-0.223112,,
17,Tai Wu,Chinese,4.5,££,82 Brockley Rise,51.4443941,-0.0427854,https://www.yelp.com/biz/tai-wu-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,imB-bzdTf6IMgIffGXnxgQ
18,Xian Chinese Restaurant,Chinese,4.0,££,862 High Road,51.618493918259,-0.17650239505376,https://www.yelp.com/biz/xian-chinese-restaurant-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ns61aZ0t1AvtgKu1YtrzXQ
19,Yi Ban Chinese Restaurant & Bar,Chinese,3.5,££,1010 Dockside Road,51.507734,0.041326,https://www.yelp.com/biz/yi-ban-chinese-restaurant-and-bar-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,CwGD_8TvC5OZtL5UCU3BFQ
20,Wok On Fire,Chinese,4.0,££,43 Old Compton Street,51.5132071605612,-0.131825498448057,https://www.yelp.com/biz/wok-on-fire-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,7oxdj6sWdszB-CiqLkwm0A
21,New Fortune Cookie Chinese Restaurant,Chinese,3.5,££,1 Queensway,51.5103615,-0.1871267,https://www.yelp.com/biz/new-fortune-cookie-chinese-restaurant-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,OiR1W6wUKnKn6TDBrvSqAg
22,Murger Han,Chinese,4.0,££,8A Sackville street,51.50933,-0.13797,https://www.yelp.com/biz/murger-han-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,S3KrbezyEy4hR3K6JYMrJA
