,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Red Door,Art Galleries,4.5,££,10 Turnpin Lane,51.481164,-0.009072,https://www.yelp.com/biz/red-door-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RYus9YxVxD-R8jm6xkDX8g
1,The Hummingbird Bakery,Bakeries,4.0,££,133 Portobello Road,51.5140019,-0.2038738,https://www.yelp.com/biz/the-hummingbird-bakery-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,QyYFRNphu0fICXNfZjD_AA
2,Konditor,Bakeries,4.5,££,22 Cornwall Rd,51.5042899533514,-0.110367141112856,https://www.yelp.com/biz/konditor-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,1epk2D1-2-g08GAntFlySg
3,Ottolenghi,Bakeries,4.0,££,13 Motcomb Street,51.4995017,-0.1566887,https://www.yelp.com/biz/ottolenghi-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,kAgxFPCeNiZeiKc9POkiOg
4,E5 Bakehouse,Bakeries,4.5,££,395 Mentmore Terrace,51.5412038403948,-0.0576161965996107,https://www.yelp.com/biz/e5-bakehouse-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,-6GHU4qI0DKsIrBpv57qTg
5,Fabrique Bakery,Bakeries,4.5,££,Arch 385,51.5321125496558,-0.0760506578224951,https://www.yelp.com/biz/fabrique-bakery-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,6Hc37w-thLXw4_pD3mZdJA
6,Laurents,Bakeries,4.5,£,39 Craven Road,51.513468,-0.179164,https://www.yelp.com/biz/laurents-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,HAi7bThXmEtooc5ZQq9hdw
7,GAIL's Bakery Soho,Bakeries,4.0,££,128 Wardour Street,51.5143112170147,-0.134518146514893,https://www.yelp.com/biz/gails-bakery-soho-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,in1fuQDAfRBIb7cGnOEviA
8,Dominique Ansel Bakery,Bakeries,4.0,££,17-21 Elizabeth Street,51.4926912521198,-0.149131484387577,https://www.yelp.com/biz/dominique-ansel-bakery-victoria?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,9gqKbR6JK79zTc5RDLP_4A
9,Poilane,Bakeries,4.5,£££,39 Cadogan Gardens,51.492054852899,-0.1597783672174,https://www.yelp.com/biz/poilane-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Wv1Zlca4NTkgFVjKgEJyog
10,GAIL's Bakery - Pimlico,Bakeries,,,26 Churton Street,51.4917627846861,-0.139058523838447,,
11,Rinkoff Bakeries,Bakeries,4.5,£,224 Jubilee Street,51.5198880062398,-0.0530246183202313,https://www.yelp.com/biz/rinkoff-bakeries-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,OLXnVhh19HtAnbywQzD3zw
12,Grounded Coffee,Breakfast & Brunch,4.5,££,9 Whitechapel Road,51.5164248587188,-0.0693253754631087,https://www.yelp.com/biz/grounded-coffee-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,yQy0O4maalqIZX3txcxCXg
13,GAIL's Bakery Neo Bankside,Breakfast & Brunch,4.5,££,Unit C Neo Bankside,51.5066352772979,-0.100412668500134,https://www.yelp.com/biz/gails-bakery-neo-bankside-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,U_XeFWW1Lttdq22txTABMw
14,The Orangery,British,4.0,£££,Kensington Palace,51.5066360577041,-0.187725349125042,https://www.yelp.com/biz/the-orangery-london-7?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,PBFvhVyBi0lEJyTbyuxf5w
15,Tea and Tattle,British,4.5,££,41 Great Russell Street,51.5178680419922,-0.126817002892494,https://www.yelp.com/biz/tea-and-tattle-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,1TgYqfxkXv6-IB4cvuuy3w
16,Fortitude Bakehouse,Cafes,,,35 Colonnade,51.5229210884015,-0.124047992374525,,
