,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Maloko,African,,,60 Camberwell Church Street,51.4736925,-0.0886691,,
1,Aux Merveilleux de Fred,Bakeries,4.5,£,88 Old Brompton Road,51.4924431,-0.1778994,https://www.yelp.com/biz/aux-merveilleux-de-fred-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,BZ96WsFu82jq65zs4Y2MsQ
2,Le Deli Robuchon,Bakeries,,,82 Piccadilly,51.5064442712487,-0.14376774430275,,
3,Laurents,Bakeries,4.5,£,39 Craven Road,51.513468,-0.179164,https://www.yelp.com/biz/laurents-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,HAi7bThXmEtooc5ZQq9hdw
4,Plateau Restaurant,Bars,4.5,£££,Canada Place,51.5044556493532,-0.0166596716095782,https://www.yelp.com/biz/plateau-restaurant-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,YjM4oKNwo8MuzHkAdmwiaA
5,Bibendum,Bars,4.0,£££,MIchelin House,51.49331458816,-0.16883345515649,https://www.yelp.com/biz/bibendum-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,eKV3GGH9gU5h028CU839kQ
6,The Elephant's Head,Bars,4.5,£££,43 Lower Clapton Road,51.5507998578727,-0.0522360340609573,https://www.yelp.com/biz/the-elephants-head-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,b8G4bkvA393ZgwDiZV37tQ
7,Belgo Centraal,Belgian,4.0,££,50 Earlham Street,51.5137833644188,-0.125649969207333,https://www.yelp.com/biz/belgo-centraal-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,H-l4CDhIZ0uTfyv_lR1p7Q
8,Blanchette,Bistros,4.0,£££,9 D'Arblay Street,51.5146869918666,-0.136290080845356,https://www.yelp.com/biz/blanchette-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,MSqfyXS2fdm6H-ywHAV75w
9,Brasserie Zédel,Brasseries,4.0,££,20 Sherwood Street,51.5106025898049,-0.135575861793962,https://www.yelp.com/biz/brasserie-z%C3%A9del-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,E43MdoA7zkZ6SnPjAJaTvA
10,Brasserie Joël,Brasseries,3.5,£££,Park Plaza Westminster Bridge London,51.5009727478027,-0.116603001952171,https://www.yelp.com/biz/brasserie-jo%C3%ABl-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Ue2qJFJEJEdfVGn15ybMKA
11,The Ivy Kensington Brasserie,Brasseries,4.0,£££,96 Kensington High Street,51.5015677,-0.1921797,https://www.yelp.com/biz/the-ivy-kensington-brasserie-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wCjU2KuTntCZDCZSIS1Uxw
12,Côte Brasserie,Brasseries,4.0,££,17-21 Tavistock Street,51.5123642,-0.1202975,https://www.yelp.com/biz/c%C3%B4te-brasserie-london-22?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,TtkhkYxbzkL_F6ZajO3veQ
13,1 Lombard Street,Brasseries,3.5,£££,1 Lombard Street,51.513104358145,-0.0888951488025643,https://www.yelp.com/biz/1-lombard-street-london-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,f0nNAgUfOE68tmSQsx4dnw
14,Cabotte,Brasseries,,,48 Gresham Street,51.514912,-0.091728,,
15,Mews Brasserie,Brasseries,4.0,£££,10 Lancashire Court,51.51263781949,-0.14545863740057,https://www.yelp.com/biz/mews-brasserie-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,SLto-ScrXjWjsHdotHmljA
16,Boulangerie Joie De Vie,Breakfast & Brunch,4.0,£,359 Ballards Lane,51.613965,-0.177202,https://www.yelp.com/biz/boulangerie-joie-de-vie-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,UEuL9IWNTacYWVctO0KKrw
17,Côte,Breakfast & Brunch,4.0,££,124-126 Wardour Street,51.514231,-0.134374,https://www.yelp.com/biz/c%C3%B4te-london-18?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,jRvh4MyRkjlIl2Llnwzd9Q
