,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Coppa Club,Bars,3.5,££,4 St Paul's Churchyard,51.5134464,-0.1002132,https://www.yelp.com/biz/coppa-club-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,_Q3CiOo0gWTD8nD_US_9CA
1,The Ivy Chelsea Garden,British,4.0,£££,195-197 Kings Road,51.4871107,-0.1693342,https://www.yelp.com/biz/the-ivy-chelsea-garden-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,hf_Jnbwab8jJ96XyPWwbMw
2,Scarpetta,Cafes,,,20 Canada Square,51.5043826410815,-0.0169062843583561,,
3,The Gold of Naples,Cafeteria,,,134 Hither Green Lane,51.4532861794787,-0.00787020519954051,,
4,La Piazzetta,Coffee & Tea,5.0,££,13 Neal's Yard,51.5124246984168,-0.1263641,https://www.yelp.com/biz/la-piazzetta-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,JnFwWjHzQAD72XBtudW9gw
5,Bottega Prelibato,Coffee & Tea,4.0,££,45 Rivington Street,51.52612,-0.081457,https://www.yelp.com/biz/bottega-prelibato-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,hfvXCRJR_-5-oPrX_cAJ1A
6,Caravaggio,Coffee & Tea,4.5,££,47 Camberwell Church Street,51.4739748,-0.0896303,https://www.yelp.com/biz/caravaggio-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,8cQ-_O9O77--IwkleM0IeA
7,Gastronomica,Food Stands,4.5,£,Borough Market,51.505428,-0.090252,https://www.yelp.com/biz/gastronomica-london-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,0BDuohnoATEnz1c_5jxIdg
8,La Bottega,Italian,,,20 Ryder Street,51.50723,-0.138595,,
9,Bancone,Italian,,,39 William IV St,51.5095699,-0.12642,,
10,La Luna,Italian,4.5,££,380 Walworth Road,51.484635,-0.094058,https://www.yelp.com/biz/la-luna-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,JcpYVXTIMNFo7vl1De1W0g
11,Murano,Italian,4.0,££££,20 Queen Street,51.507034,-0.147277,https://www.yelp.com/biz/murano-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,IBGiXhPZsnHB0Uls03DiPA
12,Terra Rossa,Italian,,,139 Upper Street,51.5394972,-0.1026884,,
13,Obicà,Italian,3.5,££,20 Poland Street,51.5149383967259,-0.13713073307934,https://www.yelp.com/biz/obic%C3%A0-london-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,aAzCPzQkOcBUBnqd3-qIuw
14,Padella,Italian,4.5,££,6 Southwark Street,51.5051451,-0.0899515,https://www.yelp.com/biz/padella-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,KzYd2EaFvmu63wqTIektSA
15,Bocconi Ristorante,Italian,,,5 Goldhawk Road,51.503017939329,-0.223435671985158,,
16,Rossodisera,Italian,4.0,£,5 Monmouth Street,51.5149,-0.126723,https://www.yelp.com/biz/rossodisera-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,jc3pYQz8TpkhlPcDEFqrlQ
17,Guiseppes,Italian,3.0,£,47-49 Borough High Street,51.5048012364929,-0.0897637296226026,https://www.yelp.com/biz/guiseppes-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,-B8tZu-ysXG8fBkcRKzQyg
18,Caraffini Restaurant,Italian,4.5,££,61-63 Lower Sloane Street,51.4903601471077,-0.156774507743243,https://www.yelp.com/biz/caraffini-restaurant-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ZgFDci1CibiNsG7TXV5jlQ
19,Da Mario Italian Restaurant,Italian,4.0,££,63 Endell Street,51.515028,-0.125723,https://www.yelp.com/biz/da-mario-italian-restaurant-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,-fs2TmSWOGbreFNugeHmIA
20,Artusi,Italian,4.5,£££,161 Bellenden Road,51.4668722,-0.0724561,https://www.yelp.com/biz/artusi-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Mh0jzKBDYqcNcYXC2fuzXg
21,La Figa,Italian,4.0,££,45 Narrow Street,51.510135253223,-0.039447864202734,https://www.yelp.com/biz/la-figa-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,NJ2hs8ln1lx0bMYkXmOqkA
22,The River Cafe,Italian,4.0,££££,Thames Wharf Studio,51.4840302245571,-0.224279266409326,https://www.yelp.com/biz/the-river-cafe-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,_f4VU_D--cPFbS8cSp_xZA
23,Apulia,Italian,4.0,££,50 Long Lane,51.5190086,-0.1003585,https://www.yelp.com/biz/apulia-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,2pDU7LE3gTpDWGsoKuGwMA
24,La Bella Vita,Italian,,,853 High Road,51.5697,0.01305,,
25,Locale,Italian,4.0,££,County Hall,51.501479,-0.118008,https://www.yelp.com/biz/locale-london-6?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,XNj3z-EVv6o58E19C2spZg
26,The Bite,Italian,4.5,££,533 Kingsland Road,51.5457168352045,-0.0758428126573563,https://www.yelp.com/biz/the-bite-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,xAzcGEDsUmrXpJgdnLF2wQ
27,Olivelli,Italian,4.0,££,35 Store Street,51.51986,-0.1311722,https://www.yelp.com/biz/olivelli-london-6?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,vnC7idK5GtzenRZiFdkAew
28,Anima D'italia,Italian,,,114 Mile End Road,51.5204355,-0.0519754,,
29,Spaghetti House,Italian,4.0,££,9 Kensington High Street,51.502248,-0.187966,https://www.yelp.com/biz/spaghetti-house-london-15?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,gpQUlJ0dQyZexifTOoMF1Q
30,San Carlo Cicchetti,Italian,4.0,£££,30 Wellington Street,51.5123138,-0.12058,https://www.yelp.com/biz/san-carlo-cicchetti-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,JKwMHA_plYwrKVxkkh6bAg
31,Spaghetti House,Italian,4.0,££,15 Goodge Street,51.51977,-0.134364,https://www.yelp.com/biz/spaghetti-house-london-11?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,eHECpyAZ7Hm0bFjqh1eloA
