,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Tofu,Asian Fusion,,,5 Weston Street,51.4191743142751,-0.082696055519591,,
1,Street Hawker Restaurant,Asian Fusion,4.5,££,166 Randolph Avenue,51.5301528,-0.1863199,https://www.yelp.com/biz/street-hawker-restaurant-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,1vk1jic2_jaciKPSG6Hy4w
2,Sushisamba,Asian Fusion,3.5,££££,110 Bishopsgate,51.516179,-0.080946,https://www.yelp.com/biz/sushisamba-london-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,JhmrjmyrIhAVlM0D0n3VoQ
3,Novikov Restaurant & Bar,Asian Fusion,3.5,££££,50 Berkeley Street,51.507668,-0.143015,https://www.yelp.com/biz/novikov-restaurant-and-bar-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,y-0qXBp4KMe-JjXSEPRRhA
4,E&O,Asian Fusion,4.0,£££,14 Blenheim Crescent,51.5158364710502,-0.205848282245171,https://www.yelp.com/biz/e-and-o-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,qsQAO0i1z8qlQMECyDyitQ
5,Oka,Asian Fusion,4.5,££,71 Regents Park Road,51.5412318,-0.1573922,https://www.yelp.com/biz/oka-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,h1pstufojfFZzWSwck4aWw
6,Foley's,Asian Fusion,4.0,£££,23 Foley Street,51.519373,-0.140492,https://www.yelp.com/biz/foleys-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,_rwBZ2MBkcki5fNVq2bjjQ
7,Mei Ume,Chinese,,,10 Trinity Square,51.5101082134418,-0.0779114243917703,,
8,Oriental Gourmet,Chinese,4.0,££,123A Holloway Road,51.5485546,-0.1072363,https://www.yelp.com/biz/oriental-gourmet-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,hIToS5-cElUAv1Gc2EvLjA
9,Sakurado,Creperies,,,14 Gloucester Road,51.49925,-0.18391,,
10,Yauatcha,Dim Sum,4.0,£££,15-17 Broadwick Street,51.5137076071076,-0.135128831605189,https://www.yelp.com/biz/yauatcha-london-8?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,sYwBQ7mJYhB35nn-_SZstQ
11,Pham Sushi,Fast Food,4.5,££,159 Whitecross Street,51.5233,-0.093295,https://www.yelp.com/biz/pham-sushi-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,HmOrOohddgdHLdLueTlNqQ
12,Demaezushi,Food Delivery Services,4.0,££,268 Poyser Street,51.529887,-0.056789,https://www.yelp.com/biz/demaezushi-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,iibTTOZ8cKtfyTyzMIArNA
13,Japindo,Indonesian,,,Prince Of Wales,51.498887,-0.067549,,
14,Ukai,Japanese,3.5,££,240 Portobello Road,51.5177381,-0.2062303,https://www.yelp.com/biz/ukai-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,cP8FaoDAfbiqJmkJI4oXSA
15,Misumi Sushi Barand Grill,Japanese,,,158 Bexley Road,51.4499969,0.0811298,,
16,Koji,Japanese,4.5,££££,58 New Kings Road,51.472641,-0.2012148,https://www.yelp.com/biz/koji-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,dtyeR7XXnsLdRoUlLmlj5Q
17,Sushi Wa,Japanese,4.5,££,28-30 Highgate Hil london,51.5678346,-0.1387969,https://www.yelp.com/biz/sushi-wa-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,YhUnhKZtCEBbelf0N2vABQ
18,Engawa,Japanese,3.5,£££,2 Ham Yard,51.511295,-0.134596,https://www.yelp.com/biz/engawa-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ulHfFJS33enNVreujPkqLQ
