,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,CUT at 45 Park Lane,American (New),4.0,££££,45 Park Lane,51.5063934326172,-0.151611998677254,https://www.yelp.com/biz/cut-at-45-park-lane-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,7Xay1LP8sHOpRZzjfj6dEA
1,Christopher's,American (New),4.0,££,18 Wellington Street,51.5119199617267,-0.119777974134674,https://www.yelp.com/biz/christophers-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,JaMU3Dhgez6stL7NFOdEIQ
2,Black & Blue,American (New),,,127 King's Road,51.488191,-0.166435,,
3,Black & Blue,American (New),3.0,£££,Concert Hall Approach,51.5042155540101,-0.114175824011154,https://www.yelp.com/biz/black-and-blue-london-6?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ucYrM2yeCkmA1w0lCDON4A
4,STK London,American (New),3.5,££££,ME London Hotel,51.5120930974281,-0.118713319228276,https://www.yelp.com/biz/stk-london-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Z5FUAwqnhCx3ARS5Xwl_Dg
5,Bodean's,American (Traditional),4.0,££,169 Clapham High Street,51.462083824343,-0.13711100353483,https://www.yelp.com/biz/bodeans-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,-4QBfRAAWp1_hMQ3K1h8Mg
6,Black & Blue,American (Traditional),3.0,£££,1-2 Rochester Walk,51.505787,-0.091346,https://www.yelp.com/biz/black-and-blue-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,A5SNj_zeSgFAGIs59pI-Dw
7,Bodean's,American (Traditional),3.5,££,16 Byward Street,51.509802,-0.078943,https://www.yelp.com/biz/bodeans-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,FNVZnS3vKsuQ_MdI6NGIiw
8,Big Easy,American (Traditional),3.5,££,332-334 Kings Road,51.4852959,-0.1744201,https://www.yelp.com/biz/big-easy-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,PA45Xv1AQ1gFwXyqHWG2sQ
9,Black & Blue,American (Traditional),4.0,££,215-217 Kensington Church Street,51.508423,-0.19538,https://www.yelp.com/biz/black-and-blue-london-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,_Nq4qS4X_GP-0hEaPLflWw
