,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Friedmans,American (New),4.0,$$,132 W 31st St,40.74839,-73.99062,https://www.yelp.com/biz/friedmans-new-york-71?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,cCesIqo-LQt0cRlZAnrAZQ
1,High Street On Hudson,American (New),4.0,$$,637 Hudson St,40.73888,-74.00574,https://www.yelp.com/biz/high-street-on-hudson-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Oq1mej1BYfjcdPKkM_5o8g
2,Gertie,American (New),4.0,$$,357 Grand St,40.712389,-73.9555675,https://www.yelp.com/biz/gertie-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,gC7QKqUe2wrxUTxL11ab1A
3,Tribeca's Kitchen,American (New),4.0,$$,200 Church St,40.7162705535921,-74.0072225927912,https://www.yelp.com/biz/tribecas-kitchen-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,MHtbBc2np3sR7jiV9GphNg
4,Marlow & Sons,American (New),4.0,$$$,81 Broadway,40.7106126934043,-73.9658814005443,https://www.yelp.com/biz/marlow-and-sons-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,G18cPTEjuxXx957dGYBDAQ
5,Bagels & Schmear,Bagels,4.0,$,116 E 28th St,40.74289899502011,-73.98331665413312,https://www.yelp.com/biz/bagels-and-schmear-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,UgTfFaQ_NAyne5OwLtTpXQ
6,Pick A Bagel,Bagels,3.5,$,891 8th Ave,40.76462,-73.98494,https://www.yelp.com/biz/pick-a-bagel-new-york-15?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,x3RfohtUQPWHS1l1VfAMTQ
7,The Bagelnaitor,Bagels,,,749 Flushing Ave,40.700798,-73.942815,,
8,Black Seed Bagels,Bagels,3.0,$$,176 First Ave,40.72912,-73.98398,https://www.yelp.com/biz/black-seed-bagels-new-york-11?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,4v5lbiExMocWoG7iKnYWrQ
9,The Bagel Market,Bagels,3.0,$$,106 7th Ave,40.67418,-73.97581,https://www.yelp.com/biz/the-bagel-market-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,2bpjwQBGoo9KyMYUuPt0Hw
10,Bagel World,Bagels,4.5,$,339 5th Ave,40.67205,-73.98373,https://www.yelp.com/biz/bagel-world-brooklyn-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,2xxX3t7ykIlyoaOXZdRZNw
11,H&H Bagels,Bagels,4.0,$,1551 2nd Ave,40.77444,-73.95447,https://www.yelp.com/biz/h-and-h-bagels-new-york-6?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,bb4TLfMexv3XPy864A09ug
12,Ess-a-Bagel,Bagels,3.5,$$,108 W 32nd St,40.74863,-73.9894,https://www.yelp.com/biz/ess-a-bagel-new-york-6?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,lLsEzgmXwCoP6OK5ACT1Ig
13,Mike's Bagels,Bagels,4.0,$,4003 Broadway,40.84136,-73.93987,https://www.yelp.com/biz/mikes-bagels-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,6XX2Ytf8nYqh8dRhz9Kk_g
14,Bagel Buffet,Bagels,4.0,$,510 Ave Of Americas,40.73691631697569,-73.99693574914174,https://www.yelp.com/biz/bagel-buffet-new-york-116?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,rGfDX_ors68i8LnuG55NQA
15,Gramercy Bagels,Bagels,3.0,$,246 3rd Ave,40.7371889,-73.9845285,https://www.yelp.com/biz/gramercy-bagels-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,j1TePe2B6pjvvEg2VOLNcg
16,Cafe Panino Mucho Giusto,Bagels,4.0,$,551 Hudson St,40.735256,-74.006309,https://www.yelp.com/biz/cafe-panino-mucho-giusto-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,jewdjZyGcAXIepOeTBae6g
17,Russ & Daughters Cafe,Bagels,4.0,$$,127 Orchard St,40.7196253171697,-73.9895758930263,https://www.yelp.com/biz/russ-and-daughters-cafe-new-york-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,0rQz8mkleT62eUkiAVs4UA
18,La Bagel Delight at Court St,Bagels,3.5,$,90 Court St,40.69117,-73.99182,https://www.yelp.com/biz/la-bagel-delight-at-court-st-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,lgndZLoGNjS8gSBx-fS-Uw
19,Wonder Bagels,Bagels,4.0,$,517 Jersey Ave,40.7205996367127,-74.0469315376866,https://www.yelp.com/biz/wonder-bagels-jersey-city?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,0EOWrLcnWEO1pP7bZafofw
20,Myrtle Bagel,Bagels,3.5,$,410 Myrtle Ave,40.6930314149359,-73.9693918107215,https://www.yelp.com/biz/myrtle-bagel-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,oLYnY3SKNqIwERzZXOc63A
21,Greenberg’s Bagels,Bagels,,,1065 Bedford Ave,40.68753,-73.95458,,
22,Bagel Bob's,Bagels,4.0,$,51 University Pl,40.73248,-73.99385,https://www.yelp.com/biz/bagel-bobs-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,XTa5infpecABoyLZ86EH2w
23,La Bagel Delight,Bagels,3.5,$,73 Lafayette Ave,40.687362,-73.975395,https://www.yelp.com/biz/la-bagel-delight-brooklyn-7?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,9uhWTKavezO5TKWMui-o3w
24,Pick a Bagel,Bagels,3.0,$,210 E 23rd St,40.7384,-73.98252,https://www.yelp.com/biz/pick-a-bagel-new-york-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,yc17eYI-lv59ShQ3zMy_Bg
25,Bagelworks,Bagels,4.0,$,1229 1st Ave,40.764358,-73.958862,https://www.yelp.com/biz/bagelworks-new-york-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,m6FV9h1mMJ9_LZetNOjNjg
26,Zucker's Bagels & Smoked Fish,Bagels,3.0,$,40 E 23rd St,40.740301,-73.98736,https://www.yelp.com/biz/zuckers-bagels-and-smoked-fish-new-york-10?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ZO9CKtJ9tvPSwEns-semKA
