,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,The Bar Room,American (New),4.0,$$,117 E 60th St,40.763409,-73.968449,https://www.yelp.com/biz/the-bar-room-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,MyQV4i518ZO4CLudtR8gLA
1,Employees Only,American (New),4.0,$$$,510 Hudson St,40.73343,-74.00617,https://www.yelp.com/biz/employees-only-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,SjG7CnTIuUBIo9T4BThkGQ
2,Hold Fast Kitchen & Spirits,American (New),5.0,$$,364 W 46th St,40.76064,-73.99023,https://www.yelp.com/biz/hold-fast-kitchen-and-spirits-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,VLGmFHE4s0Sfu0piMVQa1Q
3,The Flower Shop,American (New),4.0,$$,107 Eldridge St,40.71807,-73.99213,https://www.yelp.com/biz/the-flower-shop-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,vkQSMwAf5yqDw9HfEQYgzw
4,The Horny Ram,American (New),4.0,$$,951 2nd Ave,40.75528,-73.96857,https://www.yelp.com/biz/the-horny-ram-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,6hKJePanmG9AxK4dfwgyyg
5,Henry's Rooftop Bar,American (New),4.0,$$,501 Lexington Ave,40.754799,-73.97314,https://www.yelp.com/biz/henrys-rooftop-bar-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Q_bI2gY7LtMCXkzkakPUkg
6,The Wild Son,American (New),4.5,$$,132 First Ave,40.727424,-73.985201,https://www.yelp.com/biz/the-wild-son-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,N5UY113nNpeKdLPv0cbMjQ
7,DumboLuv,American (New),,,54 Jay St,40.7032593,-73.9866501,,
8,Atrium Dumbo,American (New),4.0,$$,15 Main St,40.7033899,-73.9904923,https://www.yelp.com/biz/atrium-dumbo-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,hmdm-dO72hLsMQwQRcGEUQ
9,The Spaniard,American (New),4.0,$$,190 W 4th St,40.7327497,-74.0021829,https://www.yelp.com/biz/the-spaniard-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,XO3yD87rTPz9o6Dy9qRaJg
