,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Tuome,American (New),4.5,$$$,536 E 5th St,40.72412482724,-73.9828906263924,https://www.yelp.com/biz/tuome-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,R7EGjHWw0tNheY6-ahH8fQ
1,Momofuku Noodle Bar - Uptown,American (New),4.0,$$,10 Columbus Cir,40.76847,-73.983092,https://www.yelp.com/biz/momofuku-noodle-bar-uptown-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Pr-q47vsmM4aoc2t_Sfk8w
2,Baoburg,Asian Fusion,4.0,$$,614 Manhattan Ave,40.7234929271998,-73.9503321851175,https://www.yelp.com/biz/baoburg-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,6wJOojpF2c4lLeBNbTBB0A
3,Macao Trading Company,Asian Fusion,4.0,$$$,311 Church St,40.719623,-74.003904,https://www.yelp.com/biz/macao-trading-company-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,U74_3F7r3tMhd6dmTmDBxQ
4,wagamama - midtown,Asian Fusion,4.0,$$,100 W 55th St,40.7629,-73.9781574,https://www.yelp.com/biz/wagamama-midtown-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wyjtGsW5NeVDknGQWnIPAQ
5,TAO Uptown,Asian Fusion,3.5,$$$,42 E 58th St,40.762639,-73.971447,https://www.yelp.com/biz/tao-uptown-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,TU_BU9HLflYI2xlyqVQdRA
6,Som Bo,Asian Fusion,4.0,$$,143 8th Ave,40.74192,-74.00136,https://www.yelp.com/biz/som-bo-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,pb_cHcy8D8UC-jQ-Q524ug
7,M&J Asian Cuisine,Asian Fusion,4.0,$,600 E 14th St,40.7292851717997,-73.9780369922164,https://www.yelp.com/biz/m-and-j-asian-cuisine-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Jn_p5WaprUY3Ql_539gsWw
8,Le Sia,Asian Fusion,4.5,$$$,651 9th Ave,40.76072,-73.99119,https://www.yelp.com/biz/le-sia-new-york-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,C3tP0fNNAoxOAC3O406CXQ
9,Pig Heaven,Barbeque,4.0,$$,1420 3rd Ave,40.77544,-73.95686,https://www.yelp.com/biz/pig-heaven-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,sfsjk1h50ooC2ioY7m48gw
10,ZLS BBQ,Barbeque,,,219 E 23rd St,40.73852,-73.98201,,
11,Hui Restaurant & Bar,Bars,4.5,$$,314 E 70th St,40.76701,-73.95846,https://www.yelp.com/biz/hui-restaurant-and-bar-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,LT0yyLNM84EiJj9DL0rfHA
12,Bites of Xi'an,Burgers,,,84 E 10th St,40.730861,-73.989941,,
13,Congee Village,Cantonese,3.5,$$,100 Allen St,40.7187,-73.99031,https://www.yelp.com/biz/congee-village-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,rYw5rQbWRX9buZHZbxqWdA
