,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Tuome,American (New),4.5,$$$,536 E 5th St,40.72412482724,-73.9828906263924,https://www.yelp.com/biz/tuome-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,R7EGjHWw0tNheY6-ahH8fQ
1,Momofuku Noodle Bar - Uptown,American (New),4.0,$$,10 Columbus Cir,40.76847,-73.983092,https://www.yelp.com/biz/momofuku-noodle-bar-uptown-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Pr-q47vsmM4aoc2t_Sfk8w
2,Chuko,Asian Fusion,4.0,$$,565 Vanderbilt Ave,40.680784,-73.967455,https://www.yelp.com/biz/chuko-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,eS9mTLlWwu_Ap2ROMQWPxg
3,Sai,Asian Fusion,4.5,$$,95-34 Queens Blvd,40.73012,-73.8636,https://www.yelp.com/biz/sai-rego-park?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,3n6i8TwGEIL9KnCCHUyiqA
4,Wild Ink,Asian Fusion,4.0,$$$,500 W 33rd St,40.753754,-74.001388,https://www.yelp.com/biz/wild-ink-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ptWTdgSzSpH-0LD24QIH-w
5,Takahachi Bakery,Bakeries,4.0,$$,25 Murray St,40.71393,-74.00822,https://www.yelp.com/biz/takahachi-bakery-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,GlPJPpKvPR4d8dmcSEYpdA
6,Izakaya Juraku,Bars,4.5,$$,121 Ludlow St,40.7196796287355,-73.9887088537216,https://www.yelp.com/biz/izakaya-juraku-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RYKGs45OjF-vlb2Ds2Jb_g
7,Rule of Thirds,Breakfast & Brunch,,,171 Banker St,40.7246328,-73.9551096,,
8,ACRE,Breakfast & Brunch,,,64 Meserole Ave,40.72633,-73.95471,,
9,Bar Moga,Cocktail Bars,4.0,$$,128 W Houston St,40.72787,-74.00107,https://www.yelp.com/biz/bar-moga-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,pil3w2-2REoXBwEToYZ_tQ
10,Bar Goto,Cocktail Bars,4.5,$$,245 Eldridge St,40.72277,-73.98989,https://www.yelp.com/biz/bar-goto-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,o5EIqc4LekAoeLHiYjzLqQ
11,Katana Kitten,Cocktail Bars,4.0,$$,531 Hudson St,40.73425,-74.00639,https://www.yelp.com/biz/katana-kitten-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,kIzVGUWS2b5H_b-G0Q0-0g
12,Tokuyama Salon Café,Coffee & Tea,,,627 E 6th St,40.72399,-73.9802,,
13,Suzume,Filipino,4.0,$$,545 Lorimer St,40.7131652,-73.9494479,https://www.yelp.com/biz/suzume-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,BlzlywklvYdek5uk_NCX9g
14,Izakaya NoMad,Gastropubs,4.0,$$,13 W 26th St,40.74409,-73.98945,https://www.yelp.com/biz/izakaya-nomad-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,8NVN6Nldm7AGoGaABBZMRw
