,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Bar Bruno,American (New),4.0,$$,520 Henry St,40.6833674,-73.9997959,https://www.yelp.com/biz/bar-bruno-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,zupIzmhdcH0U6vJQQxDBiQ
1,Taqueria Gramercy,Bars,,,218 3rd Ave,40.7363,-73.98531,,
2,Flats Fix Taqueria,Bars,3.5,$$,28 E 16th St,40.7365039,-73.9910582,https://www.yelp.com/biz/flats-fix-taqueria-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,AnAZaBsEuBjYvzaPMTN0oQ
3,Lobo,Bars,3.5,$$,218 Court St,40.686588,-73.994155,https://www.yelp.com/biz/lobo-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,bU0Ymp2m_6sq3NPw_rXGFw
4,La Palapa,Breakfast & Brunch,3.5,$$,77 St Mark's Pl,40.727969,-73.985604,https://www.yelp.com/biz/la-palapa-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,frWu5KfSULdCHd0GmA-ytw
5,Calexico - East Village,Breakfast & Brunch,4.0,$$,99 2nd Ave,40.72732,-73.98883,https://www.yelp.com/biz/calexico-east-village-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,UCcqDRcLO2MTyde0w0Wr3Q
6,Breakroom,Burgers,4.5,$$,83 Baxter St,40.7166907225542,-73.9999440120647,https://www.yelp.com/biz/breakroom-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,MfbVI5reXLIIs8Cc2HwgQw
7,For All Things Good,Cafes,,,343 Franklin Ave,40.687630013555,-73.9568200707436,,
8,Bar San Miguel,Cocktail Bars,4.0,$$,307 Smith St,40.68134,-73.9938279,https://www.yelp.com/biz/bar-san-miguel-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,2kPGo5wA33eBJj-OzA96tQ
9,Street Taco,Cocktail Bars,4.0,$$,358 3rd Ave,40.74097,-73.98202,https://www.yelp.com/biz/street-taco-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,hKkPlYmHoS9Nb_UbGGqx8A
10,Las Catrinas Mexican Bar & Eatery,Cocktail Bars,4.0,$$,32-02 Broadway,40.7614214682633,-73.9246649456171,https://www.yelp.com/biz/las-catrinas-mexican-bar-and-eatery-astoria?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,6AJwsgXr7YwsqneGVAdgzw
