,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Locksmith Bar,American (New),4.0,$$,4463 Broadway,40.8573807,-73.9325659,https://www.yelp.com/biz/locksmith-bar-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,zZpuUqF0iENnyYd2UYIX6w
1,Con Sofrito,American (Traditional),,,1315 Commerce Ave,40.83581288696226,-73.8405636958704,,
2,Suyo Gastrofusion,Asian Fusion,4.5,$$,1401 Plaza Dr,40.84061,-73.91825,https://www.yelp.com/biz/suyo-gastrofusion-bronx?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,t1_qBEjXscQn-mp6-or_sw
3,Rossy's Bakery,Bakeries,4.0,$,242 E 3rd St,40.72184,-73.98159,https://www.yelp.com/biz/rossys-bakery-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RgXT9Pkui7IuWua2K9yuHA
4,188 Bakery Cuchifritos,Bakeries,4.0,$,158 E 188th St,40.8614682,-73.8983208,https://www.yelp.com/biz/188-bakery-cuchifritos-bronx?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,XR1jM0e7G3HYOMgi4CXlnw
5,Salsa Bembe,Bars,4.0,$$$,811 McLean Ave,40.906942,-73.872127,https://www.yelp.com/biz/salsa-bembe-yonkers?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,cEcfPr95iq4uNkaUVkLtYA
6,Barrio BX,Bars,,,3764 E Tremont Ave,40.825745,-73.821619,,
7,Dulce Vida Latin Bistro,Breakfast & Brunch,3.5,$$,1219 Lexington Ave,40.77704,-73.95721,https://www.yelp.com/biz/dulce-vida-latin-bistro-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,AC6vUyOGt8WliqswigZlzQ
8,Tio Pio,Breakfast & Brunch,3.0,$,78 Willoughby St,40.69208,-73.98566,https://www.yelp.com/biz/tio-pio-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,36C1DDb_8WatJkMt-pg4Iw
9,Rico Pollo III,Caribbean,,,4523 5th Ave,40.647526921079,-74.0080366666667,,
