,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Oakberry Acai Bowls & Smoothies,Acai Bowls,4.0,$$,1158 Broadway 27th St,40.744585,-73.988633,https://www.yelp.com/biz/oakberry-acai-bowls-and-smoothies-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,H4FPLKg2WAyuO7XQgfcmFA
1,Baya Bar,Acai Bowls,4.0,$$,9417 3rd Ave,40.617367,-74.033348,https://www.yelp.com/biz/baya-bar-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,G3d731jF8KH-ERPvUGLOeg
2,Loco Coco,Acai Bowls,4.0,$$,835 Lexington Ave,40.76512,-73.96587,https://www.yelp.com/biz/loco-coco-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,lnMpkLsEL7SjqQbopXyKJw
3,Jupioca,Acai Bowls,4.0,$,1457 York Ave,40.77038,-73.95142,https://www.yelp.com/biz/jupioca-new-york-10?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,jxzBjnWg1SRMC8eERbE7LA
4,Hawa Smoothies,Acai Bowls,,,156 Delancey St,40.7180955809494,-73.9858869347862,,
5,Playa Bowls,Acai Bowls,4.0,$$,108 Macdougal St,40.72945,-74.00064,https://www.yelp.com/biz/playa-bowls-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,c78DChkLL_qVFWpU-IRY_Q
6,Happy Bowls NYC,Acai Bowls,4.0,$$,61 4th Ave,40.730836,-73.990284,https://www.yelp.com/biz/happy-bowls-nyc-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,j8J2TEP1k5GnNAsKiKz5Hg
7,Chelsea Juice,Acai Bowls,,,826 9th Ave,40.7660899,-73.98686049999999,,
8,Juicy Cube,Acai Bowls,4.5,$$,166 W 72nd St,40.7782207169156,-73.98114525698,https://www.yelp.com/biz/juicy-cube-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,pGKk6juZpjLi2uXZYr7UAQ
9,Ibiza Juice Bar,Acai Bowls,,,3204 30th Ave,40.766262,-73.920468,,
10,Hawa Smoothie & Bubble Tea,Acai Bowls,,,193 Church St,40.715759,-74.007024,,
11,Overgreens Salad + Juice,Acai Bowls,,,194 Prospect Park W,40.66143393385142,-73.97985957562923,,
12,Loco Coco - Brooklyn,Acai Bowls,,,55 Water St,40.70366,-73.991646,,
13,SoBol Astoria,Acai Bowls,,,35-04 Ditmars Blvd,40.77455,-73.90894,,
14,Juice Point,Acai Bowls,,,784 Manhattan Ave,40.72748,-73.95277,,
15,Tropic Berry Cafe,Acai Bowls,,,45 1st Ave,40.724375,-73.987918,,
16,Oakberry - Greenwich Village,Acai Bowls,,,124 MacDougal St,40.72992,-74.000282,,
17,Baya Bar,Acai Bowls,,,238 Bay Ridge Ave,40.63602506135048,-74.02756630406408,,
18,Brooklyn Blend,American (New),4.5,$$,194 Tompkins Ave,40.6923575699329,-73.9457686990499,https://www.yelp.com/biz/brooklyn-blend-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,X3ToKHjzofO8EzfiHYewWg
19,Citizens Of Gramercy,Australian,4.0,$$,362 2nd Ave,40.73674,-73.98152,https://www.yelp.com/biz/citizens-of-gramercy-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,yCfjoS6XfnP8hd9zWjME7Q
20,The Protein Bakery,Bakeries,4.5,$$,144 W 19th St,40.7411179,-73.9967099,https://www.yelp.com/biz/the-protein-bakery-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,yCXInbucT0CTGt_CQMv6Dg
21,Honeybrains,Breakfast & Brunch,4.0,$$,372 Lafayette St,40.727156,-73.993962,https://www.yelp.com/biz/honeybrains-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ElngKkPciE61tzzPgoYFhQ
22,Banter,Breakfast & Brunch,4.5,$$,643 Hudson St,40.739135,-74.005738,https://www.yelp.com/biz/banter-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,x8slUOJxMX2EJ0YUU0rrSg
23,Weekends,Breakfast & Brunch,4.5,$,155 S 4th St,40.71162,-73.96184,https://www.yelp.com/biz/weekends-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RszJexNjHiS1As9cJ7eWpQ
24,Two Hands,Breakfast & Brunch,3.5,$$,251 Church St,40.71782,-74.00547,https://www.yelp.com/biz/two-hands-new-york-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,3cC6UcOj_-FMXRBYlsXFzA
25,Hole In The Wall,Breakfast & Brunch,4.5,$$,15 Cliff St,40.70837,-74.00563,https://www.yelp.com/biz/hole-in-the-wall-new-york-12?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,rQpO1Eie_zmeAOQ9s-T0sQ
26,Hawa Smoothies and Bubble Tea,Bubble Tea,,,1293 1st Ave,40.7663425495287,-73.9573442729302,,
27,Debutea,Bubble Tea,4.0,$$,217 Thompson St,40.729188,-73.9993244,https://www.yelp.com/biz/debutea-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,DjKAV1M7HWGGyzsfqUrcFw
28,BAMBU,Bubble Tea,4.5,$,124B Hester St,40.71697,-73.99471,https://www.yelp.com/biz/bambu-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,dnhEMFIYnkF0ke5oWv9hMg
29,I’Milky 沐白,Bubble Tea,4.5,$,992 6th Ave,40.7513413,-73.9864468,https://www.yelp.com/biz/i-milky-%E6%B2%90%E7%99%BD-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,FKjAriOhhGZJSlkqrk8zWg
30,Hawa smoothie & Bubble tea,Bubble Tea,,,1151 2nd Ave,40.76164,-73.96382,,
