,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Flats Fix Taqueria,Bars,3.5,$$,28 E 16th St,40.7365039,-73.9910582,https://www.yelp.com/biz/flats-fix-taqueria-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,AnAZaBsEuBjYvzaPMTN0oQ
1,Chilo's,Bars,4.0,$,323 Franklin Ave,40.68835,-73.95696,https://www.yelp.com/biz/chilos-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,XDl93co2VJznxglYcoQvmA
2,Taqueria Gramercy,Bars,,,218 3rd Ave,40.7363,-73.98531,,
3,Calexico - East Village,Breakfast & Brunch,4.0,$$,99 2nd Ave,40.72732,-73.98883,https://www.yelp.com/biz/calexico-east-village-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,UCcqDRcLO2MTyde0w0Wr3Q
4,Breakroom,Burgers,4.5,$$,83 Baxter St,40.7166907225542,-73.9999440120647,https://www.yelp.com/biz/breakroom-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,MfbVI5reXLIIs8Cc2HwgQw
5,For All Things Good,Cafes,,,343 Franklin Ave,40.687630013555,-73.9568200707436,,
6,Vida Verde,Cocktail Bars,4.5,$$,248 W 55th St,40.7649503286729,-73.9828372257363,https://www.yelp.com/biz/vida-verde-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Xjswj531-FkRZPpcccU6kQ
7,Fat Taco Hoboken,Cocktail Bars,,,32 Newark St,40.73679992626722,-74.02930302216558,,
8,Street Taco,Cocktail Bars,4.0,$$,358 3rd Ave,40.74097,-73.98202,https://www.yelp.com/biz/street-taco-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,hKkPlYmHoS9Nb_UbGGqx8A
9,Toro Loco,Cocktail Bars,4.0,$$,15 Stone St,40.70421,-74.01208,https://www.yelp.com/biz/toro-loco-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,nrwOQSXoRXfAYhkdjiUk8g
10,Conmigo,Cocktail Bars,4.0,$$,1685 1st Ave,40.77793,-73.94902,https://www.yelp.com/biz/conmigo-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,cy0vBvZu2Eb4XtRFCp8Seg
