,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Cellar 335,American (New),4.5,$$,335 Newark Ave,40.7249692,-74.0515195,https://www.yelp.com/biz/cellar-335-jersey-city?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,_hvgCRW8Vw1n3Usr9RPoUg
1,Upland,American (New),4.0,$$$,345 Park Ave S,40.7418912,-73.9846396,https://www.yelp.com/biz/upland-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,xkvv0n7jbl4Ra3Vm_jfxaA
2,Hold Fast Kitchen & Spirits,American (New),5.0,$$,364 W 46th St,40.76064,-73.99023,https://www.yelp.com/biz/hold-fast-kitchen-and-spirits-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,VLGmFHE4s0Sfu0piMVQa1Q
3,Atrium Dumbo,American (New),4.0,$$,15 Main St,40.7033899,-73.9904923,https://www.yelp.com/biz/atrium-dumbo-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,hmdm-dO72hLsMQwQRcGEUQ
4,Parker & Quinn,American (New),4.0,$$,64 W 39th St,40.7525862175813,-73.9850713153442,https://www.yelp.com/biz/parker-and-quinn-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,IOHaEgK1zDvUvB3SfKuGCw
5,Sojourn,American (New),4.0,$$,244 E 79th St,40.77343,-73.95568,https://www.yelp.com/biz/sojourn-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,1raNn0l3I4H9PcAJce69Sw
6,21 Greenpoint,American (New),4.0,$$$,21 Greenpoint Ave,40.72978,-73.95992,https://www.yelp.com/biz/21-greenpoint-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,f-WkzzSaAA_mdDmsKlJ4sw
7,The Spaniard,American (New),4.0,$$,190 W 4th St,40.7327497,-74.0021829,https://www.yelp.com/biz/the-spaniard-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,XO3yD87rTPz9o6Dy9qRaJg
8,Beauty & Essex,American (New),4.0,$$$,146 Essex St,40.720434786101286,-73.98686057623863,https://www.yelp.com/biz/beauty-and-essex-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,pfmAcS-g6SiNG0KlLvrqnA
9,The Cabin NYC,American (New),4.0,$$,205 E 4th St,40.72393,-73.98383,https://www.yelp.com/biz/the-cabin-nyc-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,J3NT61-AH5d5Gu5tFJhYSw
10,Anella,American (New),4.0,$$,222 Franklin St,40.73327,-73.95786,https://www.yelp.com/biz/anella-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,J5y7oRfiGtxFDkYGKxFZkw
11,The Beast Next Door,American (New),4.5,$$,42-51 27th St,40.74881,-73.94073,https://www.yelp.com/biz/the-beast-next-door-long-island-city-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,UF9F0A4e7AJHzNPG5zrHUQ
12,Traif,American (New),4.5,$$$$,229 S 4th St,40.710658,-73.958872,https://www.yelp.com/biz/traif-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,qLLxS7RwNEjP_jq_KQrPfA
13,Bijan's,American (New),4.0,$$,81 Hoyt St,40.68803,-73.98671,https://www.yelp.com/biz/bijans-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,mXLrVoEi80WZaZ3agBP5Jw
14,The Osprey,American (New),4.0,$$,60 Furman St,40.702241,-73.995539,https://www.yelp.com/biz/the-osprey-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,q11TljTQd33XCWlVoPyRqg
