,Lodging,Type,Rating,Price,Address,Lat,Lng,url,ID
0,69TheGrove,Bed & Breakfast,,,69 Vauxhall Grove,51.4848899841309,-0.120852999389172,,
1,Benny's B and B,Bed & Breakfast,,,44a-46a South Ealing Road,51.5031853,-0.3071255,,
2,L'Hotel Samuel,Bed & Breakfast,,,Hans,51.506420135498,-0.127210006117821,,
3,Helena's B&B,Bed & Breakfast,,,Moncrieff Street,51.470963,-0.065802,,
4,Ravna Gora Hotel,Bed & Breakfast,2.5,££,29 Holland Park Avenue,51.50749,-0.203127,https://www.yelp.com/biz/ravna-gora-hotel-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,f0UXHmJADcihKNSFjtAODA
5,Bull and Bush B&B Kingston,Bed & Breakfast,,,Washington Rd,51.4085999,-0.28947,,
6,The Claverly,Bed & Breakfast,,,13-14 Beaufort Gardens,51.4980926,-0.1640163,,
7,Fleuchary House,Bed & Breakfast,,,29 Upper Lattimore Road,51.752318,-0.332133,,
8,Dover Hotel London,Bed & Breakfast,,,42-44 Belgrave Road,51.4918938,-0.1417134,,
9,Cabbages & Kings B&B,Bed & Breakfast,,,The Old Post Office,51.3883018493652,0.0117499995976686,,
10,Fox Hill Bed and Breakfast,Bed & Breakfast,,,24 Fox Hill,51.4146118,-0.0777695,,
11,The House Of Toby,Bed & Breakfast,,,61-65 Swinton st,51.5286763,-0.1187091,,
12,The Lion Gate Mews,Bed & Breakfast,,,Lion Gate Hampton Court Road,51.4064087959919,-0.336934109262074,,
13,York & Albany Townhouse,Bed & Breakfast,,,127 Parkway,51.536207,-0.146165,,
14,West End Lodge B&B,Bed & Breakfast,,,West End Lane,51.3620431,-0.3810312,,
15,Marcos Bed and Breakfast,Bed & Breakfast,,,Widegate Street,51.5181,-0.0783151,,
16,Hostel Hyde Park View,Bed & Breakfast,,,11 Craven Hill Gardens,51.511728,-0.182899,,
17,Barry House,Bed & Breakfast,,,12 Sussex Place,51.514298,-0.172939,,
18,Gir Lion Lodge,Bed & Breakfast,,,Outer Circle,51.5357833816257,-0.154221852432128,,
19,Bed and Breakfast Wimbledon,Bed & Breakfast,,,42 Daybrook Road,51.406009,-0.19375,,
20,Hotel Tria,Bed & Breakfast,,,35-37 St Stephens Gardens,51.5177696,-0.1963492,,
21,Commongate Hotel,Bed & Breakfast,,,131-133 Markhouse Road,51.5762752,-0.0297424,,
22,MacDonald Hotel,Bed & Breakfast,,,45-46 Argyle Square,51.5289955,-0.1229296,,
23,The St. David's & Norfolk Court Hotel,Bed & Breakfast,,,16 Norfolk Square,51.516004,-0.173909,,
24,Ruskin Hotel,Bed & Breakfast,,,23-24 Montague Street,51.5197103,-0.1251425,,
25,Alderbrook Road B&B,Bed & Breakfast,,,26 Alderbrook Road,51.4508781,-0.1511484,,
26,Mount View Guest House,Bed & Breakfast,,,31 Mount View Road,51.57513,-0.118157,,
27,Bay Tree House,Bed & Breakfast,,,59 Brookdale,51.6187782,-0.1360756,,
28,Camden Bnb,Bed & Breakfast,,,1-3 Grafton Road,51.5468867409703,-0.144548937678337,,
29,Raintree Bed and Breakfast,Bed & Breakfast,,,162 Portsmouth Rd,51.389482,-0.324633,,
30,Seven Dials Hotel,Bed & Breakfast,,,7 Monmouth Street,51.5149,-0.126723,,
31,Wren Lodge,Bed & Breakfast,,,24 Beaconsfield Road,51.7515297,-0.3283994,,
32,The Liongate,Bed & Breakfast,,,1 Lion Gate,51.406325,-0.336571,,
33,Parkside Hotel,Bed & Breakfast,,,48-52 Clapham Common North Side,51.461613,-0.1496553,,
34,Highgate Station En Suite,Bed & Breakfast,,,258 Archway Road,51.57495,-0.1422,,
35,Hopfan Bed & Breakfast,Bed & Breakfast,,,192 Central Park Road,51.5288773,0.0454475,,
36,Barclay House London B&B,Bed & Breakfast,,,21 Barclay Road,51.479497,-0.197272,,
37,Dez - Rez Hotel,Bed & Breakfast,,,131 Catford Hill,51.4394077,-0.0319632,,
38,Cote,French,3.5,££,11 Jerdan Place,51.4807744501724,-0.198570303618908,https://www.yelp.com/biz/cote-london-44?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,FnzLgu5cHUcrG98wk8BpOA
39,The Harrison,Gastropubs,4.0,££,28 Harrison Street,51.527533751588,-0.1206015435123,https://www.yelp.com/biz/the-harrison-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,lJ5q7EkXvKtku0aUgsTrAw
40,Olympic Guest House,Guest Houses,,,70 Shoot Up Hill,51.5513626,-0.2084406,,
41,Piccolino Hotel,Guest Houses,,,14 Sussex Place,51.514298,-0.172939,,
42,Star Hotel,Guest Houses,,,97-99 Shepherds Bush Road,51.4981864,-0.2222067,,
43,Foreign Missions Club,Guest Houses,,,20-26 Aberdeen Park,51.5513539,-0.095137,,
44,Red Lion Hotel,Guest Houses,,,100 High Street,51.510541,-0.371427,,
45,Phoenix Lodge,Guest Houses,,,286 St Albans Road,51.6728894,-0.395955,,
46,Heatherbank Guest House,Guest Houses,5.0,££,25 Woodside Park Road,51.617226,-0.17879,https://www.yelp.com/biz/heatherbank-guest-house-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,fARhh7Qi0gbG5RByf0JiXQ
47,Limegrove Hotel,Guest Houses,,,101 Warwick Way,51.491347,-0.143563,,
48,London Guest House,Guest Houses,,,167 Horn Lane,51.5139969,-0.2695482,,
49,Chelsea Guest House,Guest Houses,,,372-374 Wandsworth Road,51.4712515,-0.1373962,,
50,Aron Guest House,Guest Houses,,,27 South Ealing Road,51.5031001,-0.3067851,,
51,Hampstead Village Guest House,Guest Houses,3.5,£££,2 Kemplay Road,51.5558066,-0.172092,https://www.yelp.com/biz/hampstead-village-guest-house-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,0wGix_lvipMqeu9p64r3Dg
52,Alfirdo's Guest House,Guest Houses,,,50 Mansfield Road,51.5639748,0.0656836,,
53,The Gardens Guesthouse,Guest Houses,,,36 Primrose Gardens,51.5472551735544,-0.163091706037113,,
54,Shepiston Lodge Heathrow,Guest Houses,,,31 Shepiston Lane,51.4958435,-0.4305285,,
55,Jessamine Guest House,Guest Houses,,,217 Hawley Road,51.4291606,0.2229114,,
56,Charlotte Guest House,Guest Houses,,,195-197 Sumatra Road,51.548781,-0.192443,,
57,House Boat Riverine,Guest Houses,,,Taggs Island,51.4091584,-0.3519559,,
58,Astor Museum Inn,Hostels,,,27 Montague Street,51.519656,-0.124971,,
59,UoL Accommodates,Hostels,,,ULU 4th Floor,51.5226205,-0.1315543,,
60,Generator London,Hostels,3.0,£,37 Tavistock Place,51.525956,-0.124763,https://www.yelp.com/biz/generator-london-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,WQOHo3UBjQclotskwEz0_A
61,Pickwick Hall,Hostels,,,7 Bedford Place,51.5199753687396,-0.12370895255367,,
62,Orchard House Hotel,Hotels,2.5,££,88 Sussex Gardens,51.5164202,-0.1712133,https://www.yelp.com/biz/orchard-house-hotel-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,tl6v6KPTYTK8b-iLIzVE1w
63,The Regency Hotel,Hotels,,,19 Nottingham Place,51.5215729,-0.153421,,
64,Caring Hotel,Hotels,3.5,££,24 Craven Hill Gardens,51.5128789,-0.1830508,https://www.yelp.com/biz/caring-hotel-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Wx-XiRNByKeT3rVnP6nBig
65,Euro Hotel,Hotels,3.0,££,51-53 Cartwright Gardens,51.526247,-0.1269904,https://www.yelp.com/biz/euro-hotel-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,YmZmzpClPSZEabRIqI-tnQ
66,The Belvedere,Hotels,3.0,£,52-54 Norfolk Square,51.5166821,-0.1726058,https://www.yelp.com/biz/the-belvedere-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,J4uj1M36H9yxsuDGDr-sQg
67,Tavistock Hotel,Hotels,2.5,££,48-55 Tavistock Square,51.5242414277584,-0.128316522252727,https://www.yelp.com/biz/tavistock-hotel-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ICQd0BDxqdOrcgBshjpNEw
68,DoubleTree by Hilton Hotel London - West End,Hotels,3.0,££,92 Southampton Row,51.5202715055578,-0.121863203559605,https://www.yelp.com/biz/doubletree-by-hilton-hotel-london-west-end-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,rCAmc_cKX5KAUHrZ9MUepg
69,George IV Regency Hotel,Hotels,4.0,£,7 Ida Street,51.5118301,-0.0113132,https://www.yelp.com/biz/george-iv-regency-hotel-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ZfgnUczgKJhJlOfYe-7vIA
70,Miller's Hotel,Hotels,5.0,£££,111a Westbourne Grove,51.5150554,-0.1936962,https://www.yelp.com/biz/millers-hotel-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,6r3jpZ377oysG0CLsCXcZw
71,Sofitel London Heathrow,Hotels,4.0,£££,London Heathrow Airport,51.473419,-0.4916834,https://www.yelp.com/biz/sofitel-london-heathrow-hounslow?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,IW9G8qSauDss5ECMqECw6A
72,K West Hotel & Spa,Hotels,3.5,£££,Richmond Way,51.50245,-0.216437,https://www.yelp.com/biz/k-west-hotel-and-spa-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,bf7L0sfjtncteeV7xrBFGQ
73,Grantly Hotel,Hotels,3.5,££,50 Shepherds Bush Green,51.5033379,-0.222702,https://www.yelp.com/biz/grantly-hotel-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,x98G1wVSZ_YbzPBzaHUAcQ
