,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Carmelli,Bagels,4.0,£,126-128 Golders Green Road,51.5739863,-0.2007461,https://www.yelp.com/biz/carmelli-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,1iZkMMh1PZnCjQhJLivG3Q
1,Quartiers,Bakeries,4.0,££,47 Warwick Way,51.4920492171925,-0.140656046569347,https://www.yelp.com/biz/quartiers-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,FeRP9CIb0TLDkDv9fbLe7g
2,Bonne Bouche Catering,Bakeries,3.5,£,129 Praed Street,51.5166095,-0.1734508,https://www.yelp.com/biz/bonne-bouche-catering-london-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,v15QYkGuOjhdqDV60r08QQ
3,Baker & Spice,Bakeries,4.0,££,54-56 Elizabeth Street,51.4936,-0.150758,https://www.yelp.com/biz/baker-and-spice-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,jIuiv7VJkAAM5bRCuKNozg
4,Raab's Bakery,Bakeries,5.0,£,136 Essex Road,51.5393189,-0.0977451,https://www.yelp.com/biz/raabs-bakery-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,DARE_WvgMZINvslycDPJFQ
5,Cake Boy,Bakeries,4.5,£££,Unite 2 Kingfisher House / Battersea Reach,51.4647477201238,-0.184028157672174,https://www.yelp.com/biz/cake-boy-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,5tIA8ET05tlWsD7IcQuofQ
6,Popina,Bakeries,,,82 Duke Street,51.5130134404197,-0.150612695002224,,
7,Di Lieto Bakery,Bakeries,,,South Lambeth Road,51.4773216,-0.1231037,,
8,The Wild Goose Bakery,Bakeries,4.5,££££,654 High Road,51.56867,0.01134,https://www.yelp.com/biz/the-wild-goose-bakery-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,nJA-5mA9yvHF55M-cwWVRg
9,Ben's Cookies,Bakeries,4.5,£,13A The Piazza,51.5122,-0.122449,https://www.yelp.com/biz/bens-cookies-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,vt3Klo2UTjlvQD4AvU7d2A
10,GAIL's Bakery - Bloomsbury,Bakeries,4.5,£,11-13 Bayley Street,51.5188693,-0.131913,https://www.yelp.com/biz/gails-bakery-bloomsbury-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,3PeQF-J_j89dcLcC0P5o4A
11,Kastner and Ovens,Bakeries,4.5,£,52 Floral Street,51.5135034,-0.1227604,https://www.yelp.com/biz/kastner-and-ovens-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,HXjHL0L7lqtQQ1KJ0ZKAug
12,Poilane,Bakeries,4.0,££,46 Elizabeth Street,51.493827,-0.150838,https://www.yelp.com/biz/poilane-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,3AXQMV-Yirhfq4oQHry6tA
13,The Hummingbird Bakery,Bakeries,3.5,££,47 Old Brompton Road,51.4933421535998,-0.175513593691228,https://www.yelp.com/biz/the-hummingbird-bakery-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,amwXVuFLQbmANNjDKjbXrw
14,P J Bakers,Bakeries,,,93 Wapping Lane,51.505391,-0.057917,,
15,Akdeniz Bakery,Bakeries,4.5,££,60 Stoke Newington High Street,51.558398,-0.0740563,https://www.yelp.com/biz/akdeniz-bakery-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,FEfzDsEOSdtHvf3aTrb6lQ
16,GAIL's Bakery Hampstead,Bakeries,4.5,££,64 Hampstead High Street,51.5561216,-0.1779628,https://www.yelp.com/biz/gails-bakery-hampstead-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,1OcBgrUzPgp82BfZBUKRow
17,Delice de France,Bakeries,2.5,££,Paddington Station,51.5156898498535,-0.176127001643181,https://www.yelp.com/biz/delice-de-france-london-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,5aKBzS_J3DF2cxhzC5IGGw
18,Luminary Bakery,Bakeries,,,47 Chalk Farm Road,51.543002,-0.148795,,
19,Fabrique,Bakeries,,,239 High Holborn,51.5176073307184,-0.119026713073254,,
20,Upper Fleet Bakery,Bakeries,,,7 - 11 Upper Woburn place,51.5263319313231,-0.129384561430401,,
21,Maroush Bakehouse,Bakeries,4.5,££,131 Earls Court Road,51.49332,-0.194478,https://www.yelp.com/biz/maroush-bakehouse-london-6?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Da8ClETsPknyD-XIam-jbg
22,Melissa,Bakeries,4.0,£,88 Camden High Street,51.5367341,-0.1403202,https://www.yelp.com/biz/melissa-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,-3USXGHx6Xcpwq-ueoED7g
23,Old Post Office Bakery,Bakeries,4.5,££,76 Landor Road,51.465915224149,-0.12510033116717,https://www.yelp.com/biz/old-post-office-bakery-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,X8UxGRF_ju6cfIB2fZizqQ
24,E5 Bakehouse,Bakeries,4.5,££,395 Mentmore Terrace,51.5412038403948,-0.0576161965996107,https://www.yelp.com/biz/e5-bakehouse-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,-6GHU4qI0DKsIrBpv57qTg
