,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,The Bike Shed,Accessories,4.5,££,384 Old Street,51.5270903,-0.0782151,https://www.yelp.com/biz/the-bike-shed-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,BNdzjiLoibX1uSH4kAQy5w
1,Red Door,Art Galleries,4.5,££,10 Turnpin Lane,51.481164,-0.009072,https://www.yelp.com/biz/red-door-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RYus9YxVxD-R8jm6xkDX8g
2,Primrose Bakery,Bakeries,4.0,££,69 Gloucester Avenue,51.5402263,-0.1511222,https://www.yelp.com/biz/primrose-bakery-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,dIWOqYszVKk-oswXDzUH6A
3,Konditor,Bakeries,4.5,££,22 Cornwall Rd,51.5042899533514,-0.110367141112856,https://www.yelp.com/biz/konditor-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,1epk2D1-2-g08GAntFlySg
4,Rinkoff Bakeries,Bakeries,4.5,£,224 Jubilee Street,51.5198880062398,-0.0530246183202313,https://www.yelp.com/biz/rinkoff-bakeries-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,OLXnVhh19HtAnbywQzD3zw
5,Nordic Bakery,Bakeries,3.5,££,14 Golden Square,51.5114297969411,-0.13674108684063,https://www.yelp.com/biz/nordic-bakery-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Sh_PrXavTAk2d5jTs_onuQ
6,E5 Bakehouse,Bakeries,4.5,££,395 Mentmore Terrace,51.5412038403948,-0.0576161965996107,https://www.yelp.com/biz/e5-bakehouse-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,-6GHU4qI0DKsIrBpv57qTg
7,The Wild Goose Bakery,Bakeries,4.5,££££,654 High Road,51.56867,0.01134,https://www.yelp.com/biz/the-wild-goose-bakery-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,nJA-5mA9yvHF55M-cwWVRg
8,Queen Elizabeth Roof Garden Bar & Café,Bars,3.5,££,Queen Elizabeth Hall,51.50571,-0.116686820983887,https://www.yelp.com/biz/queen-elizabeth-roof-garden-bar-and-caf%C3%A9-southbank-centre-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,pOQwGM-8Qrwb8PGzLDGyeg
9,Books for Cooks,Bookstores,5.0,££,4 Blenheim Cresent,51.5159431,-0.2053744,https://www.yelp.com/biz/books-for-cooks-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,-fLxQOd0pjTkQl4ttwR4XA
10,The Ivy Kensington Brasserie,Brasseries,4.0,£££,96 Kensington High Street,51.5015677,-0.1921797,https://www.yelp.com/biz/the-ivy-kensington-brasserie-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wCjU2KuTntCZDCZSIS1Uxw
11,GAIL's Bakery Neo Bankside,Breakfast & Brunch,4.5,££,Unit C Neo Bankside,51.5066352772979,-0.100412668500134,https://www.yelp.com/biz/gails-bakery-neo-bankside-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,U_XeFWW1Lttdq22txTABMw
12,L'ETO Caffe,Breakfast & Brunch,,,46-48 Shepherd Market,51.5065040588379,-0.14690899848938,,
13,The Garden Café,British,3.5,££,Inner Circle,51.5268751462841,-0.154452323913574,https://www.yelp.com/biz/the-garden-caf%C3%A9-london-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,kOmkk63gMmsKk0Wve5aJRA
