,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Roomscape,Antiques,4.0,££,in the CityStore,51.5441433,-0.1511037,https://www.yelp.com/biz/roomscape-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,HqH0Z0mZPhCyMRTY3Gq4KA
1,After Noah,Antiques,4.0,£££,121 Upper Street,51.539117,-0.1026872,https://www.yelp.com/biz/after-noah-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,t5EthzFtA6mB2SzdFcfzPQ
2,House of Twenty,Antiques,5.0,££,Unit 5,51.5615708,-0.045895,https://www.yelp.com/biz/house-of-twenty-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,2P2qP8XcFFYnyX6BvguYxA
3,Carmelli,Bagels,4.0,£,126-128 Golders Green Road,51.5739863,-0.2007461,https://www.yelp.com/biz/carmelli-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,1iZkMMh1PZnCjQhJLivG3Q
4,J F Ayre,Bakeries,4.0,£,131-133 Evelina Road,51.4660904,-0.0566952,https://www.yelp.com/biz/j-f-ayre-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,SGFChjEHGxDAMBQ60qqrJw
5,Baker & Spice,Bakeries,4.0,££,54-56 Elizabeth Street,51.4936,-0.150758,https://www.yelp.com/biz/baker-and-spice-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,jIuiv7VJkAAM5bRCuKNozg
6,Boxcar Baker & Deli,Bakeries,4.0,££,7A Wyndham Place,51.5195266,-0.161565,https://www.yelp.com/biz/boxcar-baker-and-deli-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,TB31gU2v3mFZphYYN-xecg
7,Laurents,Bakeries,4.5,£,39 Craven Road,51.513468,-0.179164,https://www.yelp.com/biz/laurents-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,HAi7bThXmEtooc5ZQq9hdw
8,Baker & Spice,Bakeries,4.0,££,47 Denyer Street,51.4939913,-0.164682,https://www.yelp.com/biz/baker-and-spice-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,L5bYiNsHg-hKJraeFXBSYA
9,Ottolenghi,Bakeries,4.0,££,63 Ledbury Road,51.514890823172,-0.19941762827537,https://www.yelp.com/biz/ottolenghi-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,L-ZNTln24SoU_jYia4M19Q
