,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Fortnum & Mason,Accessories,4.5,£££,181 Piccadilly,51.5083667842501,-0.138357858761537,https://www.yelp.com/biz/fortnum-and-mason-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,eyFzHGBlLjMWmsXFdMrA3w
1,Tongue & Brisket,Bagels,4.5,£,24 - 26 Leather Lane,51.5196877,-0.1090228,https://www.yelp.com/biz/tongue-and-brisket-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ouUibt3L9NmacPoLChpbOw
2,Beigel Shop,Bagels,4.0,£,155 Brick Lane,51.5243997,-0.0718118,https://www.yelp.com/biz/beigel-shop-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,zjqHfmPFsaeoA6yW8_QWgw
3,Camden Bakery,Bakeries,4.5,£,94 Camden High Street,51.5370833,-0.1407642,https://www.yelp.com/biz/camden-bakery-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,pa2j9BlCHH8mRIk-TtD6UQ
4,Le Deli Robuchon,Bakeries,,,82 Piccadilly,51.5064442712487,-0.14376774430275,,
5,Boxcar Baker & Deli,Bakeries,4.0,££,7A Wyndham Place,51.5195266,-0.161565,https://www.yelp.com/biz/boxcar-baker-and-deli-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,TB31gU2v3mFZphYYN-xecg
6,Yosi's Boulangerie,Bakeries,2.0,££,6 Church Road,51.6173362731934,-0.311823010444641,https://www.yelp.com/biz/yosis-boulangerie-harrow?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,pxO1nI9YIb3fRTX0CR--sw
7,Laurents,Bakeries,4.5,£,39 Craven Road,51.513468,-0.179164,https://www.yelp.com/biz/laurents-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,HAi7bThXmEtooc5ZQq9hdw
8,Beigel Bake,Bakeries,4.0,£,159 Brick Lane,51.524391,-0.071726,https://www.yelp.com/biz/beigel-bake-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,CrQcYS4nWWdXmSD1pxf_KA
9,R.Garcia And Sons,"Beer, Wine & Spirits",4.5,££,248-250 Portobello Road,51.5179338237067,-0.206555083681268,https://www.yelp.com/biz/r-garcia-and-sons-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,07pOO0t1pNovNVOdAAYCUw
