,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Bbar,African,4.5,££,43 Buckingham Palace Road,51.497974,-0.143766,https://www.yelp.com/biz/bbar-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,R5t27MqnxMsO9Hu6KPXFlw
1,The Lyric,Bars,4.5,££,37 Great Windmill Street,51.511283,-0.134466,https://www.yelp.com/biz/the-lyric-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,3yvDAVKLDtsXZEHrskuobA
2,Belgo Centraal,Belgian,4.0,££,50 Earlham Street,51.5137833644188,-0.125649969207333,https://www.yelp.com/biz/belgo-centraal-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,H-l4CDhIZ0uTfyv_lR1p7Q
3,The Ivy Kensington Brasserie,Brasseries,4.0,£££,96 Kensington High Street,51.5015677,-0.1921797,https://www.yelp.com/biz/the-ivy-kensington-brasserie-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wCjU2KuTntCZDCZSIS1Uxw
4,Joe's Kitchen,Breakfast & Brunch,4.5,££,34-36 Ludgate Hill,51.5139558868086,-0.10158833116293,https://www.yelp.com/biz/joes-kitchen-london-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ArUuYwKsa4p8qIOSMuFOAA
5,The Culpeper,British,4.0,££,40 Commercial Street,51.5169119,-0.0730395,https://www.yelp.com/biz/the-culpeper-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,jWv5TAis6tiZTpMoiPnJUg
6,The Marquis of Westminster,British,4.0,££,50 Warwick Way,51.491901,-0.140515,https://www.yelp.com/biz/the-marquis-of-westminster-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ySM7A1ljKIthN6ckAYdN5g
7,The Counting House,British,4.0,££,50 Cornhill,51.5132994,-0.0850051,https://www.yelp.com/biz/the-counting-house-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,kvYMn-GCE9Qim94iZjFKkA
8,The Ivy In the Park,British,,,50 Canada Square Park,51.504897682075,-0.017380379140377,,
9,The Alfred Tennyson Belgravia,British,4.0,££,10 Motcomb Street,51.499631,-0.156411,https://www.yelp.com/biz/the-alfred-tennyson-belgravia-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,1c60bGFaWOhq_ra06w9daQ
10,The Anchor and Hope,British,4.0,££,36 The Cut,51.503472834404,-0.10658608333864,https://www.yelp.com/biz/the-anchor-and-hope-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,9ad4tZB0Mp-tNnXLZwYvUA
11,Giraffe,British,4.0,££,120 Wilton Rd,51.493899,-0.1423036,https://www.yelp.com/biz/giraffe-london-13?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Ck5cgnj3SlLgieo5hMvHQg
12,Swan,British,4.0,££,Swan Shakespeare's Globe,51.50835,-0.096985,https://www.yelp.com/biz/swan-bankside?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,K0lmqEgpNz97FausJUyn1A
13,Hobson's Fish & Chips,British,4.0,££,9 Porchestor Road,51.516575,-0.188111,https://www.yelp.com/biz/hobsons-fish-and-chips-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,UjN6Tge5rcRLj-P_Fq4YCw
14,Sutton & Sons,British,4.0,££,90 Stoke Newington High Street,51.5594284,-0.0738991,https://www.yelp.com/biz/sutton-and-sons-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,h8KZg7Xx9RJgGqpy0vR31Q
15,The Portman,British,4.0,££,51 Upper Berkeley Street,51.5152469791282,-0.161370500226781,https://www.yelp.com/biz/the-portman-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,pOnkBNgFreS7QzKZXXV3jA
16,The Greenwich Union,British,4.5,££,56 Royal Hill,51.47653480684,-0.0095805481062472,https://www.yelp.com/biz/the-greenwich-union-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,uq52voow6qazaRAFJ0ceMw
17,The Gloucester,British,3.5,££,187 Sloane Street,51.4999756,-0.1595376,https://www.yelp.com/biz/the-gloucester-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,-clnu6vMMIc4616znY_fbA
18,The Brigade,British,4.0,££,The Fire Station,51.503998121482,-0.081185291718264,https://www.yelp.com/biz/the-brigade-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,UdTUPiDa-hz4q5r01f_Ojg
19,Ffiona's Restaurant,British,4.5,££,51 Kensington Church Street,51.50405773515,-0.192783395566043,https://www.yelp.com/biz/ffionas-restaurant-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,70Q-Ll18zb4aglXXbUG7lw
20,Garfunkel's,British,3.5,££,355-357 The Strand,51.5109481154293,-0.119993571927572,https://www.yelp.com/biz/garfunkels-london-11?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ReQ9o47btYxJwwwPjqjzJg
21,The Queens Arms,British,4.5,££,11 Warwick Way,51.4925789,-0.1392194,https://www.yelp.com/biz/the-queens-arms-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Wjgxl0lSp_FRtzecbJ4FZQ
