,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Fischer's,Austrian,4.0,£££,50 Marylebone High Street,51.5216155579831,-0.151699820819173,https://www.yelp.com/biz/fischers-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,apqNvjbaB20wozywrLNPiQ
1,Hansel & Pretzel,Bakeries,5.0,££,71 Ham Street,51.4384193,-0.3134942,https://www.yelp.com/biz/hansel-and-pretzel-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RQxZlkXAAiDA6KNmvThi5w
2,Baltic Bar and Restaurant,Bars,4.0,£££,74 Blackfriars Road,51.503466,-0.104866,https://www.yelp.com/biz/baltic-bar-and-restaurant-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,fdwAAs9cm_uLkgxXedYh3w
3,Tiger Tiger,Bars,2.5,££,Haymarket House,51.5096445,-0.1325555,https://www.yelp.com/biz/tiger-tiger-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Ztez_cQAGM1-37QvYaqY_Q
4,The Peahen,Breakfast & Brunch,4.0,££,14 London Road,51.7507088,-0.339535,https://www.yelp.com/biz/the-peahen-st-albans-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,EFpGMzFyjVNgEyqa_j-m_A
5,The Modern Pantry,Breakfast & Brunch,4.0,££,47-48 St John's Square,51.5230301121618,-0.103575187145258,https://www.yelp.com/biz/the-modern-pantry-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,zOLPCLptUE2UKRXYWCEHvg
6,Social Eating House,British,4.0,£££,58 Poland Street,51.5136727,-0.1363879,https://www.yelp.com/biz/social-eating-house-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,CWYCCZkND7MEsOZH6C3jAg
7,The Gun,British,4.0,££,27 Coldharbour,51.5017821676253,-0.00774186701236745,https://www.yelp.com/biz/the-gun-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,P-lfeLq93Bo6KQb5CnWIZw
8,The Greenwich Union,British,4.5,££,56 Royal Hill,51.47653480684,-0.0095805481062472,https://www.yelp.com/biz/the-greenwich-union-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,uq52voow6qazaRAFJ0ceMw
9,The Antelope,British,3.5,££,76 Mitcham Road,51.4260812,-0.1658628,https://www.yelp.com/biz/the-antelope-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,hqznZa5xhj32u27icNxLeA
