,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Ben's Cookies,Bakeries,4.5,£,13A The Piazza,51.5122,-0.122449,https://www.yelp.com/biz/bens-cookies-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,vt3Klo2UTjlvQD4AvU7d2A
1,Wafflemeister,Belgian,4.0,£,369 Oxford Street,51.5144262,-0.1487016,https://www.yelp.com/biz/wafflemeister-london-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,7uY61Pir04yLNL2nHFr8iQ
2,Creams,Cafes,,,2-4 Tooley Street,51.5065123758158,-0.087602,,
3,Motown Desserts,Cafes,2.5,£,157 Bethnal Green Road,51.5253212,-0.0711852,https://www.yelp.com/biz/motown-desserts-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,L1GjvNwNYtqBcHQPjjzzYQ
4,Coffee Corner,Cafes,4.5,££,314 St Pauls Rd,51.5462706,-0.1024184,https://www.yelp.com/biz/coffee-corner-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,mmVaCz8guvUYaxvWhzHFGA
5,Caffè Paradiso,Cafes,3.5,£,45 Shad Thames,51.5037948384648,-0.0751456994937975,https://www.yelp.com/biz/caff%C3%A8-paradiso-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,FNjTbgr-_xo8rCFvDvEMNA
6,Patisserie Valerie,Cafes,3.5,££,15 Bedford Street,51.5105155,-0.1244745,https://www.yelp.com/biz/patisserie-valerie-london-48?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,O-a4dCQH0ylxYt8pnA4byQ
7,Dezato,Cafes,,,53 Charlotte Street,51.51955,-0.13612,,
8,The Urban Chocolatier,Chocolatiers & Shops,4.0,££,9 Davenant Street,51.5183754,-0.0657378,https://www.yelp.com/biz/the-urban-chocolatier-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,dh5PaajOkMvMOBDojNKuFA
9,Diwan Damas,Chocolatiers & Shops,,,121b Edgware Road,51.516528,-0.165439,,
10,unico,Coffee & Tea,,,75 High Street,51.4022265,0.0159255,,
11,Brü Coffee,Coffee & Tea,3.5,££,St Ann's Road,51.5814657,-0.3364912,https://www.yelp.com/biz/br%C3%BC-coffee-harrow?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,XsSWRoReLT5UQcNrdEQODA
12,'The Black Lab' Coffee House,Coffee & Tea,4.0,££,18 Clapham Common South Side,51.4610903556983,-0.138673064112254,https://www.yelp.com/biz/the-black-lab-coffee-house-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ghg0SAC1cuKkk46ji-M9Kw
13,Kahve Dünyası,Coffee & Tea,3.5,££,200 Piccadilly,51.508892,-0.136278,https://www.yelp.com/biz/kahve-d%C3%BCnyas%C4%B1-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,M7vRWuJpUMEZucXNQ_U_cg
14,The Italian Gelato Co,Creperies,,,5 Station Road,51.5564387,0.2491254,,
15,Creams,Creperies,,,89-91 New Road,51.5171575917156,-0.0625228188183266,,
16,Hans and Gretel UK,Desserts,,,Unit 91,51.5425469837881,-0.148448460118857,,
17,Amorino,Desserts,4.5,££,8 Fulham Broadway,51.480018,-0.1963807,https://www.yelp.com/biz/amorino-london-7?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RejBPhuMCYnn6dlC0pg37A
18,Hatch Waffles,Desserts,2.5,£,13 Moor Street,51.5136215,-0.1300082,https://www.yelp.com/biz/hatch-waffles-soho?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,QWvzXNyKnLShgfyWbDSFZA
19,The Chocolate Room,Desserts,4.0,£,324 Station Road,51.5809039,-0.3337373,https://www.yelp.com/biz/the-chocolate-room-harrow?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,BWbLNYoD08lsr8022XtdwQ
20,Gelato Mio,Desserts,4.0,£,138 Holland Park Avenue,51.5060713500154,-0.208225250244141,https://www.yelp.com/biz/gelato-mio-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,iCpgHMp8ZR10MjJa0cMdTQ
21,Snowflake Luxury Gelato,Desserts,4.0,££,43 Westbourne Grove,51.5154841,-0.190165,https://www.yelp.com/biz/snowflake-luxury-gelato-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,DTDBT3fmMmjTQkIVie9rHA
22,Treatz-  Wembley,Desserts,,,Unit 5A,51.557039,-0.282688,,
