,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Flora Indica,Bars,5.0,££,242 Old Brompton Road,51.489858,-0.189819,https://www.yelp.com/biz/flora-indica-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,T-XPkD7xHKJSgPe0xzj5xw
1,Buffet V,Buffets,2.5,£,40 New Oxford Street,51.517321,-0.125744,https://www.yelp.com/biz/buffet-v-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,2lWUKvMti15N83x_Z66F3Q
2,Saffron,Fast Food,,,184 Tulse Hill,51.441115,-0.107464,,
3,New Didar Tandoori,Fast Food,4.5,££,347 Caledonian Rd,51.5424212,-0.1175256,https://www.yelp.com/biz/new-didar-tandoori-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,DKb80Hmcm1k3c1kuMaBPZw
4,Bhaji's,Fast Food,,,1 Lever Street,51.526521,-0.0997948,,
5,Star Kebab House,Fast Food,4.0,£,178 Earls Court Road,51.4932627,-0.1946912,https://www.yelp.com/biz/star-kebab-house-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,95I5AhsiULcXqT4C7OJTtg
6,2 Sisters Tandoori,Fast Food,,,4 Gibbon Road,51.4684605,-0.0527638,,
7,Salwa Restaurant,Fast Food,4.5,££,4 Crawford Place,51.517765,-0.166343,https://www.yelp.com/biz/salwa-restaurant-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,JDer4iz_k9XgbL2Rza0oDA
8,Needoo Grill,Indian,4.0,££,87 New Road,51.517049,-0.062574,https://www.yelp.com/biz/needoo-grill-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ZUeoejTGHaL173oodsCkxg
9,Indian Zing,Indian,4.5,££,236 King Street,51.493346,-0.2370768,https://www.yelp.com/biz/indian-zing-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,gvg1Ww4D9phC9mHvDjovNA
10,Spice 6,Indian,4.5,££,22 Station Parade,51.54957,-0.221129,https://www.yelp.com/biz/spice-6-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ZoFpi9NG_2V0w4e2tNjVSQ
11,Haandi,Indian,3.5,££,7 Cheval Place,51.4989505199775,-0.166097811955979,https://www.yelp.com/biz/haandi-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,GcNvcMEbFbk5vk62Smy75A
12,Shoreditch Plus,Indian,,,53 Great Eastern Street,51.5244274,-0.0808382,,
13,Paradise Hampstead,Indian,4.0,££,49 South End Road,51.5555849,-0.1667721,https://www.yelp.com/biz/paradise-hampstead-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,r-P0aKKZQWG5AYzXDjT_og
14,Pure Indian Cooking,Indian,5.0,££,67 Fulham High Street,51.4700223,-0.210128,https://www.yelp.com/biz/pure-indian-cooking-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,8mzo8w9U8BVcQfbITkTu_w
15,Poppadom Express London,Indian,,,The Tavistock Hotel,51.5249465,-0.1298937,,
16,Pilau,Indian,,,34 Goodge Street,51.5197001,-0.1352255,,
17,Aroma Spice Restaurant,Indian,4.5,£££,98 Fleet Road,51.55369,-0.16206,https://www.yelp.com/biz/aroma-spice-restaurant-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,W6a4fHILvAgGaHVou5ojlA
18,Jamavar,Indian,4.0,£££,8 Mount Street,51.510344,-0.148411,https://www.yelp.com/biz/jamavar-mayfair?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,uX111X4yzU82Ef9fkSRC8A
19,Cafe Silka,Indian,4.5,££,30 Albion Street,51.499434608424,-0.053143651424866,https://www.yelp.com/biz/cafe-silka-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,LHgANF39rcuiRaJv1ibi3Q
20,Vijay India Restaurant,Indian,4.5,££,49 Willesden Lane,51.5407952,-0.201584,https://www.yelp.com/biz/vijay-india-restaurant-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RnI5EHQP9esD19epdo8s8Q
21,Cinnamon Kitchen,Indian,4.0,£££,9 Devonshire Square,51.5169345,-0.0785229,https://www.yelp.com/biz/cinnamon-kitchen-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,0BG_mXo4lZWuouRcTXUMLA
22,Pimlico Tandoori,Indian,3.5,££,38 Moreton Street,51.489003054555,-0.13693233597241,https://www.yelp.com/biz/pimlico-tandoori-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,H3VwgUMKBaKV91pcT_ZZXw
23,Benares Restaurant & Bar,Indian,4.0,££££,12a Berkeley Square,51.5098634,-0.1450438,https://www.yelp.com/biz/benares-restaurant-and-bar-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,GeqY69TrwGHHgKTsPwAyMw
