,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Burger & Lobster,American (Traditional),4.5,£££,29 Clarges Street,51.5069919134923,-0.145631313738818,https://www.yelp.com/biz/burger-and-lobster-mayfair?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,otUz0bAJLkorJkMgEjRErA
1,Big Easy,American (Traditional),3.5,££,332-334 Kings Road,51.4852959,-0.1744201,https://www.yelp.com/biz/big-easy-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,PA45Xv1AQ1gFwXyqHWG2sQ
2,Smith and Wollensky,American (Traditional),4.5,££££,Adelphi Building,51.5094223677469,-0.122259323817679,https://www.yelp.com/biz/smith-and-wollensky-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,t2BqpfxS4oTAYiYDXe0YgA
3,Bodean's,American (Traditional),4.0,££,D'Arblay House,51.514481362499,-0.13676105637839,https://www.yelp.com/biz/bodeans-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Fa9718rkbQuMh3DYgvsSYw
4,Byward Kitchen & Bar,Bakeries,4.0,££,Byward Street,51.5092887647333,-0.0789638981223106,https://www.yelp.com/biz/byward-kitchen-and-bar-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,xViBKVW8zxlrxLfDam2eqg
5,Zelman Meats - Soho,Barbeque,4.5,£££,2 St Anne's Court,51.5141528,-0.1342634,https://www.yelp.com/biz/zelman-meats-soho-soho?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,W_4gutWf9VBp-sMWbUT_YA
6,The Groucho Club,Bars,4.0,£££,45 Dean Street,51.5131501,-0.1319603,https://www.yelp.com/biz/the-groucho-club-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,VbiXcnBuhN2Pag5L2YEGyQ
7,Project Orange,Bars,4.5,££,43 St John's Hill,51.462851913426,-0.17040910213262,https://www.yelp.com/biz/project-orange-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ZsvAq-7mwVE4VBB4Q82jaQ
8,40FT Brewery,Bars,,,Bootyard Abbott Street,51.54714,-0.07451,,
9,The Windmill,Bars,4.0,£,22 Blenheim Gardens,51.454076,-0.122358,https://www.yelp.com/biz/the-windmill-brixton?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,_FQN0IhRZjwVukbYrRLGsQ
10,The Castle,Bars,3.5,££,44 Commercial Road,51.514879,-0.069419,https://www.yelp.com/biz/the-castle-london-15?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,eK0E2srBO3IQEd3GeoSj_w
11,Refuel Bar & Restaurant,Bars,4.0,£££,The Soho Hotel,51.513944,-0.133896,https://www.yelp.com/biz/refuel-bar-and-restaurant-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,a5ZWvBeU92L2x1flEm7rJw
12,Made in Brasil,Brazilian,4.0,££,12 Inverness Street,51.539567,-0.143694,https://www.yelp.com/biz/made-in-brasil-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Jr1fnvoM1SiQa9wPt5armA
13,The English Grill,Breakfast & Brunch,,,39 Buckingham Palace Road,51.49824499,-0.14346439,,
14,The Marquis of Westminster,British,4.0,££,50 Warwick Way,51.491901,-0.140515,https://www.yelp.com/biz/the-marquis-of-westminster-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ySM7A1ljKIthN6ckAYdN5g
15,City Social,British,4.0,££££,Tower 42,51.515333,-0.083793,https://www.yelp.com/biz/city-social-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,BVWIueqPJKCuKQ6kUgPDHQ
16,The Slug and Lettuce,British,3.0,££,Unit 1 Tower Bridge House,51.5083355070426,-0.073478179090023,https://www.yelp.com/biz/the-slug-and-lettuce-tower-bridge?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,zxCDMClLlykVeX6aiIKk1Q
17,Petrichor at The Cavendish London,British,4.5,£££,81 Jermyn Street,51.5078354,-0.1380049,https://www.yelp.com/biz/petrichor-at-the-cavendish-london-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,f0TH1YY6Ms1JLfgMpZXW3w
18,"OXO Tower Restaurant, Bar And Brasserie",British,4.0,£££,Barge House st,51.5083860657884,-0.108466279762297,https://www.yelp.com/biz/oxo-tower-restaurant-bar-and-brasserie-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,yEo_5mmozlhGpwUWEqaw9w
19,Kings Place,British,4.5,££,90 York Way,51.534649,-0.122138,https://www.yelp.com/biz/kings-place-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,NwirTLOE30tNZ6OrP46vVA
20,Muriel's Kitchen,British,4.0,££,Unit 1,51.494117,-0.174468,https://www.yelp.com/biz/muriels-kitchen-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wm6Hwzan5qYhTzCDmO3oDQ
21,The Riding House Café,British,3.5,££,43-51 Great Tichfield Street,51.5183614862654,-0.140664577282208,https://www.yelp.com/biz/the-riding-house-caf%C3%A9-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,cA7GccAlTm6EdudmEUFtSA
22,Maggie's Cafe & Restaurant,British,4.5,£,322 Lewisham Road,51.4654243,-0.013502,https://www.yelp.com/biz/maggies-cafe-and-restaurant-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,QNaLgyv4re0U8r_qV7PU-w
23,Gordon Ramsay Bar & Grill,British,3.5,££££,10-13 Grosvenor Square,51.512403,-0.151296,https://www.yelp.com/biz/gordon-ramsay-bar-and-grill-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,TAp2svGm7xF5ZQwenQwbRw
24,Mother Mash,British,4.0,££,26 Ganton Street,51.512935,-0.139414,https://www.yelp.com/biz/mother-mash-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,IBV7BsXnv2gX68nWUARhjw
25,Hedone,British,4.0,££££,301-303 Chiswick High Road,51.492589,-0.267601,https://www.yelp.com/biz/hedone-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Tk6JpdIUpEDmjWRpLe1lCw
26,Maggie Jones's,British,4.5,£££,6 Old Court Place,51.502856014927,-0.1909916674772,https://www.yelp.com/biz/maggie-joness-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,5tAAwu7ZDhulLsyt09bXnw
27,Old Dispensary,British,,,325 Camberwell New Road,51.4747069,-0.0951693,,
28,The Punch Tavern,British,4.0,££,99 Fleet Street,51.5140964,-0.1048819,https://www.yelp.com/biz/the-punch-tavern-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,KhdHfbo3CAlCayrrI7Kf-A
29,Pieminister,British,4.0,£,Gabriel's Wharf,51.507826,-0.110065,https://www.yelp.com/biz/pieminister-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ij6JgRnQmdXND4uokTFIdQ
30,Corrigan's Mayfair,British,4.0,£££,28 Upper Grosvenor Street,51.509892,-0.155116,https://www.yelp.com/biz/corrigans-mayfair-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,TF4OCTkOkU7ybcI9nUIAiw
31,The English Restaurant,British,4.0,££,50-52 Brushfield Street,51.5189580049569,-0.076603889465332,https://www.yelp.com/biz/the-english-restaurant-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,96e4OEzbAooftH1qaUxa5g
32,The Alfred Tennyson Belgravia,British,4.0,££,10 Motcomb Street,51.499631,-0.156411,https://www.yelp.com/biz/the-alfred-tennyson-belgravia-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,1c60bGFaWOhq_ra06w9daQ
33,Pollen Street Social,British,4.0,££££,8-10 Pollen Street,51.5134486407661,-0.142294155464837,https://www.yelp.com/biz/pollen-street-social-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,FWe9KK0z-RZlZzrntk7Yow
34,The Grill On the Market,British,4.0,£££,2-3 W Smithfield,51.518383026123,-0.102191999554634,https://www.yelp.com/biz/the-grill-on-the-market-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,tMUXBgETnxUs0wpwWMbjVw
35,The Ivy,British,4.0,£££,1 - 5 West Street,51.512814,-0.128013,https://www.yelp.com/biz/the-ivy-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,75-HeBBB391Np6T7GdJ5xQ
36,The Cow,British,4.0,££,89 Westbourne Park Road,51.519244332609,-0.19526811734486,https://www.yelp.com/biz/the-cow-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,NyGG3SHQGrjmP1zoBLhubQ
37,The Wolseley,Cafes,4.0,£££,160 Picadilly,51.507617,-0.141012,https://www.yelp.com/biz/the-wolseley-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,e5jPAqpCcIAsTtasUN5h2g
38,The Duck and Rice,Chinese,4.0,£££,90 Berwick Street,51.513487,-0.135082,https://www.yelp.com/biz/the-duck-and-rice-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,hdp4iZf_iUmYzDrvHjblPw
39,Swift,Cocktail Bars,,,12 Old Compton Street,51.5137889662002,-0.129864849150181,,
