,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Masgouf,Arabic,4.5,££,41 Connaught Street,51.5143788,-0.1660433,https://www.yelp.com/biz/masgouf-london-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,GxGuFL8pmNy3qkPkjqjQaA
1,Arabica Bar & Kitchen,Arabic,4.0,££,3 Rochester Walk,51.5057589245666,-0.0912022675110569,https://www.yelp.com/biz/arabica-bar-and-kitchen-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,d0AsfKS5R6u7BuDg8iRLRQ
2,Ottolenghi,Bakeries,4.0,££,63 Ledbury Road,51.514890823172,-0.19941762827537,https://www.yelp.com/biz/ottolenghi-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,L-ZNTln24SoU_jYia4M19Q
3,Maroush Bakehouse,Bakeries,4.5,££,131 Earls Court Road,51.49332,-0.194478,https://www.yelp.com/biz/maroush-bakehouse-london-6?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Da8ClETsPknyD-XIam-jbg
4,Acoustic Cafe Brasserie,Breakfast & Brunch,4.0,££,60 Newington Green,51.551204247417,-0.086233399161138,https://www.yelp.com/biz/acoustic-cafe-brasserie-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,s9gy9iBLgHHhtWaJQTSJDw
5,Lantana,Breakfast & Brunch,4.0,££,Unit 2 1 Oliver's Yard,51.5242658,-0.0874923,https://www.yelp.com/biz/lantana-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,KBUt0sK8Ec3UjqOI4hzjJg
6,Cafe Alhambra,Cafes,5.0,££,4 Church Court,51.4605616855135,-0.304017401852434,https://www.yelp.com/biz/cafe-alhambra-richmond?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,3--3aUzQIQwjyjrCAm9-Mw
7,Mona Lisa Cafe & Restaurant,Coffee & Tea,4.0,£,417 Kings Road,51.482669,-0.177991,https://www.yelp.com/biz/mona-lisa-cafe-and-restaurant-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,0s-61pNDaYxlw4G6iAF7ig
8,Ergon London,Delicatessen,4.0,£££,15 Maddox Street,51.513224,-0.141751,https://www.yelp.com/biz/ergon-london-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,TNPqaWr69svLI5AsUh5VYg
9,Leon,Delis,4.0,£,35 Great Marlborough Street,51.5141685,-0.1393937,https://www.yelp.com/biz/leon-london-42?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wxjGcNxABE-9dB8Rbc4LvA
10,Falafel Lebanese,Falafel,4.0,£,65 Wandsworth High Street,51.456594,-0.192071,https://www.yelp.com/biz/falafel-lebanese-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wFO0tIA4P9rZuxEEj99uBQ
11,FalafeLicious,Falafel,4.0,£,2-4 Bethnal Green Road,51.523497,-0.076162,https://www.yelp.com/biz/falafelicious-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wpzQg_TYVnJshMKAUUQJSw
