,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Las Iguanas,American (Traditional),3.0,££,Unit 3.03,51.503824,0.004824,https://www.yelp.com/biz/las-iguanas-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ILbwU2v4K1oQOMPKKiR_7g
1,Hard Rock Cafe,American (Traditional),4.0,££,150 Old Park Lane,51.5039577242148,-0.14930784702301,https://www.yelp.com/biz/hard-rock-cafe-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,HNWUddTPDn13CdN3tMQsvQ
2,Big Easy,American (Traditional),3.5,££,332-334 Kings Road,51.4852959,-0.1744201,https://www.yelp.com/biz/big-easy-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,PA45Xv1AQ1gFwXyqHWG2sQ
3,Buffalo,American (Traditional),,,33-35 Greenwich Church Street,51.4812448,-0.0100849,,
4,Fat Yankeees,American (Traditional),,,120 Bethnal Green Road,51.5248482688291,-0.0715959889983186,,
5,Hélène Darroze,Bars,4.0,££££,The Connaught Hotel,51.5103135191693,-0.149721418318054,https://www.yelp.com/biz/h%C3%A9l%C3%A8ne-darroze-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,q1of6aL69W-i9E8lWvHKKg
6,Garlic & Shots,Bars,3.5,££,14 Frith Street,51.513850442943,-0.13152700704109,https://www.yelp.com/biz/garlic-and-shots-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,C9jJVGzWhHuZ92FIep0d6g
7,The Copper Cow,Bars,4.0,££,2 Fauconberg Road,51.4867711232836,-0.271878559692213,https://www.yelp.com/biz/the-copper-cow-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Opo6qgkWCKkRLDMRH0KMYg
8,Camino,Bars,3.5,££,3 Varnishers Yard,51.5312937277784,-0.121793746948242,https://www.yelp.com/biz/camino-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,OyLrjCVSSp5UUAYe9Vm0Hg
9,The Hideaway,Bars,3.5,£,114 Junction Park Road,51.5642660244139,-0.136642456054688,https://www.yelp.com/biz/the-hideaway-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,4oCsLusUzKXYwDJhMuOItQ
10,Annabel's,Bars,4.0,££££,46 Berkeley Square,51.5091997,-0.1461913,https://www.yelp.com/biz/annabels-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,zDVWMFy3DK9sXITX7SGLRA
11,Cafe Sol,Bars,3.5,££,56 Clapham High Street,51.4639254293453,-0.132743139660987,https://www.yelp.com/biz/cafe-sol-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,fZYTBfDPRiVB2liTf_C4fQ
12,Made in Brasil,Brazilian,4.0,££,12 Inverness Street,51.539567,-0.143694,https://www.yelp.com/biz/made-in-brasil-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Jr1fnvoM1SiQa9wPt5armA
13,Caravan,Breakfast & Brunch,4.0,££,11-13 Exmouth Market,51.5254718215956,-0.110122750616417,https://www.yelp.com/biz/caravan-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Bc4GZfIUJu9363QQVACZVA
14,Banner's Restaurant,Breakfast & Brunch,4.0,££,21 Park Road,51.5805632029117,-0.124239921569824,https://www.yelp.com/biz/banners-restaurant-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,20wbHVznGl8DZorCyjzvXA
15,Giraffe,British,4.0,££,120 Wilton Rd,51.493899,-0.1423036,https://www.yelp.com/biz/giraffe-london-13?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Ck5cgnj3SlLgieo5hMvHQg
16,The Table,British,4.0,££,83 Southwark Street,51.505604,-0.099671,https://www.yelp.com/biz/the-table-london-8?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,rKwkCvsSfp8z7w1CmNnMMQ
17,The Orange Buffalo,Chicken Wings,4.5,£,The Old Truman Brewery,51.5191115545126,-0.0715720653533936,https://www.yelp.com/biz/the-orange-buffalo-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,onwJAvJkjD9sdIo2pnC7XQ
18,Cartel Battersea,Cocktail Bars,,,519 Battersea Park Rd,51.4718572568258,-0.166284653297639,,
19,The Old School Yard,Cocktail Bars,4.5,££,111 Long Lane,51.5003479610291,-0.0880482846557697,https://www.yelp.com/biz/the-old-school-yard-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,bjJW_gcMrwMHsTKP2m5STw
20,Near & Far Camden,Cocktail Bars,,,48 Chalk Farm Road,51.5430231,-0.148893,,
21,The Blind Pig,Cocktail Bars,4.5,££,58 Poland Street,51.5138271,-0.1367278,https://www.yelp.com/biz/the-blind-pig-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ZEoJSP5I1H16ekbiJjM2Cw
22,El Patron,Cocktail Bars,2.5,££,141 Upper Richmond Road,51.4604655,-0.2160969,https://www.yelp.com/biz/el-patron-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,TglNc8nXI2N5VNovWuSlFg
23,The Alchemist,Cocktail Bars,4.0,££,6 Bevis Marks,51.5150476,-0.0793474,https://www.yelp.com/biz/the-alchemist-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,LpIY4AvlAQZqJEZgcFoFPA
24,Casa Pastor,Cocktail Bars,,,Coal Drops Yard,51.5365463,-0.1256003,,
