,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Afghan Kitchen,Afghan,4.0,££,35 Islington Green,51.5357864609294,-0.103037509845308,https://www.yelp.com/biz/afghan-kitchen-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,nsiUDhW2nBLaW_JCM4gmxg
1,Courtyard at 51,American (New),4.0,£££,51 Buckingham Gate,51.49848,-0.137481,https://www.yelp.com/biz/courtyard-at-51-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,yiVbWxx6drXqa6s9tE7gPA
2,Azmar Restaurant,Arabic,,,442 Edgeware Road,51.523155,-0.174041,,
3,Masgouf,Arabic,4.5,££,41 Connaught Street,51.5143788,-0.1660433,https://www.yelp.com/biz/masgouf-london-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,GxGuFL8pmNy3qkPkjqjQaA
4,Arabica Bar & Kitchen,Arabic,4.0,££,3 Rochester Walk,51.5057589245666,-0.0912022675110569,https://www.yelp.com/biz/arabica-bar-and-kitchen-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,d0AsfKS5R6u7BuDg8iRLRQ
5,Ali Baba,Arabic,4.5,£,32 Ivor Place,51.5242849,-0.1613251,https://www.yelp.com/biz/ali-baba-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,lx9zGPDYyxNmpUvLBnScqQ
6,Al Arez,Arabic,4.5,££,128 Brompton Road,51.498938,-0.165289,https://www.yelp.com/biz/al-arez-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,DTKAAKvI4rgYTebj5qBqNA
7,Ottolenghi,Bakeries,4.0,££,63 Ledbury Road,51.514890823172,-0.19941762827537,https://www.yelp.com/biz/ottolenghi-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,L-ZNTln24SoU_jYia4M19Q
8,Maroush Bakehouse,Bakeries,4.5,££,131 Earls Court Road,51.49332,-0.194478,https://www.yelp.com/biz/maroush-bakehouse-london-6?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Da8ClETsPknyD-XIam-jbg
9,Beirut Cafe,Cafes,4.0,££,117 Edgeware Road,51.5159687,-0.16476,https://www.yelp.com/biz/beirut-cafe-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,DuTBkKtOPR-9P-pVf5I98Q
10,215 Hackney,Coffee & Tea,,,215 Stoke Newington High Street,51.5633164536417,-0.0734727457165718,,
11,Cafe Olive,Coffee & Tea,5.0,££,192 Southgate Road,51.5456429,-0.0834334,https://www.yelp.com/biz/cafe-olive-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Lrfm0sdK45KHT373xrAgkA
12,Damascu Bite,Coffee & Tea,4.0,£,121 Brick Ln,51.523384,-0.0716934,https://www.yelp.com/biz/damascu-bite-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,QDXJzvH2EqIvcR3pt66Iig
13,Saffron,Coffee & Tea,,,11 Sicilian Avenue,51.5185429,-0.1214169,,
14,Beirut Express,Coffee & Tea,4.0,££,63 Old Brompton Road,51.492875932482,-0.1765377775694,https://www.yelp.com/biz/beirut-express-london-6?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,1yd3Amv21-GgbwkbXb8ygg
15,Comptoir Libanais,Delicatessen,4.5,££,Lower Gallery,51.4391631,0.2701772,https://www.yelp.com/biz/comptoir-libanais-dartford?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,4uJBKG2J6iWwMJELZNfPCQ
16,Falafel Lebanese,Falafel,4.0,£,65 Wandsworth High Street,51.456594,-0.192071,https://www.yelp.com/biz/falafel-lebanese-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wFO0tIA4P9rZuxEEj99uBQ
