,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Carmelli,Bagels,4.0,£,126-128 Golders Green Road,51.5739863,-0.2007461,https://www.yelp.com/biz/carmelli-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,1iZkMMh1PZnCjQhJLivG3Q
1,Sunflour Bakery,Bakeries,4.5,£,263 Caledonian Road,51.539747,-0.11718,https://www.yelp.com/biz/sunflour-bakery-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,FATOg3vQpgbrl_20WySbqQ
2,The Breadstall,Bakeries,5.0,££,Northcote Road,51.456328,-0.165136,https://www.yelp.com/biz/the-breadstall-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,mnRiHkVxRxL70m5IL1ReMw
3,Kastner and Ovens,Bakeries,4.5,£,52 Floral Street,51.5135034,-0.1227604,https://www.yelp.com/biz/kastner-and-ovens-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,HXjHL0L7lqtQQ1KJ0ZKAug
4,Ottolenghi,Bakeries,4.0,££,63 Ledbury Road,51.514890823172,-0.19941762827537,https://www.yelp.com/biz/ottolenghi-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,L-ZNTln24SoU_jYia4M19Q
5,Le Deli Robuchon,Bakeries,,,82 Piccadilly,51.5064442712487,-0.14376774430275,,
6,Konditor & Cook,Bakeries,4.5,££,9 Bow Lane,51.5130832,-0.0936692,https://www.yelp.com/biz/konditor-and-cook-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,uwQVCV7lXyHM2uvwKei-Dw
7,Maison Ruget,Bakeries,,,148 Portobello Road,51.5148914,-0.2042632,,
8,Beigel Bake,Bakeries,4.0,£,159 Brick Lane,51.524391,-0.071726,https://www.yelp.com/biz/beigel-bake-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,CrQcYS4nWWdXmSD1pxf_KA
9,Popina,Bakeries,,,82 Duke Street,51.5130134404197,-0.150612695002224,,
