,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Kredens Polish Bar & Restaurant,Bars,,,63 Atlantic Road,51.461426273365,-0.111316703259945,,
1,Topolski,Bars,3.5,££,150-152 Hungerford Arches,51.5049009709524,-0.11573825037897,https://www.yelp.com/biz/topolski-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,vJqzSbmNvK9TpJq_D1m73g
2,Baltic Bar and Restaurant,Bars,4.0,£££,74 Blackfriars Road,51.503466,-0.104866,https://www.yelp.com/biz/baltic-bar-and-restaurant-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,fdwAAs9cm_uLkgxXedYh3w
3,Bob Bob Ricard,British,4.0,££££,1 Upper James Street,51.5123099662701,-0.137234320867947,https://www.yelp.com/biz/bob-bob-ricard-soho?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,a8FtrgeFoHZ3N8KPVK2lGQ
4,The Ivy,British,4.0,£££,1 - 5 West Street,51.512814,-0.128013,https://www.yelp.com/biz/the-ivy-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,75-HeBBB391Np6T7GdJ5xQ
5,The Fable,Cocktail Bars,3.5,£££,52 Holborn Viaduct,51.516865,-0.1037447,https://www.yelp.com/biz/the-fable-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,sqqCpeU4AEkjwa_SGwTCRw
6,Cafe Maya,Coffee & Tea,,,238-246 King Street,51.4933573,-0.2371255,,
7,Pyrlandia,Farmers Market,,,Rupert Street Market,51.512115761958,-0.133606195449829,,
8,Sketch,French,4.0,£££,9 Conduit Street,51.5127614699071,-0.14159163911048,https://www.yelp.com/biz/sketch-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,zJNI06Y2zZQFh9OBSFCdgQ
9,L'Autre Restaurant,Mexican,3.5,££,5B Shepherd Street,51.50606,-0.146524,https://www.yelp.com/biz/l-autre-restaurant-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,C_R6SlaMeZcMOo4VNo9CpQ
10,Smoke & Salt,Modern European,,,Pop Brixton,51.4635098,-0.1123464,,
11,The Spitfire,Polish,4.5,££,93 Fulham Palace Road,51.4888805,-0.2227522,https://www.yelp.com/biz/the-spitfire-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,9P77lZQNRMtq9m2Y82dH7A
12,Antony's,Polish,3.5,££,54 Porchester Road,51.5182352,-0.1888339,https://www.yelp.com/biz/antonys-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,W527BOr-eQYQc8SluoJueA
13,Pasibrzuch Polish Restaurant and Cafe,Polish,2.0,££,18-20 Wilsden High Road,51.54763,-0.226584,https://www.yelp.com/biz/pasibrzuch-polish-restaurant-and-cafe-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,43THdJ2u8iVT8k5OdAvq4A
14,Polish White Eagle Club,Polish,2.5,££,211 Balham High Road,51.4397548910323,-0.155207219662862,https://www.yelp.com/biz/polish-white-eagle-club-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,4P-JlxSkcA--xPKJxDUOng
