,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Paul,Bakeries,4.0,£,122 Brompton Road,51.4990676958953,-0.165139898919551,https://www.yelp.com/biz/paul-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,DUS7Nz3429d2iv0q-Jky9A
1,St. John Bread & Wine,Bakeries,4.5,££,94-96 Commercial Street,51.5196695,-0.074299,https://www.yelp.com/biz/st-john-bread-and-wine-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,m3vdBGC0X94sG_5pglDcjQ
2,Brigit's Bakery,Bakeries,4.0,££,6-7 Chandos Place,51.5100888407083,-0.124539992630842,https://www.yelp.com/biz/brigits-bakery-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,tH_2560cbjme-hFBFVj8cQ
3,Dominique Ansel Treehouse,Bakeries,,,24 Floral Street,51.5119045680643,-0.12540479881136,,
4,Le Pain Quotidien,Bakeries,3.5,££,18 Great Marlborough Street,51.5144366,-0.13916,https://www.yelp.com/biz/le-pain-quotidien-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,g8-HDSVwGUe0QUxwV4pAjQ
5,GAIL's Bakery - Pimlico,Bakeries,,,26 Churton Street,51.4917627846861,-0.139058523838447,,
6,Maroush Bakehouse,Bakeries,4.5,££,131 Earls Court Road,51.49332,-0.194478,https://www.yelp.com/biz/maroush-bakehouse-london-6?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Da8ClETsPknyD-XIam-jbg
7,Plateau Restaurant,Bars,4.5,£££,Canada Place,51.5044556493532,-0.0166596716095782,https://www.yelp.com/biz/plateau-restaurant-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,YjM4oKNwo8MuzHkAdmwiaA
8,Hubbard & Bell,Bars,4.0,££,199-206 High Holborn,51.5171333,-0.1223028,https://www.yelp.com/biz/hubbard-and-bell-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,O-DmIhZUQUdeGjT4UCZdFw
9,Caxton Grill,Bars,4.0,£££,2 Caxton Street,51.498905,-0.1339093,https://www.yelp.com/biz/caxton-grill-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,EkxFVH3PM1j7CFW5P5r5mA
10,Hush,Bars,4.0,£££,8 Lancashire Court,51.51271,-0.145634,https://www.yelp.com/biz/hush-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,gwbJQ9zdmahbfrHI657UGg
11,No. Fifty Cheyne,Bars,,,50 Cheyne Walk,51.4833536,-0.1697231,,
12,Donostia Social Club,Basque,,,49 Brixton Station Road,51.4634215902681,-0.112375015123689,,
13,Blanchette,Bistros,4.0,£££,9 D'Arblay Street,51.5146869918666,-0.136290080845356,https://www.yelp.com/biz/blanchette-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,MSqfyXS2fdm6H-ywHAV75w
14,Brasserie Zédel,Brasseries,4.0,££,20 Sherwood Street,51.5106025898049,-0.135575861793962,https://www.yelp.com/biz/brasserie-z%C3%A9del-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,E43MdoA7zkZ6SnPjAJaTvA
15,The Ivy Kensington Brasserie,Brasseries,4.0,£££,96 Kensington High Street,51.5015677,-0.1921797,https://www.yelp.com/biz/the-ivy-kensington-brasserie-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wCjU2KuTntCZDCZSIS1Uxw
16,Bill's,Breakfast & Brunch,4.0,££,Kensington Arcade,51.5007843694555,-0.192435744332796,https://www.yelp.com/biz/bills-london-17?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,12c1E7u3QentMVuW9-VWnA
17,Balans Soho Society,Breakfast & Brunch,4.0,££,187 Kensington High Street,51.4999833,-0.1956639,https://www.yelp.com/biz/balans-soho-society-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,OLXUZqx6doQtdeHfyEoyOw
18,The Breakfast Club,Breakfast & Brunch,4.0,££,Unit CR30,51.5058390348173,-0.0181783917421963,https://www.yelp.com/biz/the-breakfast-club-london-12?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Snr_3I7dSsx3QMUH-xfcnA
19,The Breakfast Club,Breakfast & Brunch,4.0,££,Unit CR30,51.5058390348173,-0.0181783917421963,https://www.yelp.com/biz/the-breakfast-club-london-12?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Snr_3I7dSsx3QMUH-xfcnA
20,Le Pain Quotidien,Breakfast & Brunch,4.0,££,15 Winchester Walk,51.506293222721,-0.091394940760572,https://www.yelp.com/biz/le-pain-quotidien-london-16?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,K69_hmLhHHkXnjHxGayQVQ
21,Bird of Smithfield,British,4.0,£££,26 Smithfield Street,51.5183818,-0.1026044,https://www.yelp.com/biz/bird-of-smithfield-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,6T4edfBlwPy7pSW7f1KhMg
