,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,The Bike Shed,Accessories,4.5,££,384 Old Street,51.5270903,-0.0782151,https://www.yelp.com/biz/the-bike-shed-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,BNdzjiLoibX1uSH4kAQy5w
1,Burger & Lobster,American (Traditional),4.5,££,Fifth Floor Harvey Nichols,51.501441,-0.159432,https://www.yelp.com/biz/burger-and-lobster-london-7?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ITcGz_zdMW3EyqNBJx6Fxw
2,The Bagel House,Bagels,4.0,£,2 Stoke Newington High Street,51.557398906635,-0.074235334232473,https://www.yelp.com/biz/the-bagel-house-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,rK1GME2iK1i0rf3OAxhr5w
3,Fabrique Bakery,Bakeries,4.5,££,Arch 385,51.5321125496558,-0.0760506578224951,https://www.yelp.com/biz/fabrique-bakery-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,6Hc37w-thLXw4_pD3mZdJA
4,GAIL's Bakery,Bakeries,,,240-242 Kensington High Street,51.49891,-0.2001699,,
5,GAIL's Bakery Hampstead,Bakeries,4.5,££,64 Hampstead High Street,51.5561216,-0.1779628,https://www.yelp.com/biz/gails-bakery-hampstead-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,1OcBgrUzPgp82BfZBUKRow
6,Paul,Bakeries,4.0,£,122 Brompton Road,51.4990676958953,-0.165139898919551,https://www.yelp.com/biz/paul-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,DUS7Nz3429d2iv0q-Jky9A
7,PAUL - Gloucester Road,Bakeries,4.5,£,73 Gloucester Road,51.4949745,-0.1825811,https://www.yelp.com/biz/paul-gloucester-road-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,f4bEfbf1_VyZpLsvlonhMw
8,Paul,Bakeries,4.0,££,173 Piccadilly Arcade,51.508135,-0.139246,https://www.yelp.com/biz/paul-london-28?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,XLZZ1MsocZiXavD39zfHgg
9,Upper Fleet Bakery,Bakeries,,,7 - 11 Upper Woburn place,51.5263319313231,-0.129384561430401,,
