,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Chakalaka South African Restaurant,African,,,145 Haydons Road,51.4204902648926,-0.186909005045891,,
1,The Fat Bear,American (Traditional),4.5,££,61 Carter Lane,51.5131833881734,-0.10138103121642,https://www.yelp.com/biz/the-fat-bear-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Z0r83lDOA1mI8RpNccXtHw
2,Burger and Lobster,American (Traditional),4.5,£££,Units 5 & 6 Bow Bells House,51.5136669051182,-0.094483494758606,https://www.yelp.com/biz/burger-and-lobster-london-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,8BIVr-9UFggPl9Of86wokQ
3,Burger & Lobster,American (Traditional),4.5,£££,29 Clarges Street,51.5069919134923,-0.145631313738818,https://www.yelp.com/biz/burger-and-lobster-mayfair?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,otUz0bAJLkorJkMgEjRErA
4,Burger & Lobster,American (Traditional),4.0,££,40 Saint John Street,51.5211228,-0.1013951,https://www.yelp.com/biz/burger-and-lobster-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,JWdTuXifHOfrWqGEMzA7RQ
5,Big Easy,American (Traditional),3.5,££,332-334 Kings Road,51.4852959,-0.1744201,https://www.yelp.com/biz/big-easy-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,PA45Xv1AQ1gFwXyqHWG2sQ
6,Smith and Wollensky,American (Traditional),4.5,££££,Adelphi Building,51.5094223677469,-0.122259323817679,https://www.yelp.com/biz/smith-and-wollensky-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,t2BqpfxS4oTAYiYDXe0YgA
7,Burger & Lobster,American (Traditional),4.5,££,Fifth Floor Harvey Nichols,51.501441,-0.159432,https://www.yelp.com/biz/burger-and-lobster-london-7?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ITcGz_zdMW3EyqNBJx6Fxw
8,Shikumen Shepherd's Bush,Asian Fusion,4.0,££,Dorsett Hotel,51.5040114224861,-0.224605244444547,https://www.yelp.com/biz/shikumen-shepherds-bush-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,IYim7exMsSWVWHnU-BvGfA
9,Big Easy,Barbeque,3.5,££,12 Maiden Lane,51.5106735,-0.1231134,https://www.yelp.com/biz/big-easy-london-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,73oaMOc24L2EOKSY4u3ePw
10,Crab Tavern,Bars,3.0,£££,Unit 7,51.5186439431764,-0.0832084926111546,https://www.yelp.com/biz/crab-tavern-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Du0uWk0QkgyVngoKlOEhzg
11,Steak & Lobster,Bars,3.5,££,6-7 Warren Street,51.5242264,-0.1382989,https://www.yelp.com/biz/steak-and-lobster-london-7?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,jz-5lqhFPQnwbGrmA7Qp7w
12,Claw,Bars,,,35 Earlham Street Street,51.51390823427,-0.126312309786954,,
13,Bibendum,Bars,4.0,£££,MIchelin House,51.49331458816,-0.16883345515649,https://www.yelp.com/biz/bibendum-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,eKV3GGH9gU5h028CU839kQ
14,Hovarda,Bars,,,36 - 40 Rupert Street,51.5113009082408,-0.132668108890902,,
