,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Red Rooster Shoreditch,American (New),4.0,£££,45 Curtain Road,51.524165,-0.08029,https://www.yelp.com/biz/red-rooster-shoreditch-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,p9TrMj3CyIQd-nywbZklZw
1,The Fat Bear,American (Traditional),4.5,££,61 Carter Lane,51.5131833881734,-0.10138103121642,https://www.yelp.com/biz/the-fat-bear-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Z0r83lDOA1mI8RpNccXtHw
2,Porky's BBQ Bankside,Barbeque,3.5,££,18 New Globe Walk,51.5075265022969,-0.0962873,https://www.yelp.com/biz/porkys-bbq-bankside-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,S4ZqPYMmBSVOQfHnPinyAQ
3,Banner's Restaurant,Breakfast & Brunch,4.0,££,21 Park Road,51.5805632029117,-0.124239921569824,https://www.yelp.com/biz/banners-restaurant-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,20wbHVznGl8DZorCyjzvXA
4,The Rum Kitchen,Caribbean,4.0,££,1st Floor Kingly Court,51.5123393,-0.1387341,https://www.yelp.com/biz/the-rum-kitchen-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,GG_lpEApTeNIDNzyQv1I0A
5,Cottons,Caribbean,4.0,££,130-132 Curtain Road,51.526379,-0.080199,https://www.yelp.com/biz/cottons-london-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,fQHEnP3Wfmj8NZyGIO5Aww
6,Peppers & Spice,Caribbean,4.5,£,40 Balls Pond Rd,51.54623,-0.077265,https://www.yelp.com/biz/peppers-and-spice-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,mMbnTGId-rn-n9xEPycvwA
7,Caribsoul,Caribbean,2.5,££,46 George Street Croydon,51.373658,-0.09857,https://www.yelp.com/biz/caribsoul-croydon?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,iLtR39Nt-ESjOY4bk7Qnug
8,Chicken Shop,Chicken Shop,5.0,££,202 High Holborn,51.5171084,-0.1222649,https://www.yelp.com/biz/chicken-shop-london-12?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,WlC8-aIs7SrbMUUnH0OB8g
9,Absurd Bird Soho,Chicken Shop,4.0,£££,24 Peter Street,,,https://www.yelp.com/biz/absurd-bird-soho-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,p4SRF3oXUvkR8dr-xpTczg
10,Olley's Fish Experience,Fish & Chips,4.0,£££,65 - 69 Norwood Road,51.4510352210949,-0.100579542659192,https://www.yelp.com/biz/olleys-fish-experience-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,VUVtXa38OCQdZnmd8YUARw
11,Holmesbake,Food Trucks,4.5,£,Roscoe Street,51.523571,-0.09285,https://www.yelp.com/biz/holmesbake-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,3AgFuFnrm1Gc-VFViLVrFA
12,Forza Win,Italian,,,Unit 4 1,51.469862024911,-0.0656424011192485,,
13,Bubba Gump Shrimp Co.,Seafood,2.5,££,Trocadero,51.5100710684264,-0.132980570197105,https://www.yelp.com/biz/bubba-gump-shrimp-co-chinatown?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ycD95YnyT4rBwu4FTC8mew
14,The Spot Soul Food Kitchen,Soul Food,,,58 Willesden Lane,51.541185,-0.200805,,
15,The Depot,Soul Food,,,1 Carpenter's Mews,51.5487809195473,-0.121666677296162,,
16,Thakers,Soul Food,,,162a High Street,51.4695549086117,-0.361086806626014,,
17,Mother Clucker,Street Vendors,,,Camden Market,51.5413217719856,-0.146442857577986,,
