,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Buenos Aires Argentine Steakhouse - Chiswick,Argentine,4.0,£££,32 Turnham Green Terrace,51.4934578712133,-0.2550816125879,https://www.yelp.com/biz/buenos-aires-argentine-steakhouse-chiswick-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,CYVTIvc9ef_wqwM_Ep5abQ
1,Carbon,Barbeque,3.5,£,78 Brewer Street,51.5108463,-0.1370224,https://www.yelp.com/biz/carbon-london-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ON2WTORm81nZw2L9UXeh5g
2,La Sala,Bars,,,692-694 Chigwell Road,51.6061603,0.0545526,,
3,Camino,Bars,3.5,££,3 Varnishers Yard,51.5312937277784,-0.121793746948242,https://www.yelp.com/biz/camino-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,OyLrjCVSSp5UUAYe9Vm0Hg
4,Ametsa,Basque,4.0,££££,5-6 Halkin Street,51.5008477,-0.1518671,https://www.yelp.com/biz/ametsa-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,uLJp1QsowWjJ9qNXHZIIpw
5,Eneko Basque Kitchen & Bar,Basque,4.5,£££,1 Aldwych,51.5117832,-0.1194172,https://www.yelp.com/biz/eneko-basque-kitchen-and-bar-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,IjezoTAhQT2yV1UchKLtgA
6,Donostia Social Club,Basque,,,49 Brixton Station Road,51.4634215902681,-0.112375015123689,,
7,Bedales of Borough Market,"Beer, Wine & Spirits",4.0,££,5 Bedale Street,51.505406,-0.0898341,https://www.yelp.com/biz/bedales-of-borough-market-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,aywIyiNMxy4nbBabMGK1Vw
8,Andina,Breakfast & Brunch,4.0,££,1 Redchurch Street,51.5243208695971,-0.077134990126122,https://www.yelp.com/biz/andina-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,vCF8ut7OZcfA4hEmhngfSQ
9,The Queens Head & Artichoke,British,3.5,££,32 Albany Street,51.525804714038,-0.14406230554315,https://www.yelp.com/biz/the-queens-head-and-artichoke-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,flhOrex26o579VSEPjyB6Q
10,Casa Manalo,Cafes,,,43 Upper Street,51.5349925833602,-0.104803964495659,,
