,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,E&O,Asian Fusion,4.0,£££,14 Blenheim Crescent,51.5158364710502,-0.205848282245171,https://www.yelp.com/biz/e-and-o-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,qsQAO0i1z8qlQMECyDyitQ
1,Sushisamba,Asian Fusion,3.5,££££,110 Bishopsgate,51.516179,-0.080946,https://www.yelp.com/biz/sushisamba-london-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,JhmrjmyrIhAVlM0D0n3VoQ
2,Chino Latino,Asian Fusion,4.0,£££,18 Albert Embankment,51.49161,-0.121557,https://www.yelp.com/biz/chino-latino-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,4KgfSarNaqp7PpEA6eocjQ
3,Eight Over Eight,Asian Fusion,4.0,£££,392 Kings Road,51.484206,-0.176734,https://www.yelp.com/biz/eight-over-eight-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,-N4164ebiYY4eD1pXedhnA
4,Novikov Restaurant & Bar,Asian Fusion,3.5,££££,50 Berkeley Street,51.507668,-0.143015,https://www.yelp.com/biz/novikov-restaurant-and-bar-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,y-0qXBp4KMe-JjXSEPRRhA
5,Oka,Asian Fusion,4.5,££,71 Regents Park Road,51.5412318,-0.1573922,https://www.yelp.com/biz/oka-london-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,h1pstufojfFZzWSwck4aWw
6,Brilliant Corners,Bars,3.5,££,470 Kingsland Road,51.5430404299975,-0.0759221309699888,https://www.yelp.com/biz/brilliant-corners-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,emBx5vVTwWlM161qpTVuzg
7,Temakinho,Brazilian,,,10 Old Compton Street,51.513811,-0.130039,,
8,Impression Cafe,Cafes,5.0,££,79 Buckingham Gate,51.499218,-0.138028,https://www.yelp.com/biz/impression-cafe-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RGGaQgPSks5HNH-4x3jqjQ
9,Oriental Gourmet,Chinese,4.0,££,123A Holloway Road,51.5485546,-0.1072363,https://www.yelp.com/biz/oriental-gourmet-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,hIToS5-cElUAv1Gc2EvLjA
