,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,ZOILO,Argentine,4.5,£££,9 Duke Street,51.5159341,-0.1520374,https://www.yelp.com/biz/zoilo-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,5S2vNZHbihkMwIrOfeL_JA
1,Rapsa,Asian Fusion,4.5,££,100-104 Hoxton Street,51.5310648658011,-0.0800106030410461,https://www.yelp.com/biz/rapsa-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,gJAFSUO7U70GQJFo3ynRUw
2,Flora Indica,Bars,5.0,££,242 Old Brompton Road,51.489858,-0.189819,https://www.yelp.com/biz/flora-indica-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,T-XPkD7xHKJSgPe0xzj5xw
3,Camino,Bars,3.5,££,3 Varnishers Yard,51.5312937277784,-0.121793746948242,https://www.yelp.com/biz/camino-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,OyLrjCVSSp5UUAYe9Vm0Hg
4,Bar Pepito,Bars,4.0,££,The Regent's Quarter,51.531244,-0.121772,https://www.yelp.com/biz/bar-pepito-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,shtcu9CrJEHp3IhT0YvU7Q
5,Bar Douro,Bars,4.0,££,Arch 35B,51.5043699861763,-0.0951653841308371,https://www.yelp.com/biz/bar-douro-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,AEIHz3vzjJ1Ev6Io50JXQw
6,The Dairy,Bars,4.5,££££,15 The Pavement,51.4618724,-0.1395915,https://www.yelp.com/biz/the-dairy-london-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,8P4qwhVKdxoV1bW-_I3s-A
7,Connaught Bar,Bars,4.5,££££,The Connaught,51.5101556,-0.1496314,https://www.yelp.com/biz/connaught-bar-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,hXWtuKNmbVzAYtoZhNLLPw
8,Sky Pod Bar,Bars,4.0,££,20 Fenchurch Street,51.5113382443007,-0.083578996360302,https://www.yelp.com/biz/sky-pod-bar-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,yjwyF_QA5BdEqNvqqlvwdQ
9,Sagardi Basque Country Chefs,Basque,4.0,££,Cordy House 95 Curtain Rd,51.5252885,-0.080616,https://www.yelp.com/biz/sagardi-basque-country-chefs-london-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,qnHCFYfRpuU4cyXE5aapoQ
