,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Fortnum & Mason,Accessories,4.5,£££,181 Piccadilly,51.5083667842501,-0.138357858761537,https://www.yelp.com/biz/fortnum-and-mason-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,eyFzHGBlLjMWmsXFdMrA3w
1,Red Door,Art Galleries,4.5,££,10 Turnpin Lane,51.481164,-0.009072,https://www.yelp.com/biz/red-door-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RYus9YxVxD-R8jm6xkDX8g
2,Poilane,Bakeries,4.5,£££,39 Cadogan Gardens,51.492054852899,-0.1597783672174,https://www.yelp.com/biz/poilane-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Wv1Zlca4NTkgFVjKgEJyog
3,Primrose Bakery,Bakeries,4.0,££,69 Gloucester Avenue,51.5402263,-0.1511222,https://www.yelp.com/biz/primrose-bakery-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,dIWOqYszVKk-oswXDzUH6A
4,Brigit's Bakery,Bakeries,4.0,££,6-7 Chandos Place,51.5100888407083,-0.124539992630842,https://www.yelp.com/biz/brigits-bakery-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,tH_2560cbjme-hFBFVj8cQ
5,Maroush Bakehouse,Bakeries,4.5,££,131 Earls Court Road,51.49332,-0.194478,https://www.yelp.com/biz/maroush-bakehouse-london-6?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Da8ClETsPknyD-XIam-jbg
6,PAUL Canary Wharf,Bakeries,3.5,£££,Unit RP 390,51.505188,-0.020382,https://www.yelp.com/biz/paul-canary-wharf-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,-C_XNwbfJu3RMvdu0oDwZA
7,Ladurée,Bakeries,4.0,£££,1 The Market,51.51184286271,-0.123133037598674,https://www.yelp.com/biz/ladur%C3%A9e-london-12?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,5_0GHVzaA2tgzHSvFt5idw
8,Queen Elizabeth Roof Garden Bar & Café,Bars,3.5,££,Queen Elizabeth Hall,51.50571,-0.116686820983887,https://www.yelp.com/biz/queen-elizabeth-roof-garden-bar-and-caf%C3%A9-southbank-centre-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,pOQwGM-8Qrwb8PGzLDGyeg
9,Books for Cooks,Bookstores,5.0,££,4 Blenheim Cresent,51.5159431,-0.2053744,https://www.yelp.com/biz/books-for-cooks-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,-fLxQOd0pjTkQl4ttwR4XA
10,Mirror Room,Breakfast & Brunch,,,252 High Holborn,51.5175931,-0.1178827,,
11,GAIL's Bakery Neo Bankside,Breakfast & Brunch,4.5,££,Unit C Neo Bankside,51.5066352772979,-0.100412668500134,https://www.yelp.com/biz/gails-bakery-neo-bankside-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,U_XeFWW1Lttdq22txTABMw
12,Original Maids Of Honour,British,4.0,££,288 Kew Road,51.480649607176,-0.288493910450711,https://www.yelp.com/biz/original-maids-of-honour-richmond-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,cse6Zq5WyXkOxfVjFd5Ftw
13,The Garden Café,British,3.5,££,Inner Circle,51.5268751462841,-0.154452323913574,https://www.yelp.com/biz/the-garden-caf%C3%A9-london-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,kOmkk63gMmsKk0Wve5aJRA
14,Urban Tea Rooms,British,4.0,££,19 Kingly Street,51.512947,-0.139558,https://www.yelp.com/biz/urban-tea-rooms-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ZUIJ8U6GU6TLx29lcwIyvg
15,Granger & Co,British,4.0,££,175 Westbourne Grove,51.514646148453,-0.19779915622354,https://www.yelp.com/biz/granger-and-co-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,0r2-fwgLvuOLef0epiFkFQ
16,The Table,British,4.0,££,83 Southwark Street,51.505604,-0.099671,https://www.yelp.com/biz/the-table-london-8?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,rKwkCvsSfp8z7w1CmNnMMQ
17,The Orangery,British,4.0,£££,Kensington Palace,51.5066360577041,-0.187725349125042,https://www.yelp.com/biz/the-orangery-london-7?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,PBFvhVyBi0lEJyTbyuxf5w
18,Tea and Tattle,British,4.5,££,41 Great Russell Street,51.5178680419922,-0.126817002892494,https://www.yelp.com/biz/tea-and-tattle-london?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,1TgYqfxkXv6-IB4cvuuy3w
19,Treves & Hyde,British,,,15/17 leman st,51.514397,-0.071017,,
20,The Library at County Hall,British,,,Westminster Bridge Road,51.5015929265416,-0.119514539837837,,
