,Lodging,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Chatham Square Accountants,Accountants,,,5 Penn Plz,40.752,-73.994082,,
1,Roomeze,Apartment Agents,,,433 Sterling Pl,40.67476,-73.963454,,
2,The Marc,Apartments,,,260 West 54th St,40.7645394,-73.983898,,
3,160 Riverside Boulevard Apartments,Apartments,,,160 Riverside Blvd,40.77755,-73.98826,,
4,American Copper Buildings,Apartments,,,626 1st Ave,40.74446,-73.97194,,
5,Liberty Harbor,Apartments,,,50 Regent St,40.7162192,-74.0470641,,
6,Dharma Home Suites,Apartments,,,333 Washington St,40.719826,-74.037109,,
7,70 Pine,Apartments,,,70 Pine Street,40.706537,-74.007687,,
8,Sky,Apartments,,,605 W 42nd St,40.761309,-73.99881,,
9,95 Wall,Apartments,,,95 Wall St,40.70493,-74.00749,,
10,Harlington Realty,Apartments,,,156A E 83rd St,40.7771826,-73.9564135,,
11,Avalon Clinton,Apartments,,,515 W 52nd St,40.7663868,-73.9915846,,
12,The Brooklyner Apartments,Apartments,,,111 Lawrence St,40.69269,-73.98612,,
13,Q41,Apartments,,,23-10 41st Ave,40.752653,-73.940399,,
14,101 West End Apartments,Apartments,,,101 W End Ave,40.775066,-73.988822,,
15,10 Hanover Square,Apartments,,,10 Hanover Sq,40.70447,-74.00902,,
16,20 Broad,Apartments,,,20 Broad St,40.70651,-74.01124,,
17,Avalon Willoughby Square,Apartments,,,214 Duffield St,40.6918,-73.98449,,
18,90W,Apartments,,,90 Washington St,40.7080231259925,-74.0147531032562,,
19,The BLVD Collection,Apartments,,,425 Washington Blvd,40.72252239055711,-74.03663120286969,,
20,The Central Park North,Bed & Breakfast,,,137 W 111th St,40.799755,-73.953598,,
21,Lefferts Manor Bed And Breakfast,Bed & Breakfast,,,80 Rutland Rd,40.65874,-73.95774,,
22,Urban Cowboy B&B,Bed & Breakfast,,,111 Powers St,40.7123299,-73.9465103,,
23,Dyker Heights Christmas Lights,Bus Tours,,,12th Ave & 84th St,40.61655,-74.0149,,
24,Thrifty Car Rental,Car Rental,,,,40.6947326660156,-73.9898986816406,,
25,Green Leaf Carpet And Upholstery Cleaning,Carpet Cleaning,,,301 E 22nd St,40.7372766,-73.98108979999999,,
26,Green Solutions Carpet,Carpet Cleaning,,,75 E 4th St,40.7267532348633,-73.9901962280273,,
27,RonLouis Photos,Event Photography,,,,40.69283,-73.96182,,
28,Free Tours by Foot,Food Tours,,,112 Suffolk St,40.718772,-73.98591,,
29,Urban Oyster Tours,Food Tours,,,79 N 11th St,40.7180036,-73.9653715,,
30,CozySuites,Guest Houses,,,,40.759231285050895,-73.98994462417889,,
31,Handy,Handyman,,,,40.74727,-73.9800645,,
32,HomeClean,Home Cleaning,,,445 Park Ave,40.7611599,-73.97078,,
33,Elite Supreme Cleaning,Home Cleaning,,,,40.71855,-74.00888,,
34,Isabella's Housekeeping,Home Cleaning,,,,40.74876,-73.99332,,
35,Essential Cleaning Services,Home Cleaning,,,,40.7268218994141,-74.1533660888672,,
36,HomeMaid NYC,Home Cleaning,,,,40.720224260608234,-74.00463335005966,,
37,Smart Cleaning NYC,Home Cleaning,,,,40.735406898612254,-73.95782914736328,,
38,Clean Slate,Home Cleaning,,,,40.74127,-74.00142,,
39,Rainbow Cleaning Service,Home Cleaning,,,453 W 47th St,40.7626092,-73.9922198,,
40,MyClean Cleaning Services,Home Cleaning,,,247 West 35th St,40.7526971686163,-73.9923072871521,,
41,Ria's Cleaning Services,Home Cleaning,,,750 Lexington Ave,40.7626903,-73.9682642,,
42,Maid Share,Home Cleaning,,,,40.73124,-73.9888,,
43,Dandelion Pristine Clean,Home Cleaning,,,,40.78886,-74.01437,,
44,Insideout Cleaning Services,Home Cleaning,,,,40.70191917546719,-73.9423227957272,,
45,Clean4Cause,Home Cleaning,,,195 Plymouth St,40.703896,-73.985433,,
46,Mom's Standard,Home Cleaning,,,252 Java St.,40.7069162238776,-73.9535312703919,,
47,Scrub Life Cleaning,Home Cleaning,,,14Th St,40.7339505,-73.9887921,,
48,XP Clean Solution,Home Cleaning,,,,40.76388,-73.98618,,
49,Squeeaky Clean,Home Cleaning,,,185 Ocean Ave,40.658504,-73.962059,,
50,Klean Freaks NYC,Home Cleaning,,,48 Marcy Ave,40.712673,-73.955457,,
51,Paloma Cleaning Service,Home Cleaning,,,,40.70499,-73.90205,,
52,Bnb Maid Service,Home Cleaning,,,,40.7591133117676,-73.9682998657227,,
53,The Freshest Nest,Home Cleaning,,,195 Humboldt St,40.708305,-73.941971,,
54,Turnover - Clean Pro,Home Cleaning,,,,40.75213096016639,-73.97872225289296,,
55,Maid In Hoboken,Home Cleaning,,,50 Harrison St,40.73734070268007,-74.04328236661078,,
56,Maid to Clean NY,Home Cleaning,,,,40.75095,-73.99811,,
57,Anytime Cleaner,Home Cleaning,,,,40.7492790222168,-73.9925918579102,,
58,Heaven Scent Tristate,Home Cleaning,,,1026 Hudson St,40.74933,-74.02647,,
59,Spoton Cleaning Services,Home Cleaning,,,,40.6700634,-73.8957712,,
60,HomelyPro Cleaning Services,Home Cleaning,,,,40.665771484375,-73.892463684082,,
61,Irene's Cleaning,Home Cleaning,,,,40.7679901123047,-74.1848373413086,,
62,Shield Cleaning Company,Home Cleaning,,,511 Avenue of the Americas,40.73683,-73.99744,,
63,Maid Sailors Cleaning Service,Home Cleaning,,,257 Water St,40.7083,-74.00167,,
64,Dirt Nerd,Home Cleaning,,,,40.71596,-74.01479,,
65,Breuckelen Cleaning Solutions,Home Cleaning,,,147 Prince St,40.6924514770508,-73.9903564453125,,
66,Shannas Finest Cleaning service,Home Cleaning,,,,40.6923484802246,-73.9261016845703,,
67,NY Moore Hostel,Hostels,,,179 Moore St,40.704157948494,-73.9376416057348,,
68,Interfaith Retreats,Hostels,,,370 8th Ave,40.74871,-73.99578,,
69,The Local Hostel,Hostels,,,1302 44th Ave,40.7495386,-73.9479673,,
