,Lodging,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Urban Cowboy B&B,Bed & Breakfast,,,111 Powers St,40.7123299,-73.9465103,,
1,A and Faye Bed & Breakfast,Bed & Breakfast,,,9 Marlborough Rd,40.6501304831038,-73.9658491331352,,
2,The Leo House,Bed & Breakfast,,,332 W 23rd St,40.7456699,-73.9997999,,
3,Sankofa Aban Bed and Breakfast,Bed & Breakfast,4.5,$$,107 Macon St,40.681581,-73.947049,https://www.yelp.com/biz/sankofa-aban-bed-and-breakfast-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,u_52fegbcqaIpVbkPI-rQQ
4,Bibi's Garden Bed and Breakfast,Bed & Breakfast,,,762 Westminster Rd,40.63056,-73.9654599,,
5,Victorian Bed and Breakfast of Staten Island,Bed & Breakfast,,,92 Taylor St,40.6366863,-74.1236662,,
6,Paper Moon Bed & Breakfast,Bed & Breakfast,,,2055 Fulton St,40.678531,-73.911117,,
7,Yellow Block Bed & Breakfast,Bed & Breakfast,,,208 Quincy St,40.68658,-73.95296,,
8,Harbor House Bed & Breakfast,Bed & Breakfast,,,1 Hylan Blvd,40.615592,-74.063522,,
9,Delz Bed & Breakfast,Bed & Breakfast,,,8914 Glenwood Rd,40.641323,-73.907814,,
10,Arlington Place,Bed & Breakfast,,,7 Arlington Pl,40.681381,-73.951011,,
11,Manhattan CitiSuites,Bed & Breakfast,,,41 E 30th St,40.7449409,-73.9837928,,
12,Mount Morris House,Bed & Breakfast,,,Fifth Avenue And 121st St,40.8044155,-73.9461191,,
13,Sutton Residence,Bed & Breakfast,,,E 47th St 127,40.7545308,-73.973321,,
14,John's Place NYC,Bed & Breakfast,,,20 West St,40.7054834,-74.0172717,,
15,Inn Your Element,Bed & Breakfast,,,6512 Ocean Ave S,40.589581,-73.794505,,
16,Griffin Bed & Breakfast,Bed & Breakfast,,,32 De Koven Ct,40.63291,-73.96267,,
17,International Cozy Inn,Bed & Breakfast,,,248 Lenox Ave,40.806557,-73.946241,,
18,Vybe Hotel,Bed & Breakfast,,,1024 Flatbush Ave,40.64606,-73.95826,,
19,Prospect Gardens Residence,Bed & Breakfast,,,44 Rutland Rd,40.658714,-73.959021,,
20,Easy Living Harlem,Bed & Breakfast,,,137TH Street 214,40.8168,-73.9438,,
21,Harlem Grand B&B,Bed & Breakfast,,,343 W 122nd St,40.809235,-73.954346,,
22,Les Saisons,Bed & Breakfast,,,304 Elmwood Ave,40.7279086667939,-74.2521980999997,,
23,Loralei Bed and Breakfast,Bed & Breakfast,,,667 Argyle Rd,40.633203,-73.964431,,
24,Rhonda's Bed & Breakfast,Bed & Breakfast,,,26 Van Buren St,40.6897772185504,-73.9443055540323,,
25,The Central Park North,Bed & Breakfast,,,137 W 111th St,40.799755,-73.953598,,
26,Little Pisky Cottage,Bed & Breakfast,,,1 - 2 River Terrace,50.270281,-4.788463,,
27,Park Slope Bed and Breakfast,Bed & Breakfast,,,604 5th St,40.66714,-73.9756,,
28,A Garden in Chelsea,Bed & Breakfast,,,439 W 22nd St,40.74655,-74.002897,,
29,Seascape Manor Bed & Breakfast,Bed & Breakfast,,,3 Grand Tour,40.392815386395355,-73.98496798623462,,
30,Northern Lights Mansion,Bed & Breakfast,,,210 W 122nd St,40.80717,-73.95064,,
31,Garden Green Bed & Breakfast,Bed & Breakfast,,,641 Carlton Ave,40.677839,-73.9719411,,
32,Incentra Village House,Bed & Breakfast,,,32 8th Ave,40.73784,-74.0042,,
33,NYC Brooklyn Apartment & Bed and Breakfast,Bed & Breakfast,,,Fort Greene Pl,40.687489,-73.9764947,,
34,West Eleventh Townhouse Apartments,Bed & Breakfast,,,278 W 11th St,40.7358322143555,-74.0045776367188,,
35,Lefferts Manor Bed And Breakfast,Bed & Breakfast,,,80 Rutland Rd,40.65874,-73.95774,,
36,Interfaith East Village Rooms,Bed & Breakfast,,,73 East 3rd St,40.72522,-73.98843,,
37,Four Paws Bed & Breakfast,Dog Walkers,,,,40.6629295349121,-73.9559783935547,,
38,La Sienna,Guest Houses,,,,40.8115692138672,-73.9529037475586,,
39,New York Renaissance Home and Guest House,Guest Houses,,,464 W 141st St,40.8222504,-73.9490128,,
40,Soul Food Guesthouse,Guest Houses,,,W 120th St,40.804215,-73.947036,,
41,Park Slope Inn,Guest Houses,,,321 4th St,40.6721,-73.9832799,,
42,Courtyard by Marriott Newark Downtown,Hotels,3.5,$$,858 Broad Street,40.7334630990386,-74.1728672775168,https://www.yelp.com/biz/courtyard-by-marriott-newark-downtown-newark?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,kyOqqJaw_1AEdqwrJ0lRaQ
43,Parker New York,Hotels,3.0,$$$,119 W 56th St,40.7642669540397,-73.9785768091679,https://www.yelp.com/biz/parker-new-york-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,oMaA1Pfz7q4dYU1x83tB1A
44,Comfort Inn Staten Island,Hotels,2.5,$$,310 Wild Ave,40.5861911478664,-74.1902156908073,https://www.yelp.com/biz/comfort-inn-staten-island-staten-island-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,nYfZPRDaXvc3C_AG8Wq_Yg
45,Iberostar 70 Park Avenue Hotel,Hotels,4.0,$$$,70 Park Ave,40.74987,-73.97963,https://www.yelp.com/biz/iberostar-70-park-avenue-hotel-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,VtJ6ircPce4lJ6LEsWMifg
46,Broadway Plaza Hotel,Hotels,3.5,$$,1155 Broadway,40.744464,-73.989151,https://www.yelp.com/biz/broadway-plaza-hotel-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Q_H5_7-3qAw2AA0_S-403g
47,Kimberly Hotel,Hotels,4.0,$$$,145 E 50th St,40.75628,-73.97144,https://www.yelp.com/biz/kimberly-hotel-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ggVdFOTgvBguVyqFU4eFlQ
