,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Momofuku Ko,American (New),4.5,$$$$,8 Extra Pl,40.72474046278671,-73.99144358343166,https://www.yelp.com/biz/momofuku-ko-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,GticI2JB8Iw2ktRfLv6aRQ
1,Malibu Farm,American (New),4.0,$$,89 S St,40.705925,-74.001749,https://www.yelp.com/biz/malibu-farm-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,SWK0AQ5KTDDCt8AtOhhasg
2,The Leroy House,American (New),4.5,$$$,430 Hudson St,40.73063,-74.00661,https://www.yelp.com/biz/the-leroy-house-new-york-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,AA9wpuJRhkSHUePAiv3otA
3,Atrium Dumbo,American (New),4.0,$$,15 Main St,40.7033899,-73.9904923,https://www.yelp.com/biz/atrium-dumbo-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,hmdm-dO72hLsMQwQRcGEUQ
4,While We Were Young,American (New),4.0,$$,183 W 10th St,40.73437,-74.00272,https://www.yelp.com/biz/while-we-were-young-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,YSflX6shqcP3zYno0Zz75Q
5,David Burke TImeout Market,American (New),,,55 Water St,40.7034191,-73.992147,,
6,The Wild Son,American (New),4.5,$$,132 First Ave,40.727424,-73.985201,https://www.yelp.com/biz/the-wild-son-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,N5UY113nNpeKdLPv0cbMjQ
7,Otis,American (New),5.0,$$,18 Harrison Pl,40.706011,-73.932598,https://www.yelp.com/biz/otis-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RfxOtJ4SQmEeVX_XjFLWUQ
8,Westville Dumbo,American (New),4.0,$$,81 Washington St,40.70208865020039,-73.9894541379247,https://www.yelp.com/biz/westville-dumbo-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,56qlj1cYlqNzmG0xllGg-w
9,Sweetwater Restaurant,American (New),4.0,$$,105 N 6th St,40.7184736,-73.9600178,https://www.yelp.com/biz/sweetwater-restaurant-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,8wMJdpw2R_4VfS55itB_gQ
