,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,The Cabin NYC,American (New),4.0,$$,205 E 4th St,40.72393,-73.98383,https://www.yelp.com/biz/the-cabin-nyc-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,J3NT61-AH5d5Gu5tFJhYSw
1,Gertie,American (New),4.0,$$,357 Grand St,40.712389,-73.9555675,https://www.yelp.com/biz/gertie-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,gC7QKqUe2wrxUTxL11ab1A
2,The Smith,American (New),4.0,$$,1900 Broadway,40.7716201269986,-73.9818377981476,https://www.yelp.com/biz/the-smith-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,JYNBy2r3LVhJbLHE1bASfg
3,Emma's,American (New),,,4 Path Plz,40.732781,-74.062652,,
4,Mayfield,American (New),4.0,$$,688 Franklin Ave,40.674924094277564,-73.95660173893404,https://www.yelp.com/biz/mayfield-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,DOdamkEm9JWR9s6VH_NuOQ
5,No5nyc,American (New),4.0,$$,35-43 37th St,40.75447,-73.92456,https://www.yelp.com/biz/no5nyc-long-island-city?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Y98a2y3r77l7S4wVS4Vqzg
6,Westville Chelsea,American (New),4.0,$$,246 W 18th St,40.74175,-74.00007,https://www.yelp.com/biz/westville-chelsea-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,MctQwL9Mp5X7DJk13VoERg
7,Marlow & Sons,American (New),4.0,$$$,81 Broadway,40.7106126934043,-73.9658814005443,https://www.yelp.com/biz/marlow-and-sons-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,G18cPTEjuxXx957dGYBDAQ
8,Walter's,American (New),4.0,$$,166 DeKalb Ave,40.6894111633301,-73.973258972168,https://www.yelp.com/biz/walters-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,moaPtBNbQ5VNu2Z0ilCVGQ
9,Westville Dumbo,American (New),4.0,$$,81 Washington St,40.70208865020039,-73.9894541379247,https://www.yelp.com/biz/westville-dumbo-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,56qlj1cYlqNzmG0xllGg-w
10,Clancey,American (New),4.5,$$,79 Clinton St,40.7190299,-73.98521,https://www.yelp.com/biz/clancey-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,7qtIemPU3LlNix8CVWdhwA
11,Monk Mcginn's,American (New),4.5,$$,57 Murray St,40.71432,-74.00972,https://www.yelp.com/biz/monk-mcginns-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,F-QQCnbsw48dfx4qVf-WoQ
12,Parker & Quinn,American (New),4.0,$$,64 W 39th St,40.7525862175813,-73.9850713153442,https://www.yelp.com/biz/parker-and-quinn-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,IOHaEgK1zDvUvB3SfKuGCw
13,Buttermilk Channel,American (New),4.0,$$,524 Court St,40.675919,-73.999059,https://www.yelp.com/biz/buttermilk-channel-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,rU9cKxAVU4Gd_JhAqp_bTA
14,Anella,American (New),4.0,$$,222 Franklin St,40.73327,-73.95786,https://www.yelp.com/biz/anella-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,J5y7oRfiGtxFDkYGKxFZkw
15,The Bar Room,American (New),4.0,$$,117 E 60th St,40.763409,-73.968449,https://www.yelp.com/biz/the-bar-room-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,MyQV4i518ZO4CLudtR8gLA
16,North Square,American (New),4.0,$$,103 Waverly Pl,40.732509,-73.998657,https://www.yelp.com/biz/north-square-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,3iLPrhNb02n81GdxP_jqgQ
17,Beauty & Essex,American (New),4.0,$$$,146 Essex St,40.720434786101286,-73.98686057623863,https://www.yelp.com/biz/beauty-and-essex-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,pfmAcS-g6SiNG0KlLvrqnA
18,David Burke TImeout Market,American (New),,,55 Water St,40.7034191,-73.992147,,
19,Boulton & Watt,American (New),4.0,$$,5 Ave A,40.722520164329694,-73.98635991078673,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Cz6It2NB_QBXCjnlsWGZSA
20,Bowery Road,American (New),4.0,$$$,132 4th Ave,40.7333427,-73.9901924,https://www.yelp.com/biz/bowery-road-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,FJepPR5CYRggxRwAjlqg6A
21,Esme,American (New),4.5,$$,999 Manhattan Ave,40.73322607409529,-73.95492695812946,https://www.yelp.com/biz/esme-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,6gzQLjzJk25ePm_JS7ZAug
22,The Quarter Brooklyn,American (New),4.0,$$,87 Lafayette Ave,40.6874192552749,-73.9748689904809,https://www.yelp.com/biz/the-quarter-brooklyn-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,HdYmIA2jRBbKnU1mGJ9a3Q
23,232 Bleecker,American (New),,,232 Bleecker St,40.730195,-74.002577,,
24,Ivy,American (New),4.0,$$,944 8th Ave,40.765751,-73.983167,https://www.yelp.com/biz/ivy-new-york-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,gvWzAiMrFm9AgfSN2I8Miw
25,Employees Only,American (New),4.0,$$$,510 Hudson St,40.73343,-74.00617,https://www.yelp.com/biz/employees-only-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,SjG7CnTIuUBIo9T4BThkGQ
26,Crown Shy,American (New),,,70 Pine St,40.7063449,-74.0076944,,
27,Bijan's,American (New),4.0,$$,81 Hoyt St,40.68803,-73.98671,https://www.yelp.com/biz/bijans-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,mXLrVoEi80WZaZ3agBP5Jw
28,The Flower Shop,American (New),4.0,$$,107 Eldridge St,40.71807,-73.99213,https://www.yelp.com/biz/the-flower-shop-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,vkQSMwAf5yqDw9HfEQYgzw
29,Henry's End,American (New),4.0,$$$,72 Henry St,40.69869,-73.99257,https://www.yelp.com/biz/henrys-end-brooklyn-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,xhuDOqY9G5mPuSqBnMCaYw
30,Five Leaves,American (New),4.0,$$,18 Bedford Ave,40.72371830945,-73.95159863632,https://www.yelp.com/biz/five-leaves-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,1Q3oaJahyGRogDWgpo7PIw
31,The Smith,American (New),3.5,$$,55 3rd Ave,40.73101549145275,-73.9886217,https://www.yelp.com/biz/the-smith-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,k5NAz3-goMXKoUqPfOZ1Hw
32,Joseph Leonard,American (New),4.0,$$,170 Waverly Pl,40.7336021670705,-74.001675412843,https://www.yelp.com/biz/joseph-leonard-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Ps0cOZevNA1M9M5_z7W3oQ
33,L'Adresse  - NoMad,American (New),,,1184 Bdway,40.75095,-73.99811,,
34,Cookshop,American (New),4.0,$$,156 10th Ave,40.7454251,-74.0056084,https://www.yelp.com/biz/cookshop-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ssGhu4n3emZ9kEPVf371IQ
35,The Richmond,American (New),,,695 Bay St,40.62508,-74.07463,,
