,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Cookshop,American (New),4.0,$$,156 10th Ave,40.7454251,-74.0056084,https://www.yelp.com/biz/cookshop-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ssGhu4n3emZ9kEPVf371IQ
1,Sweet Chick,American (New),4.0,$$,341 Flatbush Ave,40.67763,-73.97255,https://www.yelp.com/biz/sweet-chick-brooklyn-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,iZeAlmKKvxnPu5oUKN-B3Q
2,Bernie's,American (New),4.5,$$,332 Driggs Ave,40.721936,-73.950597,https://www.yelp.com/biz/bernies-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,-KKgqE2g4c1cH4YmmDR9CQ
3,The Osprey,American (New),4.0,$$,60 Furman St,40.702241,-73.995539,https://www.yelp.com/biz/the-osprey-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,q11TljTQd33XCWlVoPyRqg
4,Westville Dumbo,American (New),4.0,$$,81 Washington St,40.70208865020039,-73.9894541379247,https://www.yelp.com/biz/westville-dumbo-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,56qlj1cYlqNzmG0xllGg-w
5,The Wheelhouse,American (New),4.0,$$,165 Wilson Ave,40.700122,-73.924188,https://www.yelp.com/biz/the-wheelhouse-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,oXnJEg_AScyrR1lO4dnAfw
6,Brooklyn Beef N’ Cheese,American (New),,,70 Pine St,40.706506,-74.007752,,
7,Sixth Ward,American (Traditional),,,166 Smith St,40.68599,-73.9911,,
8,The Whiskey Brooklyn,American (Traditional),3.5,$$,44 Berry St,40.7210141970542,-73.9569997787476,https://www.yelp.com/biz/the-whiskey-brooklyn-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,xWeE46jsrtzmCKGebSeT9A
9,Mighty Quinn's Barbeque,Barbeque,4.0,$$,103 2nd Ave,40.727574,-73.988623,https://www.yelp.com/biz/mighty-quinns-barbeque-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,LsITU8KVYMhV_fatv84wWA
