,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Mei Lai Wah Bakery,Bakeries,4.0,$,64 Bayard St,40.7155758,-73.9979585,https://www.yelp.com/biz/mei-lai-wah-bakery-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,MauzeeZM7S-wUk_G98Ybrg
1,Luckybird Cakes,Bakeries,4.5,$$,163 Montrose Ave,40.7076263427734,-73.9427032470703,https://www.yelp.com/biz/luckybird-cakes-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Pa9ot06iF3b_DGWLyotZkQ
2,Huascar & Co Bakeshop,Bakeries,4.5,$$,453 W 54th St,40.7671574,-73.9895795,https://www.yelp.com/biz/huascar-and-co-bakeshop-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,CjIBoGl2gdvojZvVlyPIgg
3,Ferrara Bakery & Cafe,Bakeries,3.5,$$,195 Grand St,40.719079,-73.997086,https://www.yelp.com/biz/ferrara-bakery-and-cafe-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,lDW4DlTZYcSP9T1yQY5HKg
4,The Brooklyn Biscuit Company,Bakeries,4.5,$$$,24 Commerce St,40.679729,-74.006313,https://www.yelp.com/biz/the-brooklyn-biscuit-company-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Hoee2W7IQ1Aic1i830rfrg
5,Ceci-Cela,Bakeries,4.0,$$,14 Delancey St,40.7202848335508,-73.993055798842,https://www.yelp.com/biz/ceci-cela-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,N7ux8gAg5udFTgZ2Y5P-6A
6,Old Poland Bakery,Bakeries,4.0,$,926 Manhattan Ave,40.731071,-73.9542397,https://www.yelp.com/biz/old-poland-bakery-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,I41VRmgmiQ4kITgFZtJlvQ
7,Clinton Street Baking Company,Bakeries,4.0,$$,4 Clinton St,40.721128,-73.983933,https://www.yelp.com/biz/clinton-street-baking-company-new-york-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,nU4XBdvxDABXqZ6CnB8Dig
8,Tai Pan Bakery,Bakeries,3.5,$,194 Canal St,40.7168192,-73.9982137,https://www.yelp.com/biz/tai-pan-bakery-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,l6cNsWLIIYygtvt-kp2k9w
9,La Bella Ferrara Cafe,Bakeries,4.0,$,108 Mulberry St,40.7173118,-73.9982466,https://www.yelp.com/biz/la-bella-ferrara-cafe-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,0hkTO8W3g3r5p27XRKxJRw
10,Patisserie Claude,Bakeries,4.0,$,187 W 4th St,40.7327402,-74.0018208,https://www.yelp.com/biz/patisserie-claude-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,fvDZVAvv_g4L-WWkbDpCXg
