,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,B&B Restaurant Corporation,African,4.5,$,165 West 26th St,40.7459112,-73.9936086,https://www.yelp.com/biz/b-and-b-restaurant-corporation-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,GjAHO7PA-3Sxg1lkGza4sQ
1,B&D Halal Food,African,4.5,$,163B W 29th St,40.7477911583293,-73.9923941393954,https://www.yelp.com/biz/b-and-d-halal-food-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,L3PwWn54PvHm5Rd4oUg7xw
2,Baraka Buffet Restaurant,African,4.5,$,2546 Frederick Douglass Blvd,40.81688,-73.94605,https://www.yelp.com/biz/baraka-buffet-restaurant-manhattan?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,X0QdRUQC1vhVBRv7kOU35g
3,Flaming Grill & Buffet,American (New),3.5,$$,1701 W Edgar Rd,40.6121340674324,-74.2536832748653,https://www.yelp.com/biz/flaming-grill-and-buffet-linden-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,t9WWw6ZDk7lLksrbrc8kgg
4,Dig,American (New),4.0,$$,16 E 23rd St,40.7406997680664,-73.9883117675781,https://www.yelp.com/biz/dig-new-york-19?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,XVqXXolr-RS_ZarEAJjQ7A
5,Golden Corral,American (Traditional),,,2375 E Tremont Ave,40.84258,-73.85529,,
6,SHI,Asian Fusion,3.5,$$,4720 Center Blvd,40.74599336793073,-73.957094,https://www.yelp.com/biz/shi-long-island-city?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,8cyRl5HIQzbkYD7orq223g
7,Kai Sushi Asian Fusion,Asian Fusion,4.0,$$,1475 Williamsbridge Rd,40.84362,-73.84565,https://www.yelp.com/biz/kai-sushi-asian-fusion-bronx?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,rN347NNwQ0hDSlbedzI9BQ
8,Asea Fusion,Asian Fusion,4.0,$$,4120 8th Ave,40.64588,-73.99915,https://www.yelp.com/biz/asea-fusion-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Q_rT0lwuW8rJ6kGBYxPWkw
9,Bagel Buffet,Bagels,4.0,$,510 Ave Of Americas,40.73691631697569,-73.99693574914174,https://www.yelp.com/biz/bagel-buffet-new-york-116?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,rGfDX_ors68i8LnuG55NQA
