,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Society Cafe,American (New),4.0,$$,52 W 13th St,40.73618,-73.9965962,https://www.yelp.com/biz/society-cafe-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,JEuIdK9hzci9g_TuwfnZ_w
1,Citizens Of Gramercy,Australian,4.0,$$,362 2nd Ave,40.73674,-73.98152,https://www.yelp.com/biz/citizens-of-gramercy-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,yCfjoS6XfnP8hd9zWjME7Q
2,Hole In The Wall - Williamsburg,Australian,4.5,$$,292 Bedford Ave,40.714391,-73.961513,https://www.yelp.com/biz/hole-in-the-wall-williamsburg-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,v9bbNVQUA0OJzJKAcn_r4w
3,The Lazy Llama Coffee Bar,Bakeries,4.5,$$,72 E 1st Street,40.723505897000265,-73.98873335337309,https://www.yelp.com/biz/the-lazy-llama-coffee-bar-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,VHORZQg5A3YNBptRN92QGg
4,HARBS SoHo,Bakeries,4.0,$$,465 W Broadway,40.726366,-74.000015,https://www.yelp.com/biz/harbs-soho-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,M-1k30Dgcc1OxZ8buddE4Q
5,Butler,Bakeries,,,40 Water St,40.7032670673495,-73.9922419276899,,
6,Black Star Bakery & Cafe,Bakeries,4.0,$,2-10 50th Ave,40.7433494,-73.9580353,https://www.yelp.com/biz/black-star-bakery-and-cafe-long-island-city?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,gfgbbPRqVqSj_rxlSwhJhg
7,Breads Bakery,Bakeries,4.5,$$,18 E 16th St,40.73661,-73.99181,https://www.yelp.com/biz/breads-bakery-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,mU23NlQfn1R9OhA6WMe_xg
8,Mia's Bakery,Bakeries,4.5,$,139 Smith St,40.6870199,-73.9901299,https://www.yelp.com/biz/mias-bakery-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,jWC4mD-yy-IzuZxU5ctAKw
9,Ceremonia Bakeshop,Bakeries,,,743 Driggs Ave,40.7125,-73.96056,,
10,Pasticceria Rocco,Bakeries,4.0,$,243 Bleecker St,40.73083,-74.00265,https://www.yelp.com/biz/pasticceria-rocco-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,JWLRT0dkdaC7AHtYapWbGw
11,Cafe Patoro,Bakeries,4.5,$,223 Front St,40.7072720974983,-74.0023160353303,https://www.yelp.com/biz/cafe-patoro-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wWhZvkaFrntlSf1CWvD1Zw
12,Sullivan Street Bakery,Bakeries,3.5,$$,236 9th Ave,40.7474103457198,-74.0005904621599,https://www.yelp.com/biz/sullivan-street-bakery-new-york-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,yicBRA8X7urJyKn6aF2wzw
13,Takahachi Bakery,Bakeries,4.0,$$,25 Murray St,40.71393,-74.00822,https://www.yelp.com/biz/takahachi-bakery-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,GlPJPpKvPR4d8dmcSEYpdA
14,Peck's,Bakeries,4.0,$$,455A Myrtle Ave,40.693489,-73.967376,https://www.yelp.com/biz/pecks-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,DA1hijID0q6D6Ouch17v7w
15,Book Club,Bookstores,,,197 E 3rd St,40.723015,-73.983207,,
16,Usagi NY,Bookstores,4.5,$$,163 Plymouth St,40.70383,-73.98691,https://www.yelp.com/biz/usagi-ny-dumbo-7?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,vijwGDNrPBJHEG7_DsjZNw
17,Hole In The Wall,Breakfast & Brunch,4.5,$$,15 Cliff St,40.70837,-74.00563,https://www.yelp.com/biz/hole-in-the-wall-new-york-12?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,rQpO1Eie_zmeAOQ9s-T0sQ
18,Weekends,Breakfast & Brunch,4.5,$,155 S 4th St,40.71162,-73.96184,https://www.yelp.com/biz/weekends-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RszJexNjHiS1As9cJ7eWpQ
19,Sunflower - Gramercy,Breakfast & Brunch,4.5,$$,335 3rd Ave,40.7399,-73.98219,https://www.yelp.com/biz/sunflower-gramercy-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,zV1_EFMN4VY7Rxpv7P-ajg
20,Koneko,Breakfast & Brunch,4.5,$$,26 Clinton St,40.72044,-73.98412,https://www.yelp.com/biz/koneko-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,zi_TJRxi0WzADbbI6Jcz3A
21,Reunion,Breakfast & Brunch,4.0,$$,544 Union Ave,40.7171,-73.95164,https://www.yelp.com/biz/reunion-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,sVkwEFET38Myz3dM1uZpiw
22,Banter,Breakfast & Brunch,4.5,$$,643 Hudson St,40.739135,-74.005738,https://www.yelp.com/biz/banter-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,x8slUOJxMX2EJ0YUU0rrSg
23,Suited,Breakfast & Brunch,5.0,$$,45 John St,40.7092991,-74.0079162,https://www.yelp.com/biz/suited-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ykqXbitAmPGq1xXZoOLCxw
24,Banter,Breakfast & Brunch,4.5,$$,169 Sullivan St,40.72787,-74.0010999,https://www.yelp.com/biz/banter-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Zc7Jbuwe3XO-EaVXIh_TYQ
25,ACRE,Breakfast & Brunch,,,64 Meserole Ave,40.72633,-73.95471,,
26,Bee Cafe,Bubble Tea,4.5,$,60-11 39th Ave,40.7475304,-73.9030796,https://www.yelp.com/biz/bee-cafe-woodside?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,VLMxyAe_l9vvyFd5vEPZ4g
27,Secret Garden,Cafes,,,347 Lewis Ave,40.683746,-73.935023,,
28,Petee's Cafe,Cafes,4.0,$$,505 Myrtle Ave,40.693794,-73.964702,https://www.yelp.com/biz/petees-cafe-brooklyn-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,oBcuOhubYwHV_bY35lu5hA
29,Two Hands,Cafes,,,262 Kent Ave,40.71614308047852,-73.96630579723887,,
30,Outro,Cafes,4.0,$$,816 Broadway,40.7327799573693,-73.9910601451993,https://www.yelp.com/biz/outro-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,IiLLntICUim7YREkIBU7lA
31,Cafe Sandra,Cafes,,,194 1st Ave,40.72978,-73.9835,,
32,Maman King,Cafes,,,375 Hudson St,40.728534,-74.007779,,
33,Maman University Place,Cafes,,,67 University Pl,40.732863,-73.993403,,
34,Cafe Ubani,Cafes,,,37A Bedford St,40.73005,-74.00417,,
35,Tartinery,Cafes,,,10 Columbus Cir,40.768494,-73.983072,,
36,Terms of Endearment,Cafes,4.5,$$,135 Metropolitan Ave,40.716367,-73.962207,https://www.yelp.com/biz/terms-of-endearment-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Xn_UheApVz6K9heX4vY8PA
37,Aunts et Uncles,Cafes,,,1407 Nostrand Ave,40.65207,-73.94954,,
38,The Coppola Cafe,Cafes,4.5,$,171 West 4th St,40.732190162973,-74.0016116022391,https://www.yelp.com/biz/the-coppola-cafe-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,NJay-xUEFsvWzdeohs9EEA
39,Café Kitsuné New York,Cafes,3.5,$$,550 Hudson St,40.73505,-74.0059,https://www.yelp.com/biz/caf%C3%A9-kitsun%C3%A9-new-york-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Usmh6aAwaf6YRQEucPt-jw
40,Three Jewels Cafe,Cafes,4.5,$,5 E 3rd St,40.72624,-73.99119,https://www.yelp.com/biz/three-jewels-cafe-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,43WQ7zr54WL3yfT5KTlNBQ
41,Neighbors,Cafes,2.5,$$,60 Furman St,40.702241,-73.995539,https://www.yelp.com/biz/neighbors-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ScGOQn5vliD6TngiKNLRMg
42,Daily Provisions,Cafes,4.5,$$,103 E 19th St,40.73768,-73.9876685,https://www.yelp.com/biz/daily-provisions-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,t4M1VX4n34eEgUWMJ7cgKw
43,Porcelain,Cafes,,,880 Woodward Ave,40.702315,-73.901679,,
44,Three Owls Market,Cafes,4.0,$$,800 Washington St,40.73887,-74.0082,https://www.yelp.com/biz/three-owls-market-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,nI9a2XEe0kM6sEBZr-gxXg
45,Maman Soho,Cafes,4.0,$$,239 Centre St,40.72028,-73.9984,https://www.yelp.com/biz/maman-soho-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,DE0ROwygh-86i4s-WLp8wQ
46,Citizens of Soho,Cafes,,,201 Lafayette St,40.72134,-73.99777,,
47,Cafe Atelier,Cafes,,,112 Hudson St,40.719573,-74.008365,,
48,Round K by Sol,Cafes,,,78 Canal St,40.7151464197634,-73.99313382804394,,
49,Cafe Alula,Cafes,,,252 Franklin St,40.73461,-73.95822,,
50,Two Hands,Cafes,3.5,$$,164 Mott St,40.7196877016852,-73.9961054743265,https://www.yelp.com/biz/two-hands-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,DiMjV0XcRGybywKE0JTfZQ
51,Coffee Project New York | Fort Greene,Cafes,4.5,$$,78 Rockwell Pl,40.6875927899466,-73.9792491098683,https://www.yelp.com/biz/coffee-project-new-york-fort-greene-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,CHBDkg9U4xx6uDanE6tGvA
52,Bright Side,Cafes,,,184 Kent Ave,40.7187096995697,-73.9640169072708,,
53,Devocion,Cafes,4.0,$,25 E 20th St,40.73904,-73.98916,https://www.yelp.com/biz/devocion-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,S9T8kG8xTPaQ1PxLE_VdYg
54,Two Hands,Cafes,,,74 Bleecker St,40.726277,-73.9956844,,
55,Madame Bonté Café,Cafes,,,1834 2nd Ave,40.78331,-73.94756,,
56,Rosecrans,Cafes,,,7 Greenwich Ave,40.734217,-73.9998476,,
57,In Common NYC,Cafes,,,441 9th Ave,40.75382,-73.99622,,
58,Butler,Cafes,,,101 N 8th St,40.7197884,-73.9591445,,
59,Good Thanks Cafe,Cafes,4.5,$$,131A Orchard St,40.71972,-73.98952,https://www.yelp.com/biz/good-thanks-cafe-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,vZevXSC1w27dEvXc2EHCEg
60,Qahwah House,Cafes,5.0,$,162 Bedford Ave,40.7185628184474,-73.9571302649415,https://www.yelp.com/biz/qahwah-house-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,kpxXi23lUQkeJQH-2BtzDw
61,Espresso Bar,Cafes,,,1233 Prospect Ave,40.653054,-73.975948,,
62,Daughter,Cafes,,,1090 St Johns Pl,40.67105,-73.94237,,
