,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Sweet Chick,American (New),4.0,$$,341 Flatbush Ave,40.67763,-73.97255,https://www.yelp.com/biz/sweet-chick-brooklyn-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,iZeAlmKKvxnPu5oUKN-B3Q
1,Drew's Bayshore Bistro,American (New),4.5,$$$,25 Church St,40.4382552,-74.1996101,https://www.yelp.com/biz/drews-bayshore-bistro-keyport-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,v_dH9Z01bytFgkgd9_IQPQ
2,Sixth Ward,American (Traditional),,,166 Smith St,40.68599,-73.9911,,
3,BLVD Bistro,American (Traditional),4.0,$$,2149 Frederick Douglass Blvd,40.80438,-73.9558,https://www.yelp.com/biz/blvd-bistro-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Z-hDHjP4Eza6BA4G97tzVA
4,Le Sia,Asian Fusion,4.5,$$$,651 9th Ave,40.76072,-73.99119,https://www.yelp.com/biz/le-sia-new-york-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,C3tP0fNNAoxOAC3O406CXQ
5,Mable's Smokehouse & Banquet Hall,Barbeque,4.0,$$,44 Berry St,40.7211890204726,-73.9570004492998,https://www.yelp.com/biz/mables-smokehouse-and-banquet-hall-brooklyn-6?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,nsAU6F2vmdnphmfIa_RuWg
6,The Hudson,Barbeque,,,348 Dyckman St,40.86871,-73.93212,,
7,OISO BBQ PIT,Barbeque,,,124 Main St,40.850579,-73.96675,,
8,Sugar Hill Restaurant & Supper Club,Barbeque,,,217 Nostrand Ave,40.69158,-73.95159,,
9,Butcher Bar,Barbeque,4.0,$$,37-10 30th Ave,40.76431,-73.9164,https://www.yelp.com/biz/butcher-bar-astoria-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,nkfUKb7oWQt54Uz9VQLhUg
10,Biscuits & Barbeque,Barbeque,4.5,$$,106 E 2nd St,40.74415,-73.63007,https://www.yelp.com/biz/biscuits-and-barbeque-mineola?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,vfnS8azG-POk-txJB05XEA
11,Dinosaur Bar-B-Que,Barbeque,4.0,$$,700 W 125th St,40.818098338924,-73.9608729269837,https://www.yelp.com/biz/dinosaur-bar-b-que-new-york-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,XzUW9MvEGOFs9_aNj11j2Q
12,Mighty Quinn's Barbeque,Barbeque,4.0,$$,103 2nd Ave,40.727574,-73.988623,https://www.yelp.com/biz/mighty-quinns-barbeque-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,LsITU8KVYMhV_fatv84wWA
13,ZLS BBQ,Barbeque,,,219 E 23rd St,40.73852,-73.98201,,
14,Northern Bell,Barbeque,4.0,$$,612 Metropolitan Ave,40.71389,-73.94855,https://www.yelp.com/biz/northern-bell-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,W8flNX3SneJlQBQt7C9Q9w
15,Pig Beach,Barbeque,4.0,$$,480 Union St,40.6792941479875,-73.9880264255794,https://www.yelp.com/biz/pig-beach-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Zzvqc7XcyGVX5bnjGN9IXA
16,Steak 'N Lobster,Bars,4.0,$$,129 W 29th St,40.7472,-73.990979,https://www.yelp.com/biz/steak-n-lobster-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,MIsxw3cb4ByYyH2G1KzrZQ
17,Catfish,Bars,4.0,$$,1433 Bedford Ave,40.674106,-73.953529,https://www.yelp.com/biz/catfish-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,UinIRaZuSSYlLrOrhy2V0Q
18,Heavy Woods,Bars,4.0,$$,50 Wyckoff Ave,40.7057052036711,-73.921245932579,https://www.yelp.com/biz/heavy-woods-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,T01HREE-9x-Q0zPr8K419A
19,Time Flies Restaurant & Bar,Bars,3.5,$$,163-08 Northern Blvd,40.7608004,-73.8022324,https://www.yelp.com/biz/time-flies-restaurant-and-bar-flushing-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,anrwezhvuSdfmB5RwyWgZQ
20,Crab House All You Can Eat Seafood,Buffets,4.5,$$$$,135 E 55th St,40.759664,-73.969776,https://www.yelp.com/biz/crab-house-all-you-can-eat-seafood-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,YvWQMlMjtYmVmheH97tTlQ
21,Hip Hop Burger NYC,Burgers,,,1543 Broadway,40.686426,-73.916241,,
22,Biyou,Cajun/Creole,4.0,$$,198 Lewis Ave,40.68983,-73.93656,https://www.yelp.com/biz/biyou-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,unePwYAUWb7oC8RBt84e3A
23,Shaking Crab,Cajun/Creole,3.5,$$,37-02 Prince St,40.760747,-73.8330494,https://www.yelp.com/biz/shaking-crab-flushing-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,3bnm05Z90OHEPl_Q3p4fsg
24,Storming Crab - Yonkers,Cajun/Creole,,,26 Market St,40.96134,-73.85575,,
25,H Crab Cajun Seafood,Cajun/Creole,,,25-93 Francis Lewis Blvd,40.7734368,-73.7959994,,
26,The Bayou Restaurant,Cajun/Creole,3.5,$$,580 Gramatan Ave,40.9261252,-73.8357865,https://www.yelp.com/biz/the-bayou-restaurant-mount-vernon?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,sDqDQgV4VBIElhjxMplmow
27,Hook & Reel Cajun Seafood & Bar,Cajun/Creole,4.0,$$$,2590 Hylan Blvd,40.5682222626251,-74.1109398138044,https://www.yelp.com/biz/hook-and-reel-cajun-seafood-and-bar-staten-island-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,AbkiG5m3JAkaPyapAeuZLw
28,Hook & Reel Cajun Seafood & Bar,Cajun/Creole,,,100 State Rte 4,40.91889,-74.12387,,
