,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Society Cafe,American (New),4.0,$$,52 W 13th St,40.73618,-73.9965962,https://www.yelp.com/biz/society-cafe-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,JEuIdK9hzci9g_TuwfnZ_w
1,Citizens Of Gramercy,Australian,4.0,$$,362 2nd Ave,40.73674,-73.98152,https://www.yelp.com/biz/citizens-of-gramercy-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,yCfjoS6XfnP8hd9zWjME7Q
2,Kam Hing Coffee Shop,Bakeries,4.5,$,118 Baxter St,40.71798,-73.99921,https://www.yelp.com/biz/kam-hing-coffee-shop-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,nOCjslrdcKBQQYgD5qUs9Q
3,Peck's,Bakeries,4.0,$$,455A Myrtle Ave,40.693489,-73.967376,https://www.yelp.com/biz/pecks-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,DA1hijID0q6D6Ouch17v7w
4,Butler,Bakeries,4.5,$$,95 S 5th St,40.7117670177852,-73.9646924963509,https://www.yelp.com/biz/butler-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,SWRz34fmNEDPcrngJMMo7Q
5,Ebb & Flow Bakery,Bakeries,,,159 Bridge Dr,40.69385416250277,-74.00085359915278,,
6,The Lazy Llama Coffee Bar,Bakeries,4.5,$$,72 E 1st Street,40.723505897000265,-73.98873335337309,https://www.yelp.com/biz/the-lazy-llama-coffee-bar-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,VHORZQg5A3YNBptRN92QGg
7,Almondine Bakery,Bakeries,4.0,$$,85 Water St,40.7033174,-73.9912506,https://www.yelp.com/biz/almondine-bakery-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,XSwagBljEsxG2i1rq4GEAQ
8,Dominique Ansel Workshop,Bakeries,4.5,$$,17 E 27th St,40.74368,-73.98658,https://www.yelp.com/biz/dominique-ansel-workshop-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,KakiWGOfm_h5rEqOyKD7zQ
9,Ceremonia Bakeshop,Bakeries,,,743 Driggs Ave,40.7125,-73.96056,,
10,Black Star Bakery & Cafe,Bakeries,4.0,$,2-10 50th Ave,40.7433494,-73.9580353,https://www.yelp.com/biz/black-star-bakery-and-cafe-long-island-city?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,gfgbbPRqVqSj_rxlSwhJhg
11,Takahachi Bakery,Bakeries,4.0,$$,25 Murray St,40.71393,-74.00822,https://www.yelp.com/biz/takahachi-bakery-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,GlPJPpKvPR4d8dmcSEYpdA
12,Butler,Bakeries,,,40 Water St,40.7032670673495,-73.9922419276899,,
13,Cafe Patoro,Bakeries,4.5,$,223 Front St,40.7072720974983,-74.0023160353303,https://www.yelp.com/biz/cafe-patoro-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wWhZvkaFrntlSf1CWvD1Zw
14,Sullivan Street Bakery,Bakeries,3.5,$$,236 9th Ave,40.7474103457198,-74.0005904621599,https://www.yelp.com/biz/sullivan-street-bakery-new-york-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,yicBRA8X7urJyKn6aF2wzw
15,Mountain Province,Bakeries,4.5,$,9 Meserole St,40.7075228032172,-73.9503787374344,https://www.yelp.com/biz/mountain-province-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,1RRD6Ub4QEW9ZeyaBMx5jQ
16,Usagi NY,Bookstores,4.5,$$,163 Plymouth St,40.70383,-73.98691,https://www.yelp.com/biz/usagi-ny-dumbo-7?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,vijwGDNrPBJHEG7_DsjZNw
17,Book Club,Bookstores,,,197 E 3rd St,40.723015,-73.983207,,
18,Koneko,Breakfast & Brunch,4.5,$$,26 Clinton St,40.72044,-73.98412,https://www.yelp.com/biz/koneko-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,zi_TJRxi0WzADbbI6Jcz3A
19,Hole In The Wall,Breakfast & Brunch,4.5,$$,15 Cliff St,40.70837,-74.00563,https://www.yelp.com/biz/hole-in-the-wall-new-york-12?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,rQpO1Eie_zmeAOQ9s-T0sQ
20,ACRE,Breakfast & Brunch,,,64 Meserole Ave,40.72633,-73.95471,,
21,Banter,Breakfast & Brunch,4.5,$$,169 Sullivan St,40.72787,-74.0010999,https://www.yelp.com/biz/banter-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Zc7Jbuwe3XO-EaVXIh_TYQ
22,Bee Cafe,Bubble Tea,4.5,$,60-11 39th Ave,40.7475304,-73.9030796,https://www.yelp.com/biz/bee-cafe-woodside?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,VLMxyAe_l9vvyFd5vEPZ4g
23,Qahwah House,Cafes,5.0,$,162 Bedford Ave,40.7185628184474,-73.9571302649415,https://www.yelp.com/biz/qahwah-house-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,kpxXi23lUQkeJQH-2BtzDw
24,Good Thanks Cafe,Cafes,4.5,$$,131A Orchard St,40.71972,-73.98952,https://www.yelp.com/biz/good-thanks-cafe-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,vZevXSC1w27dEvXc2EHCEg
25,Maman Soho,Cafes,4.0,$$,239 Centre St,40.72028,-73.9984,https://www.yelp.com/biz/maman-soho-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,DE0ROwygh-86i4s-WLp8wQ
26,Espresso Bar,Cafes,,,1233 Prospect Ave,40.653054,-73.975948,,
27,Porcelain,Cafes,,,880 Woodward Ave,40.702315,-73.901679,,
28,Nook,Cafes,,,45 Irving Ave,40.705189,-73.924549,,
29,Devocion,Cafes,4.0,$,25 E 20th St,40.73904,-73.98916,https://www.yelp.com/biz/devocion-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,S9T8kG8xTPaQ1PxLE_VdYg
30,Ella's Cafe Espresso & Wine Bar,Cafes,,,1465 2nd Ave,40.77168,-73.95649,,
31,Butler,Cafes,,,101 N 8th St,40.7197884,-73.9591445,,
32,Coffee Project New York | Fort Greene,Cafes,4.5,$$,78 Rockwell Pl,40.6875927899466,-73.9792491098683,https://www.yelp.com/biz/coffee-project-new-york-fort-greene-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,CHBDkg9U4xx6uDanE6tGvA
33,The Coppola Cafe,Cafes,4.5,$,171 West 4th St,40.732190162973,-74.0016116022391,https://www.yelp.com/biz/the-coppola-cafe-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,NJay-xUEFsvWzdeohs9EEA
34,Ralph's Coffee,Cafes,,,160 5th Ave,40.74016,-73.99083,,
35,Three Jewels Cafe,Cafes,4.5,$,5 E 3rd St,40.72624,-73.99119,https://www.yelp.com/biz/three-jewels-cafe-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,43WQ7zr54WL3yfT5KTlNBQ
36,Citizens of Soho,Cafes,,,201 Lafayette St,40.72134,-73.99777,,
37,La Parisienne,Cafes,4.5,$$,9 Maiden Ln,40.70961,-74.0093799,https://www.yelp.com/biz/la-parisienne-new-york-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,xTnivXEdEtXrnhp-z4JGvg
38,Black Fox Coffee,Cafes,4.0,$$,70 Pine St,40.7063449,-74.0076944,https://www.yelp.com/biz/black-fox-coffee-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,uQ4HZzNarBBNcTKZSIY-vA
39,Daily Provisions,Cafes,4.5,$$,103 E 19th St,40.73768,-73.9876685,https://www.yelp.com/biz/daily-provisions-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,t4M1VX4n34eEgUWMJ7cgKw
40,Bright Side,Cafes,,,184 Kent Ave,40.7187096995697,-73.9640169072708,,
41,All the King's Horses Cafe,Coffee & Tea,,,521 E 12th St,40.728833,-73.980163,,
42,Paper Coffee,Coffee & Tea,4.5,$$,44 W 29th St,40.7463281632382,-73.9896308128189,https://www.yelp.com/biz/paper-coffee-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,FkxRk1CUEhgBWRzFadkAaQ
43,Zibetto Espresso Bar,Coffee & Tea,4.5,$,1385 6th Ave,40.7639232809413,-73.9776043465576,https://www.yelp.com/biz/zibetto-espresso-bar-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,dXK2R-3ECPqXVgjvGlV8Cw
44,La Colombe Coffee,Coffee & Tea,4.0,$$,319 Church St,40.719941,-74.003781,https://www.yelp.com/biz/la-colombe-coffee-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Toe219x40Dtq71_HOQ1OOg
45,Beepublic Coffee,Coffee & Tea,,,147 Front St,40.70277,-73.9870969,,
46,Maman - Hudson,Coffee & Tea,,,205 Hudson St,40.72381,-74.00836,,
47,Brooklyn Kava,Coffee & Tea,4.0,$$,191 Suydam St,40.7003175,-73.9256934,https://www.yelp.com/biz/brooklyn-kava-bushwick?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,v3yGWIwc4Stv3uV3lj20sQ
48,Early,Coffee & Tea,4.5,$,967 Manhattan Ave,40.732151,-73.9548187,https://www.yelp.com/biz/early-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,yBBKdMVbGjSPAgxhDT8zMg
49,Office Coffee,Coffee & Tea,4.5,$$,265 Canal St,40.71893703250802,-74.00095218748342,https://www.yelp.com/biz/office-coffee-new-york-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,fiZG5Ttjk428MIc9XvMBHQ
50,Hungry Ghost Coffee,Coffee & Tea,,,80 Dekalb Ave,40.6898258557588,-73.9800336547528,,
51,Sweetleaf Coffee,Coffee & Tea,4.0,$$,159 Freeman St,40.7345567794736,-73.9554053775444,https://www.yelp.com/biz/sweetleaf-coffee-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,DANnWXzJGxpYVr_MVLlkpg
52,Interlude Coffee & Tea,Coffee & Tea,5.0,$$,145 Hudson St,40.72107,-74.00868,https://www.yelp.com/biz/interlude-coffee-and-tea-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,bHY5-dzDzzTw6Xl0duONVQ
53,Blank Street,Coffee & Tea,,,253 Bergen St,40.68416,-73.98357,,
54,787 Coffee,Coffee & Tea,,,131 E 7th St,40.72629,-73.98386,,
55,Upright Coffee,Coffee & Tea,4.5,$$,860 Manhattan Ave,40.7292285,-73.9537541,https://www.yelp.com/biz/upright-coffee-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,YTYxc-Q8A3gRxjBr4nz_Xw
56,MUD,Coffee & Tea,4.0,$$,307 E 9th St,40.72905,-73.98668,https://www.yelp.com/biz/mud-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,S-WdvEU1X7J33whXWk1zmw
