,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Brooklyn Beef N’ Cheese,American (New),,,70 Pine St,40.706506,-74.007752,,
1,Montagu's Gusto,American (New),4.5,$,645 2nd Ave,40.74571,-73.97553,https://www.yelp.com/biz/montagus-gusto-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,or0Op4EDk95L0vhLwSATcQ
2,Bubby's Tribeca,American (Traditional),3.5,$$,120 Hudson St,40.7198118,-74.0083092,https://www.yelp.com/biz/bubbys-tribeca-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Vs-3byrsBYwd_Cnfl0CyFw
3,Great Land Deli,American (Traditional),4.5,$,290 Knickerbocker Ave,40.7019954174757,-73.924070969224,https://www.yelp.com/biz/great-land-deli-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,UwM-eKOkzbiZbNoMZZPTZg
4,La Bagel Delight at Dumbo,Bagels,3.5,$,104 Front St,40.70235,-73.98873,https://www.yelp.com/biz/la-bagel-delight-at-dumbo-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,U43uuWwSyH95gXsUhejd4w
5,Russ & Daughters Cafe,Bagels,4.0,$$,127 Orchard St,40.7196253171697,-73.9895758930263,https://www.yelp.com/biz/russ-and-daughters-cafe-new-york-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,0rQz8mkleT62eUkiAVs4UA
6,Russ & Daughters - Brooklyn,Bagels,3.0,$$,141 Flushing Ave,40.69799,-73.97116,https://www.yelp.com/biz/russ-and-daughters-brooklyn-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,PWDSfW-c8198UegLtaTR1A
7,Russ & Daughters,Bagels,4.5,$$,179 E Houston St,40.722589,-73.9882828294139,https://www.yelp.com/biz/russ-and-daughters-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,VrCCr45dhN-RRM107iptdg
8,Lucky 7 Gourmet Deli,Bagels,3.5,$$$,400 Bedford Ave,40.710703,-73.963894,https://www.yelp.com/biz/lucky-7-gourmet-deli-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,EB9cbdwOaLp4w9h6ocrRng
9,Brooklyn Bagel & Coffee Company,Bagels,4.5,$,286 8th Ave,40.746183,-73.997642,https://www.yelp.com/biz/brooklyn-bagel-and-coffee-company-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,pb_ryc8FYHpUPV56eV2Eyg
10,Bagel Buffet,Bagels,4.0,$,510 Ave Of Americas,40.73691631697569,-73.99693574914174,https://www.yelp.com/biz/bagel-buffet-new-york-116?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,rGfDX_ors68i8LnuG55NQA
11,Best Bagel & Coffee,Bagels,4.5,$,225 W 35th St,40.7522683,-73.9910861,https://www.yelp.com/biz/best-bagel-and-coffee-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,j1S3NUrkB3BVT49n_e76NQ
12,Catherine  Deli and Bagel,Bagels,,,43 Catherine St,40.7120098,-73.9966423,,
13,Bagels on the Square,Bakeries,3.5,$,7 Carmine St,40.730604,-74.002152,https://www.yelp.com/biz/bagels-on-the-square-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,mpCQzQAT4Rken3mFBlwqLw
14,Ess-a-Bagel,Bakeries,4.0,$,831 3rd Ave,40.756300559255,-73.9703701025162,https://www.yelp.com/biz/ess-a-bagel-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,c3eMI4_o4dPDDhPV_ibBYQ
