,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Beauty & Essex,American (New),4.0,$$$,146 Essex St,40.720434786101286,-73.98686057623863,https://www.yelp.com/biz/beauty-and-essex-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,pfmAcS-g6SiNG0KlLvrqnA
1,The Smith,American (New),4.0,$$,956 2nd Ave,40.755165,-73.967868,https://www.yelp.com/biz/the-smith-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,C-8mGN7lt5rIraO5n-15ug
2,Robert,American (New),4.0,$$$,2 Columbus Cir,40.767394,-73.982036,https://www.yelp.com/biz/robert-new-york-25?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,h8XLhVVPoYPYodZqQOjRMw
3,MEAL,American (New),4.0,$$,522-526 Franklin Ave,40.82391510634746,-74.15455385508385,https://www.yelp.com/biz/meal-nutley?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,iaO4XudTeTKb6FiKMEkpaQ
4,DiWine,American (New),4.0,$$,41-15 31st Ave,40.76087,-73.91557,https://www.yelp.com/biz/diwine-astoria?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ayOj0JXAsuGqVG8reuqpxQ
5,Sunday in Brooklyn,American (New),4.0,$$,348 Wythe Ave,40.714145,-73.965322,https://www.yelp.com/biz/sunday-in-brooklyn-brooklyn-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,9AXTJkwXdWaJaQkCjpj6mA
6,Boulton & Watt,American (New),4.0,$$,5 Ave A,40.722520164329694,-73.98635991078673,https://www.yelp.com/biz/boulton-and-watt-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Cz6It2NB_QBXCjnlsWGZSA
7,The Modern,American (New),4.5,$$$$,9 W 53rd St,40.7610699,-73.97709,https://www.yelp.com/biz/the-modern-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,_LJFf9YqpYxvExTvVxb7Rw
8,Cream Ridgewood,American (New),4.0,$$,59 09 71st Ave,40.70077,-73.89956,https://www.yelp.com/biz/cream-ridgewood-ridgewood-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,51DG1_n8Lwct4EPqiHrOqA
9,Butter Midtown,American (New),3.5,$$$,70 W 45th St,40.7562781,-73.9823303,https://www.yelp.com/biz/butter-midtown-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Jhx4OoFjXFp0YxqbW0KQog
10,Serendipity 3,American (New),3.0,$$,225 E 60th St,40.761851,-73.9649001,https://www.yelp.com/biz/serendipity-3-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,_tHF8-3rbyMesgdkQzB2yQ
11,Antique Bar & Bakery,American (New),4.0,$$$,122 Willow Ave,40.739005,-74.034587,https://www.yelp.com/biz/antique-bar-and-bakery-hoboken-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Y-RLUYOQSNJssvQFoWE3qg
12,James Provisions,American (New),3.5,$$$,605 Carlton Ave,40.678984,-73.971489,https://www.yelp.com/biz/james-provisions-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RZvUUM0vJVji8mSnPSFhTA
13,Copperhill,American (New),4.5,$$$,234 Hillside Ave,40.755332,-73.648689,https://www.yelp.com/biz/copperhill-williston-park?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,y_pEXfWX9l3ZcjsE4pHpGQ
14,Mim's Restaurant,American (New),4.0,$$,235 Roslyn Rd,40.78679,-73.63999,https://www.yelp.com/biz/mims-restaurant-roslyn-heights?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,55o1f2dpKCdFVgJeIOk5XA
15,The Milling Room,American (New),4.0,$$$,446 Columbus Ave,40.7835485472543,-73.9744088718635,https://www.yelp.com/biz/the-milling-room-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,PnGSE8JGbMZKtdHi9go7Kg
16,The Smith,American (New),4.0,$$$,1150 Broadway,40.74424,-73.98878,https://www.yelp.com/biz/the-smith-new-york-7?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Xd_l7jtUAZZAAvK8-mI2Jw
17,Maritime Parc,American (New),4.0,$$$,84 Audrey Zapp Dr,40.7095350427965,-74.041712988011,https://www.yelp.com/biz/maritime-parc-jersey-city?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,u3wAKkynmIkXjVdFXkrnVg
18,Olmsted,American (New),4.0,$$$,659 Vanderbilt Ave,40.67713,-73.96869,https://www.yelp.com/biz/olmsted-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Ulr_Nyp2nvt82EPH_BiftA
19,Skinner's Loft,American (New),4.0,$$,146 Newark Ave,40.72062,-74.04376,https://www.yelp.com/biz/skinners-loft-jersey-city?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,vr_edPWXo8qB8pirE9iUlQ
