,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Paradis Des Gouts,African,4.5,$$,1136 Broadway,40.69333,-73.92931,https://www.yelp.com/biz/paradis-des-gouts-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,r_QEUVdoo8dsKR9fK31w3w
1,Casa Del Chef Bistro,American (New),4.5,$$,39-06 1/2 64th St,40.746291,-73.900092,https://www.yelp.com/biz/casa-del-chef-bistro-woodside-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,nw5_0jb_u2a6nUt4Je09Xg
2,Perry St,American (New),4.0,$$$,176 Perry St,40.73442,-74.00971,https://www.yelp.com/biz/perry-st-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,2VpurA2lb-q90nmALklNcA
3,David's Cafe,American (New),4.0,$$,110 St Marks Pl,40.7269310030458,-73.9843428879976,https://www.yelp.com/biz/davids-cafe-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,3V20VbC45XL4TBYTL9DrOg
4,Francie,American (New),,,134 Broadway,40.71002578663716,-73.96405744314846,,
5,Almond,American (New),4.0,$$,12 E 22nd St,40.7400817871094,-73.9887542724609,https://www.yelp.com/biz/almond-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,6ujYWjs1FTksvuVxuzjUYA
6,Eleven Madison Park,American (New),4.5,$$$$,11 Madison Ave,40.7416907417333,-73.9872074872255,https://www.yelp.com/biz/eleven-madison-park-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,nRO136GRieGtxz18uD61DA
7,Cafe Luxembourg,American (New),4.0,$$$,200 W 70th St,40.77741,-73.98312,https://www.yelp.com/biz/cafe-luxembourg-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,fSQ3CCtFSJ2S8VXDi02-3Q
8,St. Anselm,American (New),4.0,$$$,355 Metropolitan Ave,40.7143299,-73.95604,https://www.yelp.com/biz/st-anselm-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,hiTfA7vnxDSLv77nl6UQXQ
9,Elysian Cafe,American (New),3.5,$$,1001 Washington St,40.7486464,-74.027349,https://www.yelp.com/biz/elysian-cafe-hoboken?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,JbpjgLAk4DaP0zvY7dP9Hw
10,The Odeon,American (New),4.0,$$$,145 W Broadway,40.71692,-74.00792,https://www.yelp.com/biz/the-odeon-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,P2CTp4xyaNCe2AXSiLeOSQ
11,Tocqueville Restaurant,American (New),4.0,$$$$,1 E 15th St,40.73662,-73.99272,https://www.yelp.com/biz/tocqueville-restaurant-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,a0AvIH1UnFmqAXhZDEQtrw
12,The River Café,American (New),4.0,$$$$,1 Water St,40.70318,-73.9946499,https://www.yelp.com/biz/the-river-caf%C3%A9-brooklyn-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,4XX-zF8h5Lvrr22_tqU6-Q
13,Simple Cafe & Restaurant,American (New),4.0,$$,346 Bedford Ave,40.71244,-73.96275,https://www.yelp.com/biz/simple-cafe-and-restaurant-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ArfL-sU2FaB73WV1qQ4c6Q
14,Joseph Leonard,American (New),4.0,$$,170 Waverly Pl,40.7336021670705,-74.001675412843,https://www.yelp.com/biz/joseph-leonard-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Ps0cOZevNA1M9M5_z7W3oQ
