,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Craft,American (New),4.0,$$$$,43 E 19th St,40.73818,-73.98866,https://www.yelp.com/biz/craft-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Rgm8BwcoqfIVSl2QSEOhbQ
1,Westville Dumbo,American (New),4.0,$$,81 Washington St,40.70208865020039,-73.9894541379247,https://www.yelp.com/biz/westville-dumbo-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,56qlj1cYlqNzmG0xllGg-w
2,Yeah Dawg Vegan,American (New),4.0,$,,40.6809730529785,-73.9476623535156,https://www.yelp.com/biz/yeah-dawg-vegan-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,axDA1Y-B9w67E6TM0CsQYA
3,Westville Chelsea,American (New),4.0,$$,246 W 18th St,40.74175,-74.00007,https://www.yelp.com/biz/westville-chelsea-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,MctQwL9Mp5X7DJk13VoERg
4,Lock Yard,American (New),4.0,$$,9221 5th Ave,40.617264,-74.029419,https://www.yelp.com/biz/lock-yard-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,5f3M0k7mTjrKoQFJW-PFzg
5,Brooklyn Beef N’ Cheese,American (New),,,70 Pine St,40.706506,-74.007752,,
6,Sloppie Joe’s,American (Traditional),,,541 Central Park Ave,40.921272,-73.8648208,,
7,The Levee,American (Traditional),4.0,$,212 Berry St,40.7163303847776,-73.9617204666138,https://www.yelp.com/biz/the-levee-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,XpYm_l-zKI3Rl4E8WODIDA
8,Emmett's,American (Traditional),4.0,$$,50 Macdougal St,40.727303,-74.00243,https://www.yelp.com/biz/emmetts-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,JnFV_qz7uWbLTY80K89J7Q
9,Fanelli's Cafe,American (Traditional),3.5,$$,94 Prince St,40.724634,-73.998776,https://www.yelp.com/biz/fanellis-cafe-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ru1SNTniUClsnDWy4MNsfw
10,Hiram's Roadstand,American (Traditional),4.0,$,1345 Palisade Ave,40.84179,-73.97473,https://www.yelp.com/biz/hirams-roadstand-fort-lee?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,7q3Wn2RDqeISf9mVJxdspQ
11,Schnippers,American (Traditional),3.5,$$,570 Lexington Ave,40.75686,-73.97228,https://www.yelp.com/biz/schnippers-new-york-8?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,N6XXfG1ZxSeQxwxVZUkvHg
12,Westville - Wall St,American (Traditional),4.0,$$,110 Wall St,40.70478,-74.00652,https://www.yelp.com/biz/westville-wall-st-new-york-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,xefmiLAsKURFc6FDGSRgfQ
13,Grubbs Take Away,American (Traditional),3.5,$,418 Washington St,40.742011,-74.029796,https://www.yelp.com/biz/grubbs-take-away-hoboken?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,_mD0hOyxq2y_DxnB97O42A
14,Brennan & Carr,American (Traditional),4.0,$$,3432 Nostrand Ave,40.600247,-73.942094,https://www.yelp.com/biz/brennan-and-carr-brooklyn-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,HqVdTKCpOZWrCvUF9rG2sA
15,DDT,American (Traditional),,,847B Union St,40.67472,-73.97574,,
16,Bubby's Tribeca,American (Traditional),3.5,$$,120 Hudson St,40.7198118,-74.0083092,https://www.yelp.com/biz/bubbys-tribeca-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Vs-3byrsBYwd_Cnfl0CyFw
17,Roll-N-Roaster,American (Traditional),4.0,$,2901 Emmons Ave,40.5840481565596,-73.9396257952115,https://www.yelp.com/biz/roll-n-roaster-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,fPJoi_TVRhjBdPYBZS6kXg
18,Junior's Restaurant,Bakeries,3.5,$$,386 Flatbush Ave Ext,40.690151,-73.981874,https://www.yelp.com/biz/juniors-restaurant-brooklyn-7?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,LWDX1jKrNE8334jF6XenYQ
19,Junior's Restaurant & Bakery - 45th St,Bakeries,4.0,$$,1515 Broadway,40.75754564001459,-73.98608001118411,https://www.yelp.com/biz/juniors-restaurant-and-bakery-45th-st-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,U5hCNNyJmb7f3dmC1HTzSQ
20,Butcher Bar,Barbeque,4.0,$$,37-10 30th Ave,40.76431,-73.9164,https://www.yelp.com/biz/butcher-bar-astoria-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,nkfUKb7oWQt54Uz9VQLhUg
21,Fette Sau,Barbeque,4.0,$$,354 Metropolitan Ave,40.714066,-73.956327,https://www.yelp.com/biz/fette-sau-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,mlGfXoxc8cEss8Yms6VrXg
22,Brooklyn Ice House,Barbeque,4.5,$,318 Van Brunt St,40.67919,-74.011099,https://www.yelp.com/biz/brooklyn-ice-house-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Hc2KkfFWYnWYtL11_F40Ew
23,ZLS BBQ,Barbeque,,,219 E 23rd St,40.73852,-73.98201,,
24,Clinton Hall,Bars,3.5,$$,90 Washington St,40.70803,-74.014869,https://www.yelp.com/biz/clinton-hall-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,nm5rcWNmfevNXLNQAITi5w
25,Heavy Woods,Bars,4.0,$$,50 Wyckoff Ave,40.7057052036711,-73.921245932579,https://www.yelp.com/biz/heavy-woods-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,T01HREE-9x-Q0zPr8K419A
26,Treadwell Park,Bars,4.0,$$,1125 1st Ave,40.7614,-73.9609,https://www.yelp.com/biz/treadwell-park-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,t7xqAMBQNH4ppsPSOMzFyg
27,Someday Bar,Bars,4.5,$$,364 Atlantic Ave,40.68736,-73.98633,https://www.yelp.com/biz/someday-bar-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,036OHcA8Au0yTOrrcj5SEQ
28,Earl's Beer & Cheese,Bars,4.5,$$,1259 Park Ave,40.78729,-73.95152,https://www.yelp.com/biz/earls-beer-and-cheese-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,DpZBA0-f7Um9lvnp1zZM2A
29,The Roof,Bars,3.5,$$,214 3rd St,40.674866,-73.988815,https://www.yelp.com/biz/the-roof-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,fkXGPusS21ieBsl1qpaO4A
30,Würstbar,Beer Bar,4.5,$$,516 Jersey Ave,40.72038,-74.04648,https://www.yelp.com/biz/w%C3%BCrstbar-jersey-city?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,-6tSx9IXwt1btreBtcyZ0g
31,TØRST,Beer Bar,4.5,$$,615 Manhattan Ave,40.7233949,-73.950856,https://www.yelp.com/biz/t%C3%B8rst-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,TDyu1-6XF7r1jc13j7nDNA
