,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Tomiz,Bakeries,4.0,$,18 E 41st St,40.7523,-73.98043,https://www.yelp.com/biz/tomiz-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,bJgl6cDIBIMlgrntQbxt1g
1,Brooklyn Sweet Spot,Bakeries,4.0,$$,366 Myrtle Ave,40.6930261,-73.9715469,https://www.yelp.com/biz/brooklyn-sweet-spot-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,SjNNOP3KKHayd_BpatGmwQ
2,Steve's Authentic Key Lime Pies,Bakeries,4.5,$$,185 Van Dyke St,40.6777599765016,-74.0180665132931,https://www.yelp.com/biz/steves-authentic-key-lime-pies-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,CoJmKwsXt3esEKVB6-3EkQ
3,Dominique Ansel Bakery,Bakeries,4.0,$$,189 Spring St,40.72522,-74.00291,https://www.yelp.com/biz/dominique-ansel-bakery-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ga6sRtE0l85iftw_5-W84Q
4,Milk Bar Williamsburg,Bakeries,3.5,$$,382 Metropolitan Ave,40.713921,-73.9554785,https://www.yelp.com/biz/milk-bar-williamsburg-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,u4VGf3gIEtNx6_35cilQLA
5,Takahachi Bakery,Bakeries,4.0,$$,25 Murray St,40.71393,-74.00822,https://www.yelp.com/biz/takahachi-bakery-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,GlPJPpKvPR4d8dmcSEYpdA
6,Mia's Bakery,Bakeries,4.5,$,139 Smith St,40.6870199,-73.9901299,https://www.yelp.com/biz/mias-bakery-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,jWC4mD-yy-IzuZxU5ctAKw
7,Chip City - West Village,Bakeries,,,298 Bleecker St,40.7324,-74.0038,,
8,Petee's Pie Company,Bakeries,4.5,$,61 Delancey St,40.7192158508607,-73.9912822511308,https://www.yelp.com/biz/petees-pie-company-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,PWsU_ORsfcjeeUqocm9vQg
9,Ovenly,Bakeries,4.0,$$,31 Greenpoint Ave,40.729904,-73.959579,https://www.yelp.com/biz/ovenly-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,PDLYcA21uXCAlqRAkQLNNw
10,Milk Bar Chelsea,Bakeries,3.5,$$,220 8th Ave,40.74411,-73.99909,https://www.yelp.com/biz/milk-bar-chelsea-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,98iFRMtrbF2tt20l-WtFEw
11,Milk Bar East Village,Bakeries,3.5,$$,251 E 13th St,40.7318893900159,-73.9857388595245,https://www.yelp.com/biz/milk-bar-east-village-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RcqZmRj3mWiimohFnNA4Nw
12,Levain Bakery,Bakeries,4.5,$$,167 W 74th St,40.779961,-73.980299,https://www.yelp.com/biz/levain-bakery-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,H4jJ7XB3CetIr1pg56CczQ
13,Mekelburg's,Bars,4.0,$$,319 Kent Ave,40.71375,-73.96704,https://www.yelp.com/biz/mekelburgs-brooklyn-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,-pcCiCeyK4cvLtnkcF9T5Q
14,Usagi NY,Bookstores,4.5,$$,163 Plymouth St,40.70383,-73.98691,https://www.yelp.com/biz/usagi-ny-dumbo-7?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,vijwGDNrPBJHEG7_DsjZNw
15,Little Sips Cafe,Bubble Tea,,,730 Harrison Ave,40.7477143,-74.1491674,,
16,Mister Dips,Burgers,3.5,$$,111 N 12th St,40.7222796349,-73.9571206359,https://www.yelp.com/biz/mister-dips-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RIHkQMeiqhxGyXo3j9iudQ
17,Petee's Cafe,Cafes,4.0,$$,505 Myrtle Ave,40.693794,-73.964702,https://www.yelp.com/biz/petees-cafe-brooklyn-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,oBcuOhubYwHV_bY35lu5hA
18,Crème & Cocoa Creamery,Cafes,4.0,$$,1067 Nostrand Ave,40.661978,-73.95049,https://www.yelp.com/biz/cr%C3%A8me-and-cocoa-creamery-brooklyn-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,2qOReOWxAmngwVCRfti4Vg
19,Fferins Of Brooklyn,Candy Stores,,,438 7th Ave,40.6635013621618,-73.9846322312951,,
20,The Sweet Shop NYC,Candy Stores,4.0,$$,404 E 73rd St,40.768054,-73.955091,https://www.yelp.com/biz/the-sweet-shop-nyc-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,iSGQWoJ1D2o0rbOsjd6OIQ
21,Milu,Chinese,4.5,$$,333 Park Ave S,40.741084,-73.985324,https://www.yelp.com/biz/milu-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,2J3--ZI6CcoYLWSYYVdt7Q
22,Venchi,Chocolatiers & Shops,4.0,$$$,861 Broadway,40.737487,-73.990474,https://www.yelp.com/biz/venchi-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,KfZtLr5mJi5X0bh4tmSl2Q
23,Jacques Torres Chocolate,Chocolatiers & Shops,4.0,$$,66 Water St,40.7032212028374,-73.9914379239426,https://www.yelp.com/biz/jacques-torres-chocolate-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,nVIAmfM55P6zoKzaUKdGgw
24,Hotel Chocolat,Chocolatiers & Shops,,,441 Lexington Ave,40.75277,-73.97491,,
25,Venchi,Chocolatiers & Shops,,,1796 Broadway,40.767213579329265,-73.98126836638254,,
