,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Parker & Quinn,American (New),4.0,$$,64 W 39th St,40.7525862175813,-73.9850713153442,https://www.yelp.com/biz/parker-and-quinn-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,IOHaEgK1zDvUvB3SfKuGCw
1,The Spaniard,American (New),4.0,$$,190 W 4th St,40.7327497,-74.0021829,https://www.yelp.com/biz/the-spaniard-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,XO3yD87rTPz9o6Dy9qRaJg
2,Connolly's Pub & Restaurant,American (New),3.5,$$,14 E 47th St,40.75618,-73.97772,https://www.yelp.com/biz/connollys-pub-and-restaurant-new-york-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Xbd3lfDIz5nLagWWVTPO-g
3,Tír na Nóg,American (New),4.0,$$,315 W 39th St,40.75585,-73.99214,https://www.yelp.com/biz/t%C3%ADr-na-n%C3%B3g-new-york-12?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Xq9uOJz0U1iugBqRoQt1hA
4,Monk Mcginn's,American (New),4.5,$$,57 Murray St,40.71432,-74.00972,https://www.yelp.com/biz/monk-mcginns-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,F-QQCnbsw48dfx4qVf-WoQ
5,The Smith,American (New),4.0,$$,956 2nd Ave,40.755165,-73.967868,https://www.yelp.com/biz/the-smith-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,C-8mGN7lt5rIraO5n-15ug
6,The Hutton,American (New),4.5,$$,225 Hutton St,40.746707841754,-74.0555749833584,https://www.yelp.com/biz/the-hutton-jersey-city?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,gt-0HkY2DC-NscmhOsKOWw
7,Five Mile Stone,American (New),3.5,$$,1640 2nd Ave,40.7772804,-73.9519665,https://www.yelp.com/biz/five-mile-stone-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ggZczl_F-L4FvZk3jpNR3Q
8,The Bar Room,American (New),4.0,$$,117 E 60th St,40.763409,-73.968449,https://www.yelp.com/biz/the-bar-room-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,MyQV4i518ZO4CLudtR8gLA
9,Tryon Public House,American (Traditional),4.0,$$,4740 Broadway,40.8649821372469,-73.927843119049,https://www.yelp.com/biz/tryon-public-house-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,ykXZyQBXxoOMoZfaZMnHmg
