,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Emmett's,American (Traditional),4.0,$$,50 Macdougal St,40.727303,-74.00243,https://www.yelp.com/biz/emmetts-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,JnFV_qz7uWbLTY80K89J7Q
1,Santa Panza,Bars,4.5,$$,1079 Broadway,40.6947,-73.93068,https://www.yelp.com/biz/santa-panza-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,eTneVbjPKdo4gD9HfkDGdA
2,Hoek Pizza,Bars,,,117 Ferris St,40.6779064,-74.0169529,,
3,Time Out Market New York,Food Court,3.5,$$,55 Water St,40.7037211399782,-73.9918105285751,https://www.yelp.com/biz/time-out-market-new-york-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,MGd6HFEq1ALD58XWNviSXw
4,Oregano,Italian,4.0,$$,102 Berry St,40.7190165,-73.9586248,https://www.yelp.com/biz/oregano-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,uPWyvfh5qSrVbujhjsDiiw
5,Arturo's,Italian,4.0,$$,106 W Houston St,40.7273563342024,-74.0004944801331,https://www.yelp.com/biz/arturos-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,BgGz5IdV53bGb4o7opR5zg
6,Union Pizza Works,Italian,4.0,$$,423 Troutman St,40.7073067,-73.922154,https://www.yelp.com/biz/union-pizza-works-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,mYQMjrtHp8vsEKKNsRz1XA
7,Gelso & Grand,Italian,4.5,$$,186 Grand St,40.7194089547259,-73.9973777877722,https://www.yelp.com/biz/gelso-and-grand-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,MphfKkYFEe0BDQ6hZ0A5fA
8,Leuca,Italian,4.0,$$$,111 N 12th St,40.722121,-73.956678,https://www.yelp.com/biz/leuca-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,fH8DkdRerw5LJ7fZZHRfeA
9,Sauce,Italian,4.0,$$,78 Rivington St,40.7204716,-73.9893263,https://www.yelp.com/biz/sauce-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,M4pCWzdBCkp2g_d834a7Hw
10,Eataly Flatiron,Italian,4.0,$$,200 5th Ave,40.74195877796,-73.989716662832,https://www.yelp.com/biz/eataly-flatiron-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,a0IET3_yCFcO36OqGSsisg
11,IL Brigante,Italian,4.0,$$,214 Front St,40.707492,-74.002571,https://www.yelp.com/biz/il-brigante-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,xeC9vn3dxVVzAMR_aFwfXg
12,Burrata Pizza,Italian,,,221 Ave A,40.7302,-73.98069,,
13,Adoro Lei,Italian,4.5,$$,287 Hudson St,40.725612,-74.007916,https://www.yelp.com/biz/adoro-lei-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,xzN2k19JXDYjOWAhNw62aw
14,Montesacro Pinseria Brooklyn,Italian,4.5,$$,432 Union Ave,40.71338,-73.95136,https://www.yelp.com/biz/montesacro-pinseria-brooklyn-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,CFR-HzVHKWRMpMAR3LAhzg
15,Norma,Italian,4.5,$$,438 3rd Ave,40.743553,-73.980026,https://www.yelp.com/biz/norma-new-york-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,vVVmHacu2YAxKfpIjhfd1g
16,Patrizia's Pizza and Pasta,Italian,4.0,$$,462-466 2nd Ave,40.7398415,-73.9792862,https://www.yelp.com/biz/patrizias-pizza-and-pasta-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,kIm0oeOaVfC9-2flLPVklA
17,Patsy’s Pizzeria,Italian,3.5,$$,206 E 60th St,40.76177,-73.96575,https://www.yelp.com/biz/patsy-s-pizzeria-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,hFeGYPt9M5dd_KXG9a_ePQ
18,La Lanterna Di Vittorio,Italian,4.0,$$,129 MacDougal St,40.73069,-74.00015,https://www.yelp.com/biz/la-lanterna-di-vittorio-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,V-FCEicobl5Su-R7EVJQNA
19,Rosemary’s,Italian,,,350 1st Ave,40.73512,-73.97965,,
