,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Berry Park,American (New),3.5,$$,4 Berry St,40.7224719,-73.9552526,https://www.yelp.com/biz/berry-park-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,DMOwfdP0Va1QI_KNefD8kg
1,Lock Yard,American (New),4.0,$$,9221 5th Ave,40.617264,-74.029419,https://www.yelp.com/biz/lock-yard-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,5f3M0k7mTjrKoQFJW-PFzg
2,The Barrow House,American (New),4.0,$$,1296 Van Houten Ave,40.8717056,-74.172376,https://www.yelp.com/biz/the-barrow-house-clifton?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,U_hLyiUqDB16FBREKfJ8Xw
3,Jasper's Taphouse + Kitchen,American (New),4.0,$$,761 9th Ave,40.764266,-73.9886122,https://www.yelp.com/biz/jaspers-taphouse-kitchen-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,j3HLOkrjzBjcvYPiIHua1A
4,The Stag's Head,American (New),4.0,$$,252 E 51st St,40.755592,-73.968588,https://www.yelp.com/biz/the-stags-head-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,y6XohzcYjUAQOD8U3NT_yw
5,Clancey,American (New),4.5,$$,79 Clinton St,40.7190299,-73.98521,https://www.yelp.com/biz/clancey-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,7qtIemPU3LlNix8CVWdhwA
6,The Wicked Monk,American (New),4.0,$$,9510 3rd Ave,40.616988,-74.034023,https://www.yelp.com/biz/the-wicked-monk-brooklyn-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,VP_HZr_j0dXKd80lUBfsyg
7,Alfie's,American (New),4.0,$$,800 9th Ave,40.765437,-73.987278,https://www.yelp.com/biz/alfies-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,tOn-wEQ06ScrgeU5Ljw7Gw
8,Loki Bar,American (New),4.0,$$,341 2nd St,40.673937,-73.983064,https://www.yelp.com/biz/loki-bar-park-slope-6?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,2270Iy6WQskMawb4iETO8w
9,The Brooklyneer,American (New),3.5,$$,220 W Houston St,40.7286219,-74.0045657,https://www.yelp.com/biz/the-brooklyneer-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Ad3JpyadCNBDKZiKD57Tbw
