,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,B&B Restaurant Corporation,African,4.5,$,165 West 26th St,40.7459112,-73.9936086,https://www.yelp.com/biz/b-and-b-restaurant-corporation-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,GjAHO7PA-3Sxg1lkGza4sQ
1,Cafeteria,American (New),3.5,$$,119 7th Ave,40.740567590122,-73.9980747946,https://www.yelp.com/biz/cafeteria-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,UXVDyIzmO5kmJnlv-HDXLg
2,Belle Harlem,American (New),4.5,$$$,2363 Adam Clayton Powell Blvd,40.8173,-73.94171,https://www.yelp.com/biz/belle-harlem-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,8G6H30Krmj8-OHs6hZfT1g
3,Chocolat Restaurant & Bar,American (New),3.0,$$,2223 Frederick Douglass Blvd,40.8069823,-73.9538152730164,https://www.yelp.com/biz/chocolat-restaurant-and-bar-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,YRfDdBgWS4T80oJfKmVThA
4,Sweet Chick,American (New),4.0,$$,341 Flatbush Ave,40.67763,-73.97255,https://www.yelp.com/biz/sweet-chick-brooklyn-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,iZeAlmKKvxnPu5oUKN-B3Q
5,BLVD Bistro,American (Traditional),4.0,$$,2149 Frederick Douglass Blvd,40.80438,-73.9558,https://www.yelp.com/biz/blvd-bistro-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Z-hDHjP4Eza6BA4G97tzVA
6,Niecy's Mac & Cheese,American (Traditional),4.0,$$,1600 East St Georges Ave,40.64913,-74.241126,https://www.yelp.com/biz/niecys-mac-and-cheese-linden-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Md3dSY2OpsGhccL30pUEHw
7,S'MAC,American (Traditional),3.5,$$,197 1st Ave,40.730212,-73.983724,https://www.yelp.com/biz/smac-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,bRPq-Nmct5bOuOtsu8fC7Q
8,Effy's Kitchen,American (Traditional),4.0,$$,1567 Lexington Ave,40.7884685,-73.94872,https://www.yelp.com/biz/effys-kitchen-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,E_JmgVNSkNvRauDZGuf6AA
9,The House of Soul,American (Traditional),,,304 University Ave,40.7373953,-74.1760406,,
10,Bubby's Tribeca,American (Traditional),3.5,$$,120 Hudson St,40.7198118,-74.0083092,https://www.yelp.com/biz/bubbys-tribeca-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Vs-3byrsBYwd_Cnfl0CyFw
11,Louisiana Fried Chicken,American (Traditional),4.0,$,549 West Side Ave,40.7195899,-74.08275,https://www.yelp.com/biz/louisiana-fried-chicken-jersey-city?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,KD1HWwoDw-VA7fMj7I73LQ
12,Melba's Restaurant,American (Traditional),4.0,$$,300 W 114th St,40.8031468838453,-73.9565069228411,https://www.yelp.com/biz/melbas-restaurant-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,4rWJGwb3rjDoZHA0AECa5A
