,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Formerly Crow's,American (New),4.0,$$,85 Washington Pl,40.7322,-74.00003,https://www.yelp.com/biz/formerly-crows-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,bJBDLBZiak_pCI5CuvAfAA
1,Bell Book & Candle,American (New),3.5,$$,141 W 10th St,40.73465,-74.00086,https://www.yelp.com/biz/bell-book-and-candle-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RKfsthB00W-NGoM_abs-Lg
2,Brandy Library,American (New),4.0,$$$,25 N Moore St,40.720073,-74.007227,https://www.yelp.com/biz/brandy-library-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,RW-v9cm9rQZS9cSihuXfvw
3,Parker & Quinn,American (New),4.0,$$,64 W 39th St,40.7525862175813,-73.9850713153442,https://www.yelp.com/biz/parker-and-quinn-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,IOHaEgK1zDvUvB3SfKuGCw
4,Hold Fast Kitchen & Spirits,American (New),5.0,$$,364 W 46th St,40.76064,-73.99023,https://www.yelp.com/biz/hold-fast-kitchen-and-spirits-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,VLGmFHE4s0Sfu0piMVQa1Q
5,Speakeasy,American (New),4.0,$$,1032 W Beech St,40.58582,-73.6978,https://www.yelp.com/biz/speakeasy-long-beach?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,VHkvcp1eCVyfqh1KlW9V1A
6,While We Were Young,American (New),4.0,$$,183 W 10th St,40.73437,-74.00272,https://www.yelp.com/biz/while-we-were-young-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,YSflX6shqcP3zYno0Zz75Q
7,Fine & Rare,American (New),4.5,$$$,9 E 37th St,40.7501754760742,-73.9821929931641,https://www.yelp.com/biz/fine-and-rare-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Xk3BVvlX-KXh6kJhbClMKw
8,Bea,American (New),4.0,$$,403 W 43rd St,40.7591968,-73.9923361,https://www.yelp.com/biz/bea-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Rc1lxc5lSKJYd162JHNMfQ
9,The Beast Next Door,American (New),4.5,$$,42-51 27th St,40.74881,-73.94073,https://www.yelp.com/biz/the-beast-next-door-long-island-city-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,UF9F0A4e7AJHzNPG5zrHUQ
