,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Sai,Asian Fusion,4.5,$$,95-34 Queens Blvd,40.73012,-73.8636,https://www.yelp.com/biz/sai-rego-park?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,3n6i8TwGEIL9KnCCHUyiqA
1,Asea Fusion,Asian Fusion,4.0,$$,4120 8th Ave,40.64588,-73.99915,https://www.yelp.com/biz/asea-fusion-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Q_rT0lwuW8rJ6kGBYxPWkw
2,Kimoto Rooftop,Asian Fusion,3.5,$$,228 Duffield St,40.6915156530047,-73.9846554,https://www.yelp.com/biz/kimoto-rooftop-brooklyn-5?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,nnSyjwIkhbJIBMiBtch_BQ
3,SHI,Asian Fusion,3.5,$$,4720 Center Blvd,40.74599336793073,-73.957094,https://www.yelp.com/biz/shi-long-island-city?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,8cyRl5HIQzbkYD7orq223g
4,Usagi NY,Bookstores,4.5,$$,163 Plymouth St,40.70383,-73.98691,https://www.yelp.com/biz/usagi-ny-dumbo-7?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,vijwGDNrPBJHEG7_DsjZNw
5,Suzume,Filipino,4.0,$$,545 Lorimer St,40.7131652,-73.9494479,https://www.yelp.com/biz/suzume-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,BlzlywklvYdek5uk_NCX9g
6,Yopparai,Izakaya,4.5,$$$,49 Clinton St,40.71976194368783,-73.98497117259807,https://www.yelp.com/biz/yopparai-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,kN3rkbjvqkY62CDRYUVz4g
7,Sake Bar Hagi 46,Izakaya,4.0,$$,358 W 46th St,40.76057,-73.99008,https://www.yelp.com/biz/sake-bar-hagi-46-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Nbqzy3ea5_x2zXWkdWlUIQ
8,Izakaya,Izakaya,4.0,$$,326 E 6th St,40.72667,-73.98738,https://www.yelp.com/biz/izakaya-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,i8F0fnempD5fTb2CxbwKDw
9,Oishi Bay,Japanese,4.0,$$,230 E 29th St,40.7418734,-73.978779,https://www.yelp.com/biz/oishi-bay-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,dL6_XUUr_INX10IOMtSM0w
10,Gen,Japanese,4.0,$$,659 Washington Ave,40.677639,-73.963485,https://www.yelp.com/biz/gen-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,0Lnp_fi3gI2bfJ8RcMDfjg
11,Uotora,Japanese,4.5,$$$$,1075 Bergen St,40.676369,-73.950486,https://www.yelp.com/biz/uotora-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,LjAt-SP7BwIpp56TZHVsWA
12,DOMODOMO - New York,Japanese,4.0,$$$,140 W Houston St,40.7280299,-74.00167,https://www.yelp.com/biz/domodomo-new-york-new-york-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,BPZfuPvSxCfoppU4lPFm0Q
13,Mirakuya - Brooklyn,Japanese,4.0,$,727 Flushing Ave,40.7004883125668,-73.9435394480824,https://www.yelp.com/biz/mirakuya-brooklyn-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,qNmHq3ST2bBinAN-TatwSg
14,Musashi Asian Cuisine,Japanese,4.5,$$,495 Grand St,40.7111358642578,-73.9514236450195,https://www.yelp.com/biz/musashi-asian-cuisine-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,0nYfyel0UwlI1qXHOjTw0w
15,Bentos,Japanese,,,315 Fifth Ave,40.746897,-73.985172,,
16,Shalom Japan,Japanese,4.0,$$$,310 S 4th St,40.7091679,-73.9558028,https://www.yelp.com/biz/shalom-japan-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,zJcxZQbTSAP3q4Fy-6WAyw
17,Sapps,Japanese,4.0,$$,27-26 Jackson Ave,40.74762,-73.94008,https://www.yelp.com/biz/sapps-long-island-city?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,FXimZKjpMjbDR20M2ruhvg
18,Ozu,Japanese,4.0,$$,78 Clark St,40.6974732130766,-73.9932652562857,https://www.yelp.com/biz/ozu-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,SoBdWOxymmY5yKANn63UWw
19,Salt + Charcoal,Japanese,4.0,$$,171 Grand St,40.71453,-73.9613511,https://www.yelp.com/biz/salt-charcoal-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,m1cJLpDN4B-_0hGgPfe5OA
