,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Society Cafe,American (New),4.0,$$,52 W 13th St,40.73618,-73.9965962,https://www.yelp.com/biz/society-cafe-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,JEuIdK9hzci9g_TuwfnZ_w
1,Elephant & Castle,American (New),4.0,$$,68 Greenwich Ave,40.736214,-74.000729,https://www.yelp.com/biz/elephant-and-castle-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,n-JSnKZcF1Bs-RPcIlb0qw
2,Orchid Tea House,Antiques,5.0,$$,38 W 32nd St,40.7477833,-73.9874221,https://www.yelp.com/biz/orchid-tea-house-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,juxJG1GNU5HSeUUDhNeuFA
3,PLAYDATE NYC,Arcades,,,135-29 Roosevelt Ave,40.75949,-73.83101,,
4,Patisserie Fouet,Bakeries,4.5,$$,15 E 13th St,40.735034,-73.993047,https://www.yelp.com/biz/patisserie-fouet-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,rVJ57CwEcucZg1k_y8u3Rg
5,HARBS SoHo,Bakeries,4.0,$$,465 W Broadway,40.726366,-74.000015,https://www.yelp.com/biz/harbs-soho-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,M-1k30Dgcc1OxZ8buddE4Q
6,Butler,Bakeries,,,40 Water St,40.7032670673495,-73.9922419276899,,
7,Le Pain Quotidien,Bakeries,,,1800 Broadway,40.76722,-73.98154,,
8,Kam Hing Coffee Shop,Bakeries,4.5,$,118 Baxter St,40.71798,-73.99921,https://www.yelp.com/biz/kam-hing-coffee-shop-new-york-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,nOCjslrdcKBQQYgD5qUs9Q
9,Cafe Patoro,Bakeries,4.5,$,223 Front St,40.7072720974983,-74.0023160353303,https://www.yelp.com/biz/cafe-patoro-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wWhZvkaFrntlSf1CWvD1Zw
10,Takahachi Bakery,Bakeries,4.0,$$,25 Murray St,40.71393,-74.00822,https://www.yelp.com/biz/takahachi-bakery-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,GlPJPpKvPR4d8dmcSEYpdA
11,Tomiz,Bakeries,4.0,$,18 E 41st St,40.7523,-73.98043,https://www.yelp.com/biz/tomiz-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,bJgl6cDIBIMlgrntQbxt1g
12,Usagi NY,Bookstores,4.5,$$,163 Plymouth St,40.70383,-73.98691,https://www.yelp.com/biz/usagi-ny-dumbo-7?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,vijwGDNrPBJHEG7_DsjZNw
13,Banter,Breakfast & Brunch,4.5,$$,643 Hudson St,40.739135,-74.005738,https://www.yelp.com/biz/banter-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,x8slUOJxMX2EJ0YUU0rrSg
14,Banter,Breakfast & Brunch,4.5,$$,169 Sullivan St,40.72787,-74.0010999,https://www.yelp.com/biz/banter-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Zc7Jbuwe3XO-EaVXIh_TYQ
15,Koneko,Breakfast & Brunch,4.5,$$,26 Clinton St,40.72044,-73.98412,https://www.yelp.com/biz/koneko-new-york-3?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,zi_TJRxi0WzADbbI6Jcz3A
16,Alice's Tea Cup Chapter I,Breakfast & Brunch,4.0,$$,102 W 73rd St,40.77802,-73.9787,https://www.yelp.com/biz/alices-tea-cup-chapter-i-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,kaSd6qzlsxn__ILDtGf3iA
17,BAMBU,Bubble Tea,4.5,$,124B Hester St,40.71697,-73.99471,https://www.yelp.com/biz/bambu-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,dnhEMFIYnkF0ke5oWv9hMg
18,Tea and Milk,Bubble Tea,,,75 9th Ave Lower Level,40.74222,-74.00466,,
19,Yifang Taiwan Fruit Tea,Bubble Tea,3.5,$,67 Bayard St,40.71545,-73.99822,https://www.yelp.com/biz/yifang-taiwan-fruit-tea-new-york-9?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,gzfWa4dzZOfLOxnOvuGKlA
