,Restaurant,Type,Rating,Price,Address,Lat,Lng,url,ID
0,Baoburg,Asian Fusion,4.0,$$,614 Manhattan Ave,40.7234929271998,-73.9503321851175,https://www.yelp.com/biz/baoburg-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,6wJOojpF2c4lLeBNbTBB0A
1,Macao Trading Company,Asian Fusion,4.0,$$$,311 Church St,40.719623,-74.003904,https://www.yelp.com/biz/macao-trading-company-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,U74_3F7r3tMhd6dmTmDBxQ
2,wagamama - midtown,Asian Fusion,4.0,$$,100 W 55th St,40.7629,-73.9781574,https://www.yelp.com/biz/wagamama-midtown-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,wyjtGsW5NeVDknGQWnIPAQ
3,A Gusto Thai Bistro,Cafes,3.5,$$,1450 Fulton St,40.6798609,-73.942852,https://www.yelp.com/biz/a-gusto-thai-bistro-brooklyn?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,TuGFxspYWd0smugwUeN9sA
4,Wok Wok Southeast Asian Kitchen,Chinese,4.0,$$,11 Mott St,40.7140555,-73.9988387116394,https://www.yelp.com/biz/wok-wok-southeast-asian-kitchen-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,0GftSP2dRwEzujkv2VKIgA
5,The Tyger,Cocktail Bars,,,1 Howard St,40.71888,-73.99951,,
6,Sama Street,Cocktail Bars,5.0,$$,988 Manhattan Ave,40.7328843,-73.9545232327229,https://www.yelp.com/biz/sama-street-brooklyn-2?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,Swjm9no7DRqhThLlf0EHng
7,Pig and Khao,Filipino,4.0,$$$,68 Clinton St,40.71926,-73.98475,https://www.yelp.com/biz/pig-and-khao-new-york?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,nxTEuWKzkK1tCF4LrhFSUQ
8,Thai on Clinton,Food Trucks,4.5,$,168 Montague St,40.693925372884756,-73.99241130799055,https://www.yelp.com/biz/thai-on-clinton-brooklyn-4?adjust_creative=-uBzzloii2ivvF3N0jkhKQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=-uBzzloii2ivvF3N0jkhKQ,OuHB-EdeXmQ26QDzAsDxyw
9,Mr Khao Man Gai,Food Trucks,,,,40.74606,-73.94842,,
